h_value_1,Predicted
0.0,3.1252801
0.0,14.692465
25.2743,15.333554
41.4786,15.655934
16.643,3.841458
0.284236,6.518414
6.70987,33.26709
19.2521,18.140253
0.0,25.912209
12.3578,15.121368
5.80388,23.979298
20.9074,8.37697
0.31996,13.738301
12.3578,15.121368
14.797,12.682833
110.894,56.033287
93.0804,13.738301
8.51378,13.68157
8.51378,13.68157
11.1051,11.760702
0.262684,7.798495
0.0,3.1252801
16.963,33.703156
10.4383,16.367111
55.234,20.637074
10.7538,12.353559
0.681877,20.243475
0.0,7.7664156
8.74772,15.260855
11.8606,12.164021
0.0101261,3.12059
0.0,25.912209
48.6022,15.45775
28.1376,13.738301
14.4787,20.318527
0.0,3.9543538
28.1376,13.738301
5.1564,15.270952
0.0263074,25.912209
2.71852,17.037825
7.13458,14.126408
0.0,25.912209
0.0354119,8.592886
0.0,25.912209
16.6777,14.692465
0.0,3.9543538
8.95032,12.353559
0.00557245,3.12059
15.3164,14.722928
11.0104,16.40247
0.0116914,3.1252801
1.39825,21.236897
41.4786,15.655934
12.3578,15.121368
6.98341,21.027256
6.02159,5.042194
134.521,14.567739
2.13995,15.45775
8.36759,35.293873
0.0,18.140253
0.0484491,5.042194
3.31146,14.208302
4.54608,25.912209
0.229331,25.912209
0.0,15.754211
0.0339982,13.738301
1.2981,25.912209
6.17769,15.333554
7.13458,14.126408
10.2515,14.92346
11.0804,22.173521
0.750729,15.461085
64.2441,27.240564
37.4822,18.899195
36.9143,20.382551
5.57806,15.490278
0.0,25.912209
0.803882,5.042194
28.1376,13.738301
0.0120289,6.462512
1.90568,25.912209
0.0,25.912209
12.3578,15.121368
4.68443,18.82467
0.0,25.912209
3.31146,14.208302
2.41063,19.208582
0.0,25.912209
0.0270653,3.1252801
18.2979,7.846328
0.431812,25.912209
0.0,3.841458
48.6022,15.45775
0.16082,21.68528
0.210362,25.912209
0.0,25.912209
15.0913,14.994502
18.7903,18.140253
63.9287,27.326948
0.0,25.912209
12.3578,15.121368
15.9221,14.722928
929.506,16.42585
1.87192,12.177349
16.651,16.496424
73.5095,20.424286
0.792194,3.1252801
4.74741,21.696789
0.0,25.912209
0.463196,14.367431
10.6416,13.738301
2.02097,7.846328
0.0,3.1252801
2.59898,14.129897
0.143328,3.12059
35.0216,22.29318
38.2598,15.700493
2.2593,33.26709
2.36522,13.738301
0.0,15.270952
1.75124,20.097473
60.2093,56.033287
