Pytorch Conv1D
Epoch 1, Time:107.91110920906067,  Train Loss: 17182.3724, Train MAE: 24.5406, Test Loss: 12919.4378, Test MAE: 20.7438
Saved best model at epoch 1 with test loss: 12919.4378
Epoch 2, Time:107.45744514465332,  Train Loss: 16361.1169, Train MAE: 24.7136, Test Loss: 13515.9220, Test MAE: 34.7297
Epoch 3, Time:107.46959352493286,  Train Loss: 14085.8777, Train MAE: 27.8479, Test Loss: 20723.6016, Test MAE: 19.2499
Epoch 4, Time:107.47703909873962,  Train Loss: 20658.8329, Train MAE: 25.1505, Test Loss: 19161.5122, Test MAE: 33.9515
Epoch 5, Time:107.46535801887512,  Train Loss: 13562.0323, Train MAE: 22.4915, Test Loss: 15142.3189, Test MAE: 19.9778
Epoch 6, Time:107.4602792263031,  Train Loss: 13457.6918, Train MAE: 22.9724, Test Loss: 12634.9896, Test MAE: 19.0101
Saved best model at epoch 6 with test loss: 12634.9896
Epoch 7, Time:107.43292450904846,  Train Loss: 13160.0681, Train MAE: 25.5059, Test Loss: 14659.8344, Test MAE: 26.1892
Epoch 8, Time:107.38653016090393,  Train Loss: 13408.8040, Train MAE: 25.2203, Test Loss: 24664.7981, Test MAE: 20.5369
Epoch 9, Time:107.37908911705017,  Train Loss: 12569.4300, Train MAE: 23.8338, Test Loss: 16072.6080, Test MAE: 21.6855
Epoch 10, Time:107.44140124320984,  Train Loss: 13327.3785, Train MAE: 22.6508, Test Loss: 12276.7170, Test MAE: 24.9394
Saved best model at epoch 10 with test loss: 12276.7170
Epoch 11, Time:107.62629079818726,  Train Loss: 14700.4544, Train MAE: 24.1044, Test Loss: 16866.0252, Test MAE: 23.6828
Epoch 12, Time:107.44592761993408,  Train Loss: 12451.5412, Train MAE: 24.9336, Test Loss: 21636.1657, Test MAE: 27.8961
Epoch 13, Time:107.5374686717987,  Train Loss: 14913.9896, Train MAE: 22.9000, Test Loss: 16602.0283, Test MAE: 51.3753
Epoch 14, Time:107.53624153137207,  Train Loss: 15807.4359, Train MAE: 25.5134, Test Loss: 18825.8873, Test MAE: 19.0335
Epoch 15, Time:107.47818303108215,  Train Loss: 11213.5691, Train MAE: 22.2970, Test Loss: 12245.1243, Test MAE: 19.2805
Saved best model at epoch 15 with test loss: 12245.1243
Epoch 16, Time:107.62673306465149,  Train Loss: 12268.5732, Train MAE: 25.7876, Test Loss: 20702.2088, Test MAE: 19.6517
Epoch 17, Time:107.67536783218384,  Train Loss: 10731.4086, Train MAE: 22.3739, Test Loss: 11060.9074, Test MAE: 21.9711
Saved best model at epoch 17 with test loss: 11060.9074
Epoch 18, Time:107.40629768371582,  Train Loss: 12310.4577, Train MAE: 25.0539, Test Loss: 13193.5672, Test MAE: 19.6165
Epoch 19, Time:107.45329523086548,  Train Loss: 10083.2763, Train MAE: 22.9803, Test Loss: 33655.4476, Test MAE: 19.0285
Epoch 20, Time:107.408536195755,  Train Loss: 10339.7884, Train MAE: 23.3906, Test Loss: 19724.7299, Test MAE: 21.5586
Epoch 21, Time:107.4516134262085,  Train Loss: 14463.7231, Train MAE: 24.4275, Test Loss: 14234.1320, Test MAE: 20.3925
Epoch 22, Time:107.4909884929657,  Train Loss: 15247.6767, Train MAE: 24.5310, Test Loss: 14055.1186, Test MAE: 20.0973
Epoch 23, Time:107.37668108940125,  Train Loss: 11108.3508, Train MAE: 22.4194, Test Loss: 22545.6250, Test MAE: 22.3018
Epoch 24, Time:107.37637686729431,  Train Loss: 13938.1840, Train MAE: 23.4276, Test Loss: 12681.2507, Test MAE: 18.1262
Epoch 25, Time:107.43253588676453,  Train Loss: 11585.9967, Train MAE: 22.0265, Test Loss: 12892.6578, Test MAE: 19.5446
Epoch 26, Time:107.44145679473877,  Train Loss: 10866.2996, Train MAE: 21.6523, Test Loss: 13385.2564, Test MAE: 51.9758
Epoch 27, Time:107.42687058448792,  Train Loss: 10778.3979, Train MAE: 22.3857, Test Loss: 20936.7349, Test MAE: 19.4682
Epoch 28, Time:107.58903050422668,  Train Loss: 16370.5321, Train MAE: 23.4106, Test Loss: 16195.4582, Test MAE: 18.5138
Epoch 29, Time:107.49910259246826,  Train Loss: 11372.8448, Train MAE: 21.9357, Test Loss: 13150.9060, Test MAE: 20.7700
Epoch 30, Time:107.41329193115234,  Train Loss: 10033.5247, Train MAE: 20.5790, Test Loss: 16239.7664, Test MAE: 20.6642
Epoch 31, Time:107.41105675697327,  Train Loss: 10780.2727, Train MAE: 22.2182, Test Loss: 16213.3943, Test MAE: 21.2181
Epoch 32, Time:107.41673040390015,  Train Loss: 11664.5378, Train MAE: 21.1943, Test Loss: 12068.9446, Test MAE: 24.2461
Epoch 33, Time:107.41458225250244,  Train Loss: 9804.6877, Train MAE: 20.3609, Test Loss: 14256.9196, Test MAE: 26.0464
Epoch 34, Time:107.41545557975769,  Train Loss: 15733.0081, Train MAE: 22.6237, Test Loss: 17015.9770, Test MAE: 18.7594
Epoch 35, Time:107.44069910049438,  Train Loss: 12731.3703, Train MAE: 21.6878, Test Loss: 16815.0326, Test MAE: 20.9158
Epoch 36, Time:107.4381148815155,  Train Loss: 12641.8675, Train MAE: 21.2965, Test Loss: 18532.1647, Test MAE: 28.8654
Epoch 37, Time:107.4323205947876,  Train Loss: 12991.1279, Train MAE: 22.0091, Test Loss: 12417.5335, Test MAE: 17.0190
Epoch 38, Time:107.4064371585846,  Train Loss: 14183.4938, Train MAE: 22.1986, Test Loss: 12238.4299, Test MAE: 26.1622
Epoch 39, Time:107.40557265281677,  Train Loss: 14097.1149, Train MAE: 23.4562, Test Loss: 11758.2215, Test MAE: 18.0296
Epoch 40, Time:107.4163556098938,  Train Loss: 10675.1197, Train MAE: 21.3456, Test Loss: 13138.6567, Test MAE: 18.0372
Epoch 41, Time:107.41861748695374,  Train Loss: 10523.1892, Train MAE: 21.6058, Test Loss: 14416.3202, Test MAE: 20.1855
Epoch 42, Time:107.58816432952881,  Train Loss: 11328.4522, Train MAE: 20.9893, Test Loss: 21943.3496, Test MAE: 22.8745
Epoch 43, Time:107.67397713661194,  Train Loss: 11545.5905, Train MAE: 21.7042, Test Loss: 12349.0363, Test MAE: 22.9550
Epoch 44, Time:107.66901659965515,  Train Loss: 9811.6222, Train MAE: 20.4577, Test Loss: 18918.1305, Test MAE: 32.2568
Epoch 45, Time:107.6586811542511,  Train Loss: 11661.3883, Train MAE: 20.8711, Test Loss: 12252.2548, Test MAE: 20.9687
Epoch 46, Time:107.66099953651428,  Train Loss: 10872.7293, Train MAE: 21.9195, Test Loss: 13543.0535, Test MAE: 17.6087
Epoch 47, Time:107.49584007263184,  Train Loss: 10389.3658, Train MAE: 21.6766, Test Loss: 13341.1111, Test MAE: 22.3957
Epoch 48, Time:107.37834286689758,  Train Loss: 11432.1933, Train MAE: 21.5083, Test Loss: 15080.0977, Test MAE: 17.8892
Epoch 49, Time:107.37880945205688,  Train Loss: 10786.4706, Train MAE: 20.6407, Test Loss: 25769.8358, Test MAE: 19.6413
Epoch 50, Time:107.37872099876404,  Train Loss: 10293.8466, Train MAE: 21.8568, Test Loss: 21990.3466, Test MAE: 18.1737
Epoch 51, Time:107.42700386047363,  Train Loss: 10936.9617, Train MAE: 22.2568, Test Loss: 15208.2083, Test MAE: 20.9615
Epoch 52, Time:107.42367506027222,  Train Loss: 10656.6497, Train MAE: 20.0804, Test Loss: 13399.2110, Test MAE: 20.6374
Epoch 53, Time:107.44342851638794,  Train Loss: 11267.2903, Train MAE: 20.7807, Test Loss: 16876.3324, Test MAE: 18.7694
Epoch 54, Time:107.44805860519409,  Train Loss: 11744.0864, Train MAE: 20.0541, Test Loss: 14739.9485, Test MAE: 18.0295
Epoch 55, Time:107.4269049167633,  Train Loss: 10820.2775, Train MAE: 21.4079, Test Loss: 18861.6076, Test MAE: 20.3895
