train_loss,train_accuracy,train_auc,val_loss,val_accuracy,val_auc
0.648,49.44,0.49,0.6215,52.11,0.52
0.6143,60.92,0.61,0.601,74.34,0.74
0.5914,76.21,0.76,0.5859,75.92,0.76
0.5703,77.95,0.78,0.5706,76.92,0.77
0.5587,78.66,0.79,0.5527,77.65,0.78
0.5446,78.33,0.78,0.5563,77.45,0.77
0.5327,79.04,0.79,0.549,77.73,0.78
0.5257,79.21,0.79,0.5365,78.13,0.78
0.5221,78.86,0.79,0.5302,78.34,0.78
0.5147,79.13,0.79,0.5264,78.34,0.78
0.5086,79.2,0.79,0.5196,78.49,0.78
0.5082,79.24,0.79,0.5136,78.69,0.79
0.5016,79.42,0.79,0.5196,78.26,0.78
0.4977,79.47,0.79,0.5104,78.69,0.79
0.4968,79.07,0.79,0.5056,78.66,0.79
0.4938,79.42,0.79,0.5081,78.71,0.79
0.4929,79.5,0.79,0.5059,78.71,0.79
0.4927,79.41,0.79,0.5119,78.23,0.78
0.4894,79.7,0.8,0.5024,78.66,0.79
0.4873,79.73,0.8,0.502,78.68,0.79
0.4895,79.7,0.8,0.5039,78.32,0.78
0.485,79.77,0.8,0.5013,78.6,0.79
0.4877,79.68,0.8,0.4942,78.66,0.79
0.4837,79.91,0.8,0.494,78.69,0.79
0.4842,79.76,0.8,0.4944,78.71,0.79
0.481,79.82,0.8,0.4949,78.71,0.79
0.481,80.06,0.8,0.5002,78.57,0.79
0.4816,79.73,0.8,0.5006,78.48,0.78
0.4815,79.93,0.8,0.4929,78.68,0.79
0.4786,79.77,0.8,0.4934,78.68,0.79
0.481,79.59,0.8,0.4926,78.71,0.79
0.4764,80.03,0.8,0.4983,78.52,0.79
0.4814,80.12,0.8,0.492,78.68,0.79
0.4797,79.7,0.8,0.492,78.71,0.79
0.483,79.9,0.8,0.4939,78.62,0.79
0.4784,80.03,0.8,0.4961,78.55,0.79
0.4785,79.77,0.8,0.4914,78.55,0.79
0.4751,79.82,0.8,0.491,78.48,0.78
0.4755,80.06,0.8,0.4913,78.57,0.79
0.4788,79.91,0.8,0.4906,78.57,0.79
0.4826,79.9,0.8,0.4965,78.25,0.78
0.4778,79.93,0.8,0.4906,78.39,0.78
0.4798,80.35,0.8,0.4926,78.63,0.79
0.4734,80.14,0.8,0.4903,78.39,0.78
0.474,79.84,0.8,0.4901,78.34,0.78
0.4756,79.85,0.8,0.4898,78.48,0.78
0.4746,79.62,0.8,0.4899,78.43,0.78
0.4786,79.93,0.8,0.4904,78.58,0.79
0.4723,79.97,0.8,0.4896,78.46,0.78
0.4726,80.0,0.8,0.4895,78.42,0.78
0.4794,80.05,0.8,0.4912,78.29,0.78
0.4741,80.08,0.8,0.4903,78.49,0.78
0.4717,80.03,0.8,0.4895,78.36,0.78
0.4803,79.77,0.8,0.4909,78.36,0.78
0.4713,80.25,0.8,0.4897,78.37,0.78
0.4725,79.87,0.8,0.4891,78.26,0.78
0.4724,80.02,0.8,0.4892,78.31,0.78
0.4725,79.84,0.8,0.4893,78.36,0.78
0.4734,79.71,0.8,0.4889,78.26,0.78
0.4748,80.17,0.8,0.4887,78.58,0.79
0.4707,79.99,0.8,0.4884,78.45,0.78
0.4882,79.8,0.8,0.5188,76.64,0.77
0.4739,79.74,0.8,0.4896,78.62,0.79
0.4759,79.91,0.8,0.4899,78.45,0.78
0.4718,79.91,0.8,0.4894,78.51,0.79
0.469,80.12,0.8,0.4895,78.4,0.78
0.4733,80.41,0.8,0.4885,78.36,0.78
0.4706,80.11,0.8,0.4887,78.29,0.78
0.4709,80.25,0.8,0.4885,78.48,0.78
0.4702,79.9,0.8,0.4886,78.46,0.78
0.4684,80.4,0.8,0.4884,78.31,0.78
0.468,80.16,0.8,0.4883,78.43,0.78
0.4687,79.94,0.8,0.4888,78.25,0.78
0.4735,80.26,0.8,0.4902,78.25,0.78
0.4703,80.16,0.8,0.4887,78.39,0.78
0.4727,79.67,0.8,0.4953,77.84,0.78
0.4721,80.03,0.8,0.4929,78.06,0.78
0.4684,80.28,0.8,0.4883,78.31,0.78
0.4692,80.32,0.8,0.4886,78.26,0.78
0.468,80.17,0.8,0.4884,78.28,0.78
0.4754,79.9,0.8,0.5011,77.55,0.78
0.4738,79.85,0.8,0.4881,78.39,0.78
0.4739,80.17,0.8,0.4881,78.32,0.78
0.4684,80.25,0.8,0.4888,78.25,0.78
0.4715,79.93,0.8,0.488,78.36,0.78
0.4684,80.0,0.8,0.4886,78.54,0.79
0.4702,80.34,0.8,0.4884,78.23,0.78
0.4725,80.08,0.8,0.4888,78.16,0.78
0.4672,80.12,0.8,0.4881,78.32,0.78
0.4695,79.96,0.8,0.4882,78.52,0.79
0.4677,80.19,0.8,0.4882,78.23,0.78
0.4661,80.35,0.8,0.4878,78.4,0.78
0.4762,80.28,0.8,0.4984,77.73,0.78
0.4651,80.28,0.8,0.4873,78.49,0.78
0.4671,80.22,0.8,0.4881,78.54,0.79
0.4698,79.97,0.8,0.4872,78.43,0.78
0.4721,80.26,0.8,0.5104,76.98,0.77
0.4664,79.79,0.8,0.4882,78.34,0.78
0.4649,80.05,0.8,0.4879,78.37,0.78
0.4652,80.34,0.8,0.4878,78.34,0.78
