train_loss,train_accuracy,train_auc,val_loss,val_accuracy,val_auc
1.1323,48.85,0.75,1.0613,52.19,0.78
1.0695,52.54,0.78,1.0467,52.9,0.79
1.0431,53.56,0.79,1.0673,52.06,0.79
1.033,54.29,0.79,1.0396,53.42,0.79
1.012,54.18,0.8,1.0499,52.48,0.79
0.9961,55.72,0.81,1.0548,53.85,0.79
0.9849,56.84,0.81,1.0597,52.72,0.78
0.9619,58.25,0.82,1.0704,53.12,0.78
0.9575,58.5,0.83,1.0809,51.79,0.78
0.9319,59.93,0.83,1.0768,52.6,0.78
0.8642,62.7,0.86,1.0827,53.03,0.78
0.8396,63.74,0.86,1.0936,52.84,0.78
0.8231,64.94,0.87,1.1045,53.06,0.78
0.8217,64.69,0.87,1.1108,52.37,0.78
0.8038,66.06,0.88,1.1163,52.63,0.78
0.7889,66.1,0.88,1.1244,52.45,0.78
0.7764,67.58,0.89,1.1269,52.37,0.78
0.7816,66.73,0.88,1.1279,52.45,0.78
0.7873,66.85,0.88,1.1296,52.51,0.78
0.782,65.95,0.88,1.1292,52.48,0.78
0.7752,66.62,0.88,1.1305,52.48,0.78
0.7642,67.34,0.89,1.1319,52.51,0.78
0.7821,67.02,0.88,1.132,52.49,0.78
0.7668,67.84,0.89,1.1322,52.46,0.78
0.7797,66.26,0.88,1.1322,52.48,0.78
0.7645,67.18,0.89,1.1323,52.48,0.78
0.7713,66.99,0.89,1.1325,52.49,0.78
0.7688,67.06,0.89,1.1326,52.55,0.78
0.7719,67.44,0.89,1.1326,52.55,0.78
0.7699,67.44,0.89,1.1326,52.55,0.78
0.7729,67.35,0.89,1.1326,52.55,0.78
0.7731,66.99,0.89,1.1326,52.55,0.78
0.7702,67.05,0.89,1.1326,52.55,0.78
0.7794,66.94,0.88,1.1326,52.55,0.78
0.7702,67.67,0.89,1.1326,52.55,0.78
0.7772,66.45,0.88,1.1326,52.55,0.78
0.7801,67.52,0.89,1.1326,52.55,0.78
0.7688,67.23,0.89,1.1326,52.55,0.78
0.778,66.24,0.89,1.1326,52.55,0.78
0.7793,67.05,0.88,1.1326,52.55,0.78
0.7752,67.12,0.89,1.1326,52.55,0.78
0.7739,67.25,0.89,1.1326,52.55,0.78
0.7714,67.4,0.89,1.1326,52.55,0.78
0.7738,67.31,0.89,1.1326,52.55,0.78
0.7633,67.99,0.89,1.1326,52.54,0.78
0.7826,66.58,0.88,1.1326,52.54,0.78
0.7675,67.35,0.89,1.1326,52.54,0.78
0.7685,66.96,0.89,1.1326,52.54,0.78
0.7773,67.05,0.88,1.1326,52.54,0.78
0.7706,67.02,0.89,1.1326,52.54,0.78
0.7777,67.05,0.88,1.1326,52.54,0.78
0.768,66.85,0.89,1.1326,52.54,0.78
0.7726,67.18,0.89,1.1326,52.54,0.78
0.7756,67.06,0.89,1.1326,52.54,0.78
0.7735,66.99,0.89,1.1326,52.54,0.78
0.7768,67.47,0.89,1.1326,52.54,0.78
0.7762,67.41,0.89,1.1326,52.54,0.78
0.7732,67.14,0.89,1.1326,52.54,0.78
0.7788,66.73,0.88,1.1326,52.54,0.78
0.7721,67.26,0.89,1.1326,52.54,0.78
0.7758,66.97,0.89,1.1326,52.54,0.78
0.7679,67.5,0.89,1.1326,52.54,0.78
0.7704,66.8,0.89,1.1326,52.54,0.78
0.7726,66.96,0.89,1.1326,52.54,0.78
0.7809,66.76,0.88,1.1326,52.54,0.78
0.7762,66.68,0.89,1.1326,52.54,0.78
0.7727,67.18,0.89,1.1326,52.54,0.78
0.7722,67.43,0.89,1.1326,52.54,0.78
0.7715,67.29,0.89,1.1326,52.54,0.78
0.7705,67.11,0.89,1.1326,52.54,0.78
0.7704,66.9,0.89,1.1326,52.54,0.78
0.7734,67.17,0.89,1.1326,52.54,0.78
0.7801,66.61,0.89,1.1326,52.54,0.78
0.7772,66.56,0.89,1.1326,52.54,0.78
0.7808,66.16,0.88,1.1326,52.54,0.78
0.78,66.85,0.89,1.1326,52.54,0.78
0.7707,67.52,0.89,1.1326,52.54,0.78
0.7721,67.47,0.89,1.1326,52.54,0.78
0.7723,67.4,0.89,1.1326,52.54,0.78
0.7809,66.77,0.88,1.1326,52.54,0.78
0.7632,67.87,0.89,1.1326,52.54,0.78
0.7713,66.56,0.89,1.1326,52.54,0.78
0.7819,67.26,0.88,1.1326,52.54,0.78
0.7691,67.31,0.89,1.1326,52.54,0.78
0.7771,67.12,0.88,1.1326,52.54,0.78
0.7717,67.2,0.89,1.1326,52.54,0.78
0.7688,67.2,0.89,1.1326,52.54,0.78
0.7769,67.2,0.89,1.1326,52.54,0.78
0.7744,66.93,0.89,1.1326,52.54,0.78
0.7638,67.67,0.89,1.1326,52.54,0.78
0.7748,67.22,0.89,1.1326,52.54,0.78
0.7659,67.38,0.89,1.1327,52.54,0.78
0.7748,66.77,0.89,1.1327,52.54,0.78
0.767,67.87,0.89,1.1327,52.54,0.78
0.7794,67.22,0.88,1.1327,52.54,0.78
0.7684,67.35,0.89,1.1327,52.54,0.78
0.7681,67.52,0.89,1.1327,52.54,0.78
0.7707,67.26,0.89,1.1327,52.54,0.78
0.7761,66.91,0.89,1.1327,52.54,0.78
0.781,66.56,0.88,1.1327,52.54,0.78
