train_loss,train_accuracy,train_auc,val_loss,val_accuracy,val_auc
1.1533,47.22,0.74,1.1546,45.34,0.76
1.106,49.52,0.76,1.079,51.96,0.77
1.0774,51.93,0.77,1.0898,52.26,0.78
1.0707,53.36,0.78,1.1589,46.15,0.76
1.0839,51.0,0.77,1.0909,47.2,0.77
1.0515,52.37,0.78,1.0582,52.42,0.78
1.0465,53.15,0.79,1.0649,51.76,0.78
1.0337,53.41,0.79,1.0777,48.06,0.78
1.0344,54.26,0.79,1.0606,52.74,0.78
1.0236,54.69,0.79,1.0725,50.46,0.78
1.0259,54.49,0.79,1.0523,52.81,0.79
1.0098,54.72,0.8,1.0721,51.41,0.78
1.021,54.78,0.8,1.0786,51.41,0.78
1.0015,56.01,0.8,1.0575,53.26,0.78
0.986,56.49,0.81,1.0597,53.15,0.78
0.9839,56.61,0.81,1.0705,52.34,0.78
0.9727,56.56,0.81,1.071,51.18,0.78
0.9211,59.26,0.83,1.0581,52.63,0.78
0.9093,60.1,0.84,1.0604,52.61,0.78
0.9064,59.81,0.84,1.0617,52.58,0.78
0.8979,60.59,0.84,1.0653,52.78,0.78
0.8948,60.55,0.84,1.0684,52.57,0.78
0.887,61.44,0.85,1.0697,52.66,0.78
0.8868,61.74,0.85,1.069,52.46,0.78
0.8857,61.53,0.85,1.0689,52.4,0.78
0.8795,61.76,0.85,1.0696,52.31,0.78
0.8821,62.05,0.85,1.0699,52.31,0.78
0.8786,61.58,0.85,1.0704,52.42,0.78
0.8784,61.53,0.85,1.0703,52.45,0.78
0.8857,61.68,0.85,1.0703,52.49,0.78
0.8757,61.94,0.85,1.0703,52.43,0.78
0.8803,61.93,0.85,1.0702,52.38,0.78
0.8742,62.02,0.85,1.0703,52.45,0.78
0.875,61.82,0.85,1.0703,52.45,0.78
0.8817,61.65,0.85,1.0703,52.37,0.78
0.8787,61.8,0.85,1.0703,52.38,0.78
0.8702,61.76,0.85,1.0703,52.37,0.78
0.8792,62.03,0.85,1.0703,52.37,0.78
0.8834,61.16,0.85,1.0703,52.35,0.78
0.8753,62.23,0.85,1.0703,52.37,0.78
0.8798,62.06,0.85,1.0703,52.38,0.78
0.8849,62.08,0.85,1.0703,52.38,0.78
0.8726,61.74,0.85,1.0703,52.38,0.78
0.8777,61.61,0.85,1.0703,52.38,0.78
0.8772,61.96,0.85,1.0703,52.38,0.78
0.8778,61.84,0.85,1.0703,52.38,0.78
0.8777,61.48,0.85,1.0703,52.38,0.78
0.883,61.85,0.85,1.0703,52.38,0.78
0.876,61.39,0.85,1.0703,52.38,0.78
0.8742,62.67,0.85,1.0703,52.38,0.78
0.8736,61.35,0.85,1.0703,52.38,0.78
0.8722,61.71,0.85,1.0703,52.38,0.78
0.881,61.53,0.85,1.0703,52.38,0.78
0.879,61.87,0.85,1.0703,52.38,0.78
0.8725,62.41,0.85,1.0703,52.38,0.78
0.8687,62.22,0.85,1.0703,52.38,0.78
0.8826,61.41,0.85,1.0703,52.38,0.78
0.8844,62.26,0.85,1.0703,52.38,0.78
0.8794,61.85,0.85,1.0703,52.38,0.78
0.8652,62.08,0.85,1.0703,52.38,0.78
0.8727,61.85,0.85,1.0703,52.38,0.78
0.8819,61.77,0.85,1.0703,52.38,0.78
0.8848,61.8,0.85,1.0703,52.38,0.78
0.874,62.29,0.85,1.0703,52.38,0.78
0.8787,60.81,0.85,1.0703,52.38,0.78
0.8802,62.0,0.85,1.0703,52.38,0.78
0.8705,61.96,0.85,1.0703,52.38,0.78
0.8764,61.8,0.85,1.0703,52.38,0.78
0.8755,61.73,0.85,1.0703,52.38,0.78
0.8785,61.52,0.85,1.0703,52.38,0.78
0.8821,61.65,0.85,1.0703,52.38,0.78
0.8757,61.77,0.85,1.0703,52.38,0.78
0.8733,61.38,0.85,1.0703,52.38,0.78
0.8805,62.2,0.85,1.0703,52.38,0.78
0.8754,61.84,0.85,1.0703,52.38,0.78
0.8768,62.06,0.85,1.0703,52.38,0.78
0.881,61.58,0.85,1.0703,52.38,0.78
0.881,61.39,0.85,1.0703,52.38,0.78
0.8796,62.16,0.85,1.0703,52.38,0.78
0.8732,61.99,0.85,1.0703,52.38,0.78
0.871,61.79,0.85,1.0703,52.38,0.78
0.8811,61.7,0.85,1.0703,52.38,0.78
0.8782,61.47,0.85,1.0703,52.38,0.78
0.8833,61.65,0.85,1.0703,52.38,0.78
0.8817,61.8,0.85,1.0703,52.38,0.78
0.8753,62.02,0.85,1.0703,52.38,0.78
0.8804,62.35,0.85,1.0703,52.38,0.78
0.8725,62.03,0.85,1.0703,52.38,0.78
0.8759,62.67,0.85,1.0703,52.38,0.78
0.8747,61.52,0.85,1.0703,52.38,0.78
0.877,62.25,0.85,1.0703,52.38,0.78
0.8817,61.52,0.85,1.0703,52.38,0.78
0.8782,61.58,0.85,1.0703,52.38,0.78
0.8739,62.0,0.85,1.0703,52.38,0.78
0.8768,62.44,0.85,1.0703,52.38,0.78
0.8817,62.12,0.85,1.0703,52.38,0.78
0.8752,61.93,0.85,1.0703,52.38,0.78
0.8719,61.94,0.85,1.0703,52.38,0.78
0.8729,61.93,0.85,1.0703,52.38,0.78
0.8763,61.55,0.85,1.0703,52.38,0.78
