train_loss,train_accuracy,train_auc,val_loss,val_accuracy,val_auc
1.1485,48.24,0.74,1.119,48.55,0.75
1.1035,49.99,0.75,1.0914,51.12,0.77
1.0868,50.48,0.76,1.0851,51.05,0.76
1.0796,52.03,0.77,1.0824,51.38,0.77
1.0697,51.7,0.77,1.0889,50.76,0.76
1.0588,52.77,0.77,1.0924,51.02,0.77
1.0516,52.55,0.78,1.0884,51.45,0.76
1.042,53.16,0.78,1.103,50.02,0.76
1.0347,52.78,0.78,1.0986,50.15,0.76
1.0297,53.74,0.79,1.0918,50.46,0.76
0.9932,54.99,0.8,1.0945,50.18,0.76
0.9794,55.71,0.81,1.1003,50.66,0.76
0.9771,55.34,0.81,1.1035,50.23,0.76
0.9663,56.21,0.81,1.1079,50.46,0.76
0.9612,56.64,0.82,1.1111,50.44,0.76
0.9589,56.58,0.82,1.1147,50.32,0.76
0.9457,57.43,0.82,1.1151,50.4,0.76
0.9508,56.64,0.82,1.1157,50.37,0.76
0.9429,57.11,0.82,1.1164,50.31,0.76
0.9429,57.23,0.82,1.1173,50.4,0.76
0.9483,57.64,0.82,1.1174,50.31,0.76
0.953,57.06,0.82,1.1179,50.17,0.76
0.9496,57.05,0.82,1.1179,50.15,0.76
0.9539,57.98,0.82,1.118,50.15,0.76
0.9583,56.7,0.82,1.118,50.15,0.76
0.9482,57.51,0.82,1.118,50.18,0.76
0.9558,56.84,0.82,1.118,50.18,0.76
0.9449,57.09,0.82,1.1181,50.26,0.76
0.9478,57.11,0.82,1.1181,50.26,0.76
0.9455,57.03,0.82,1.1181,50.26,0.76
0.9438,57.66,0.82,1.1181,50.26,0.76
0.9469,57.34,0.82,1.1181,50.24,0.76
0.9484,57.13,0.82,1.1181,50.26,0.76
0.9605,57.28,0.82,1.1181,50.26,0.76
0.9498,57.14,0.82,1.1181,50.26,0.76
0.9471,57.46,0.82,1.1181,50.26,0.76
0.9438,57.22,0.82,1.1181,50.26,0.76
0.9439,57.08,0.82,1.1181,50.26,0.76
0.949,57.13,0.82,1.1181,50.26,0.76
0.9421,57.86,0.82,1.1181,50.26,0.76
0.947,57.02,0.82,1.1181,50.24,0.76
0.9479,57.22,0.82,1.1181,50.24,0.76
0.9508,57.45,0.82,1.1181,50.24,0.76
0.9447,56.64,0.82,1.1181,50.24,0.76
0.9482,57.0,0.82,1.1181,50.24,0.76
0.9501,57.11,0.82,1.1181,50.24,0.76
0.9475,56.71,0.82,1.1181,50.24,0.76
0.9467,57.2,0.82,1.1181,50.24,0.76
0.9451,57.46,0.82,1.1181,50.24,0.76
0.9487,57.7,0.82,1.1181,50.24,0.76
0.9428,57.84,0.82,1.1181,50.24,0.76
0.9423,57.8,0.82,1.1181,50.24,0.76
0.9479,57.69,0.82,1.1181,50.24,0.76
0.9621,57.09,0.82,1.1181,50.24,0.76
0.9451,57.2,0.82,1.1181,50.24,0.76
0.9409,57.31,0.82,1.1181,50.24,0.76
0.947,57.03,0.82,1.1181,50.24,0.76
0.9445,57.13,0.82,1.1181,50.24,0.76
0.9449,57.31,0.82,1.1181,50.24,0.76
0.945,57.69,0.82,1.1181,50.24,0.76
0.9487,57.13,0.82,1.1181,50.24,0.76
0.9454,57.43,0.82,1.1181,50.24,0.76
0.9462,57.19,0.82,1.1181,50.24,0.76
0.9507,56.61,0.82,1.1181,50.24,0.76
0.9484,57.19,0.82,1.1181,50.24,0.76
0.9504,57.13,0.82,1.1181,50.24,0.76
0.9486,57.49,0.82,1.1181,50.24,0.76
0.9467,57.03,0.82,1.1181,50.24,0.76
0.953,57.49,0.82,1.1181,50.24,0.76
0.9458,56.81,0.82,1.1181,50.24,0.76
0.9459,56.99,0.82,1.1181,50.24,0.76
0.9572,57.52,0.82,1.1181,50.24,0.76
0.9478,57.22,0.82,1.1181,50.24,0.76
0.9478,57.45,0.82,1.1181,50.24,0.76
0.9512,56.74,0.82,1.1181,50.24,0.76
0.944,57.25,0.82,1.1181,50.24,0.76
0.9507,57.2,0.82,1.1181,50.24,0.76
0.9453,57.06,0.82,1.1181,50.24,0.76
0.9503,57.31,0.82,1.1181,50.24,0.76
0.9523,57.95,0.82,1.1181,50.24,0.76
0.9477,57.35,0.82,1.1181,50.24,0.76
0.9466,57.08,0.82,1.1181,50.24,0.76
0.9462,57.23,0.82,1.1181,50.24,0.76
0.9419,57.05,0.82,1.1181,50.24,0.76
0.954,56.24,0.82,1.1181,50.24,0.76
0.9487,56.88,0.82,1.1181,50.24,0.76
0.9428,57.51,0.82,1.1181,50.24,0.76
0.9429,57.31,0.82,1.1181,50.24,0.76
0.9508,57.09,0.82,1.1181,50.24,0.76
0.9558,56.17,0.82,1.1181,50.24,0.76
0.9487,56.91,0.82,1.1181,50.24,0.76
0.9408,57.06,0.82,1.1181,50.24,0.76
0.9432,57.32,0.82,1.1181,50.24,0.76
0.9469,57.22,0.82,1.1181,50.24,0.76
0.9508,57.58,0.82,1.1181,50.24,0.76
0.9488,57.31,0.82,1.1181,50.24,0.76
0.947,57.58,0.82,1.1181,50.24,0.76
0.9514,56.9,0.82,1.1181,50.24,0.76
0.9433,57.66,0.82,1.1181,50.24,0.76
0.9495,57.23,0.82,1.1181,50.24,0.76
