train_loss,train_accuracy,train_auc,val_loss,val_accuracy,val_auc
1.161,46.36,0.73,1.1207,46.15,0.75
1.1117,49.49,0.75,1.137,46.15,0.76
1.1013,49.93,0.76,1.1028,48.21,0.76
1.0944,50.39,0.76,1.1002,51.12,0.76
1.0874,51.17,0.76,1.0939,51.82,0.77
1.0778,50.83,0.77,1.0988,49.19,0.76
1.0819,50.62,0.76,1.1003,50.15,0.77
1.073,50.98,0.77,1.0904,50.57,0.76
1.064,51.64,0.77,1.1071,49.59,0.76
1.0543,52.17,0.77,1.1412,48.88,0.75
1.0569,51.55,0.77,1.0877,51.25,0.76
1.0532,51.5,0.77,1.0914,51.09,0.76
1.0452,52.48,0.78,1.0876,50.72,0.76
1.0435,52.05,0.78,1.0941,50.55,0.76
1.0334,52.71,0.78,1.1007,50.95,0.76
1.0252,53.47,0.79,1.1008,50.54,0.76
1.0247,53.67,0.79,1.1149,49.59,0.75
1.0188,53.15,0.79,1.1089,50.67,0.76
1.0383,53.96,0.79,1.1271,48.87,0.75
0.997,54.92,0.8,1.0935,50.76,0.76
0.9827,55.86,0.81,1.0993,50.95,0.76
0.9729,56.27,0.81,1.1019,50.79,0.76
0.9741,55.13,0.81,1.1035,50.61,0.76
0.9734,56.09,0.81,1.1076,50.78,0.76
0.965,55.89,0.81,1.1083,50.84,0.76
0.96,55.89,0.81,1.1082,50.98,0.76
0.9568,56.52,0.82,1.1085,50.87,0.76
0.9663,56.13,0.82,1.1084,50.9,0.76
0.959,56.21,0.82,1.1085,50.83,0.76
0.9546,56.49,0.82,1.1095,50.63,0.76
0.957,56.9,0.82,1.1101,50.72,0.76
0.9548,56.5,0.82,1.1101,50.7,0.76
0.9571,57.02,0.82,1.1101,50.73,0.76
0.9618,56.23,0.81,1.1101,50.73,0.76
0.9628,56.91,0.82,1.1101,50.72,0.76
0.9581,56.24,0.82,1.1101,50.72,0.76
0.954,56.2,0.82,1.1101,50.7,0.76
0.9568,56.42,0.81,1.1101,50.7,0.76
0.9586,56.33,0.82,1.1101,50.72,0.76
0.9632,56.21,0.82,1.1101,50.72,0.76
0.9546,56.73,0.82,1.1101,50.72,0.76
0.9522,56.17,0.82,1.1101,50.7,0.76
0.9525,56.45,0.82,1.1101,50.72,0.76
0.9528,56.99,0.82,1.1101,50.72,0.76
0.96,56.7,0.82,1.1101,50.72,0.76
0.9651,56.38,0.82,1.1101,50.72,0.76
0.9529,56.45,0.82,1.1101,50.72,0.76
0.9531,56.06,0.82,1.1101,50.72,0.76
0.9535,57.08,0.82,1.1101,50.72,0.76
0.9597,56.55,0.82,1.1101,50.72,0.76
0.9573,56.7,0.82,1.1101,50.72,0.76
0.9569,56.42,0.82,1.1101,50.72,0.76
0.9582,56.71,0.82,1.1101,50.72,0.76
0.9603,56.59,0.82,1.1101,50.72,0.76
0.9544,56.79,0.82,1.1101,50.72,0.76
0.9607,57.16,0.82,1.1101,50.72,0.76
0.9649,57.2,0.82,1.1101,50.72,0.76
0.9593,56.33,0.81,1.1101,50.72,0.76
0.9619,56.52,0.82,1.1101,50.72,0.76
0.9542,56.99,0.82,1.1101,50.72,0.76
0.9573,56.29,0.82,1.1101,50.72,0.76
0.9643,55.89,0.81,1.1101,50.72,0.76
0.9582,57.42,0.82,1.1101,50.72,0.76
0.9635,56.27,0.82,1.1101,50.72,0.76
0.9512,57.35,0.82,1.1101,50.72,0.76
0.9512,56.38,0.82,1.1101,50.72,0.76
0.9555,56.13,0.82,1.1101,50.72,0.76
0.9589,56.42,0.82,1.1101,50.72,0.76
0.9544,56.49,0.82,1.1101,50.72,0.76
0.9582,56.65,0.82,1.1101,50.72,0.76
0.9621,55.94,0.82,1.1101,50.72,0.76
0.9611,56.12,0.81,1.1101,50.72,0.76
0.96,56.58,0.82,1.1101,50.72,0.76
0.9588,56.24,0.82,1.1101,50.72,0.76
0.959,56.2,0.82,1.1101,50.72,0.76
0.9576,56.88,0.82,1.1101,50.72,0.76
0.9551,56.44,0.82,1.1101,50.72,0.76
0.9573,56.45,0.82,1.1101,50.72,0.76
0.9557,56.99,0.82,1.1101,50.72,0.76
0.9641,56.3,0.82,1.1101,50.72,0.76
0.9492,56.84,0.82,1.1101,50.72,0.76
0.9494,56.79,0.82,1.1101,50.72,0.76
0.9554,56.17,0.82,1.1101,50.72,0.76
0.9523,56.85,0.82,1.1101,50.72,0.76
0.9626,56.9,0.82,1.1101,50.72,0.76
0.9554,56.53,0.81,1.1101,50.72,0.76
0.9494,56.93,0.82,1.1101,50.72,0.76
0.9589,56.21,0.82,1.1101,50.72,0.76
0.9644,56.85,0.82,1.1101,50.72,0.76
0.95,57.14,0.82,1.1101,50.72,0.76
0.9561,56.49,0.82,1.1101,50.72,0.76
0.955,56.93,0.82,1.1101,50.72,0.76
0.9618,56.17,0.81,1.1101,50.72,0.76
0.9598,56.79,0.82,1.1101,50.72,0.76
0.9678,56.7,0.82,1.1101,50.72,0.76
0.9651,56.26,0.81,1.1101,50.72,0.76
0.9558,57.03,0.82,1.1101,50.72,0.76
0.9508,56.23,0.82,1.1101,50.72,0.76
0.9587,56.53,0.82,1.1101,50.72,0.76
0.9545,56.9,0.82,1.1101,50.72,0.76
