item_name,train_loss_min,train_loss_avg,train_loss_max,train_acc_min,train_acc_avg,train_acc_max,train_auc_min,train_auc_avg,train_auc_max,val_loss_min,val_loss_avg,val_loss_max,val_acc_min,val_acc_avg,val_acc_max,val_auc_min,val_auc_avg,val_auc_max,test_acc_score,test_auc_score
H3K27ac-H3K27me3-H3K9me3-H3K9ac-H3K4me3,0.4849,0.5115,0.684,72.21,78.0818,79.08,0.72,0.7811,0.79,0.5189,0.5288,0.6714,75.67,77.3937,77.85,0.76,0.7748,0.78,76.89,0.77
H3K27me3-H3K4me3-H3K9ac-H3K9me3-H3K27ac,0.4861,0.5119,0.6833,70.87,78.0037,79.01,0.71,0.7806,0.79,0.5189,0.5279,0.6709,76.29,77.3304,77.76,0.76,0.7738,0.78,76.82,0.77
H3K27me3-H3K4me3-H3K9ac-H3K27ac-H3K9me3,0.4784,0.506,0.6846,50.01,77.8217,79.36,0.5,0.7782,0.79,0.5191,0.5273,0.6661,49.99,77.0547,77.9,0.5,0.7706,0.78,76.76,0.77
H3K27me3-H3K4me3-H3K9me3-H3K9ac-H3K27ac,0.4806,0.5061,0.6806,58.26,78.1058,79.46,0.58,0.7814,0.79,0.5188,0.5261,0.6579,75.11,77.4963,77.9,0.75,0.7762,0.78,76.85,0.77
H3K27me3-H3K4me3-H3K9me3-H3K27ac-H3K9ac,0.4861,0.5118,0.686,70.17,78.0346,78.98,0.7,0.7812,0.79,0.5188,0.5284,0.6752,76.13,77.363,77.84,0.76,0.775,0.78,76.9,0.77
H3K27me3-H3K4me3-H3K27ac-H3K9ac-H3K9me3,0.4829,0.5102,0.6787,68.16,78.0897,79.21,0.68,0.7814,0.79,0.5202,0.5289,0.6602,76.29,77.2903,77.86,0.76,0.7738,0.78,76.71,0.77
H3K27me3-H3K4me3-H3K27ac-H3K9me3-H3K9ac,0.4868,0.5137,0.6874,69.56,77.9005,78.94,0.7,0.7795,0.79,0.5192,0.5294,0.679,76.01,77.269,77.76,0.76,0.7736,0.78,76.82,0.77
H3K27me3-H3K9ac-H3K4me3-H3K9me3-H3K27ac,0.4833,0.5115,0.6822,65.13,78.0381,79.12,0.65,0.7806,0.79,0.5194,0.5292,0.6668,76.26,77.2926,77.85,0.76,0.7729,0.78,76.92,0.77
H3K27me3-H3K9ac-H3K4me3-H3K27ac-H3K9me3,0.4842,0.5085,0.6802,51.33,77.9398,78.92,0.51,0.7797,0.79,0.519,0.5261,0.6603,73.38,77.3772,77.88,0.73,0.7743,0.78,76.96,0.77
H3K27me3-H3K9ac-H3K9me3-H3K4me3-H3K27ac,0.4823,0.5103,0.6818,69.77,78.0262,79.17,0.7,0.7804,0.79,0.519,0.5291,0.6684,74.72,77.2768,77.97,0.75,0.773,0.78,76.9,0.77
H3K27me3-H3K9ac-H3K9me3-H3K27ac-H3K4me3,0.4836,0.5128,0.6812,49.99,77.5706,79.04,0.5,0.7761,0.79,0.5207,0.5313,0.6675,49.99,76.8882,77.76,0.5,0.7691,0.78,76.9,0.77
H3K27me3-H3K9ac-H3K27ac-H3K4me3-H3K9me3,0.4795,0.5056,0.6752,55.7,78.0358,79.29,0.56,0.7807,0.79,0.5195,0.5268,0.6519,74.95,77.3692,77.94,0.75,0.774,0.78,76.78,0.77
H3K27me3-H3K9ac-H3K27ac-H3K9me3-H3K4me3,0.4837,0.51,0.6818,72.12,78.0879,79.05,0.72,0.7813,0.79,0.52,0.5285,0.667,75.56,77.266,77.86,0.76,0.7727,0.78,76.77,0.77
H3K27me3-H3K9me3-H3K4me3-H3K9ac-H3K27ac,0.4842,0.511,0.6846,50.01,77.5822,79.02,0.5,0.7767,0.79,0.5189,0.528,0.6707,49.99,77.0518,77.88,0.5,0.7717,0.78,76.89,0.77
H3K27me3-H3K9me3-H3K4me3-H3K27ac-H3K9ac,0.484,0.5085,0.6808,61.2,78.0294,79.01,0.61,0.7807,0.79,0.5188,0.526,0.663,76.05,77.3724,77.82,0.76,0.7747,0.78,76.86,0.77
H3K27me3-H3K9me3-H3K9ac-H3K4me3-H3K27ac,0.4815,0.507,0.6794,68.83,78.1617,79.36,0.69,0.7817,0.79,0.5194,0.527,0.6584,75.69,77.3471,77.9,0.76,0.7734,0.78,76.88,0.77
H3K27me3-H3K9me3-H3K9ac-H3K27ac-H3K4me3,0.482,0.5079,0.6789,70.6,78.2202,79.13,0.71,0.7823,0.79,0.5188,0.5268,0.6608,76.39,77.3964,77.93,0.76,0.7752,0.78,76.88,0.77
H3K27me3-H3K9me3-H3K27ac-H3K4me3-H3K9ac,0.485,0.5108,0.6795,52.12,77.7826,79.04,0.52,0.7781,0.79,0.5199,0.5286,0.6615,71.98,77.233,77.8,0.72,0.7733,0.78,76.92,0.77
H3K27me3-H3K9me3-H3K27ac-H3K9ac-H3K4me3,0.4819,0.5099,0.6709,67.85,78.0977,79.17,0.68,0.7812,0.79,0.5204,0.5298,0.6481,76.01,77.1668,77.8,0.76,0.7708,0.78,76.74,0.77
H3K27me3-H3K27ac-H3K4me3-H3K9ac-H3K9me3,0.48,0.5091,0.6775,50.22,77.8547,79.23,0.5,0.7784,0.79,0.5204,0.53,0.6602,70.3,77.1918,77.8,0.7,0.7723,0.78,76.88,0.77
H3K27me3-H3K27ac-H3K4me3-H3K9me3-H3K9ac,0.4847,0.5094,0.6818,69.81,78.007,79.04,0.7,0.7808,0.79,0.5189,0.5271,0.6635,76.16,77.3434,77.86,0.76,0.7741,0.78,76.9,0.77
H3K27me3-H3K27ac-H3K9ac-H3K4me3-H3K9me3,0.4854,0.51,0.6851,61.85,77.9823,79.05,0.62,0.7805,0.79,0.519,0.5271,0.6679,75.03,77.3451,77.82,0.75,0.7743,0.78,76.93,0.77
H3K27me3-H3K27ac-H3K9ac-H3K9me3-H3K4me3,0.4856,0.511,0.686,53.91,77.8158,78.98,0.54,0.7792,0.79,0.5192,0.5279,0.6699,73.24,77.2763,77.77,0.73,0.7733,0.78,76.67,0.77
H3K27me3-H3K27ac-H3K9me3-H3K4me3-H3K9ac,0.4797,0.5061,0.6782,52.26,77.992,79.21,0.52,0.7805,0.79,0.5191,0.5265,0.658,74.75,77.3436,77.86,0.75,0.7739,0.78,76.73,0.77
H3K27me3-H3K27ac-H3K9me3-H3K9ac-H3K4me3,0.4809,0.507,0.6782,50.03,77.9354,79.19,0.5,0.7797,0.79,0.5203,0.5272,0.6559,70.46,77.3409,77.8,0.7,0.7738,0.78,76.63,0.77
H3K4me3,0.5086,0.5223,0.6682,57.21,76.4083,77.2,0.57,0.7633,0.77,0.5363,0.5396,0.6323,74.83,75.934,76.24,0.75,0.7593,0.76,75.48,0.75
H3K9ac,0.509,0.523,0.6784,67.96,77.2238,77.9,0.68,0.7731,0.78,0.531,0.537,0.6577,75.38,76.4757,76.78,0.75,0.7666,0.77,75.49,0.75
