train_loss,train_accuracy,train_auc,val_loss,val_accuracy,val_auc
0.6844,59.62,0.6,0.6726,75.26,0.75
0.6622,75.69,0.76,0.6456,76.2,0.76
0.6345,76.75,0.77,0.616,76.33,0.76
0.6059,77.08,0.77,0.5896,76.48,0.76
0.5816,77.38,0.77,0.5703,76.58,0.77
0.5629,77.2,0.77,0.5568,76.41,0.76
0.5522,76.9,0.77,0.5491,76.22,0.76
0.5441,76.82,0.77,0.5439,76.48,0.76
0.5393,76.98,0.77,0.5403,76.35,0.76
0.5349,77.09,0.77,0.5375,76.48,0.76
0.5315,77.08,0.77,0.5354,76.51,0.77
0.5283,77.32,0.77,0.5339,76.59,0.77
0.5275,77.27,0.77,0.5327,76.62,0.77
0.5255,77.5,0.77,0.5316,76.74,0.77
0.5238,77.43,0.77,0.531,76.72,0.77
0.5237,77.46,0.77,0.5303,76.83,0.77
0.5224,77.5,0.77,0.5295,76.79,0.77
0.5218,77.65,0.78,0.529,76.83,0.77
0.5203,77.67,0.78,0.5286,76.83,0.77
0.5197,77.7,0.78,0.5282,76.81,0.77
0.5194,77.61,0.78,0.5277,76.91,0.77
0.5193,77.67,0.78,0.5272,76.98,0.77
0.5189,77.66,0.78,0.5269,77.02,0.77
0.5177,77.56,0.78,0.5265,77.04,0.77
0.5166,77.58,0.78,0.5264,77.02,0.77
0.5159,77.56,0.78,0.5261,77.01,0.77
0.5156,77.67,0.78,0.5256,77.0,0.77
0.5156,77.66,0.78,0.5255,77.01,0.77
0.514,77.78,0.78,0.525,77.05,0.77
0.515,77.56,0.78,0.5246,77.23,0.77
0.5139,77.65,0.78,0.5244,77.16,0.77
0.5126,77.63,0.78,0.5243,77.12,0.77
0.5147,77.66,0.78,0.524,77.15,0.77
0.5128,77.82,0.78,0.5242,77.2,0.77
0.5113,77.74,0.78,0.5237,77.19,0.77
0.5116,77.75,0.78,0.5236,77.21,0.77
0.5106,77.83,0.78,0.5231,77.24,0.77
0.5128,77.73,0.78,0.5229,77.17,0.77
0.5106,77.69,0.78,0.5227,77.2,0.77
0.5093,77.88,0.78,0.5224,77.21,0.77
0.509,77.98,0.78,0.5224,77.19,0.77
0.5084,77.93,0.78,0.5225,77.31,0.77
0.5092,77.83,0.78,0.5218,77.25,0.77
0.5072,77.86,0.78,0.522,77.39,0.77
0.5081,77.92,0.78,0.5217,77.32,0.77
0.5078,78.02,0.78,0.5215,77.33,0.77
0.5084,77.98,0.78,0.5213,77.4,0.77
0.5059,78.04,0.78,0.5214,77.38,0.77
0.5067,78.01,0.78,0.5218,77.39,0.77
0.5061,78.06,0.78,0.5209,77.46,0.77
0.5054,78.02,0.78,0.5209,77.48,0.77
0.5058,78.02,0.78,0.5209,77.44,0.77
0.5045,78.06,0.78,0.5207,77.47,0.77
0.5041,77.92,0.78,0.5206,77.48,0.77
0.5035,78.17,0.78,0.5207,77.42,0.77
0.5024,78.05,0.78,0.5206,77.5,0.77
0.5022,78.19,0.78,0.5205,77.51,0.78
0.5041,78.04,0.78,0.5206,77.47,0.77
0.5029,78.16,0.78,0.5205,77.52,0.78
0.502,78.12,0.78,0.5207,77.48,0.77
0.5013,78.19,0.78,0.5202,77.5,0.77
0.5018,78.13,0.78,0.5204,77.51,0.78
0.5006,78.23,0.78,0.5206,77.54,0.78
0.5013,78.15,0.78,0.521,77.46,0.77
0.5009,78.23,0.78,0.5218,77.43,0.77
0.502,78.17,0.78,0.5202,77.48,0.77
0.5,78.15,0.78,0.5205,77.48,0.77
0.5011,78.24,0.78,0.5206,77.44,0.77
0.499,78.04,0.78,0.5207,77.46,0.77
0.4999,78.27,0.78,0.5203,77.47,0.77
0.4993,78.42,0.78,0.5207,77.46,0.77
0.4991,78.21,0.78,0.52,77.5,0.77
0.4983,78.51,0.79,0.52,77.51,0.78
0.4991,78.29,0.78,0.5204,77.43,0.77
0.4982,78.25,0.78,0.5204,77.43,0.77
0.4984,78.27,0.78,0.5205,77.44,0.77
0.4965,78.38,0.78,0.5202,77.52,0.78
0.4977,78.42,0.78,0.5205,77.36,0.77
0.4981,78.31,0.78,0.5203,77.5,0.77
0.4965,78.25,0.78,0.5205,77.46,0.77
0.4956,78.42,0.78,0.5208,77.44,0.77
0.4954,78.24,0.78,0.5224,77.46,0.77
0.4949,78.35,0.78,0.5212,77.38,0.77
0.4941,78.21,0.78,0.5205,77.55,0.78
0.495,78.4,0.78,0.5206,77.5,0.77
0.4946,78.24,0.78,0.5207,77.59,0.78
0.4944,78.4,0.78,0.5215,77.33,0.77
0.4943,78.36,0.78,0.5214,77.55,0.78
0.4945,78.38,0.78,0.5218,77.33,0.77
0.4947,78.47,0.78,0.5207,77.62,0.78
0.4924,78.38,0.78,0.5217,77.4,0.77
0.4926,78.58,0.79,0.5221,77.43,0.77
0.492,78.52,0.79,0.5218,77.44,0.77
0.4933,78.33,0.78,0.5223,77.44,0.77
0.4935,78.47,0.78,0.5211,77.65,0.78
0.4937,78.46,0.78,0.521,77.65,0.78
0.4911,78.44,0.78,0.5216,77.67,0.78
0.4926,78.46,0.78,0.5215,77.61,0.78
0.4917,78.36,0.78,0.5214,77.63,0.78
0.4903,78.56,0.79,0.5214,77.61,0.78
