train_loss,train_accuracy,train_auc,val_loss,val_accuracy,val_auc
0.6812,51.95,0.52,0.6661,70.95,0.71
0.6529,71.55,0.72,0.6333,76.09,0.76
0.621,76.65,0.77,0.6029,76.41,0.76
0.5933,77.08,0.77,0.5811,76.49,0.76
0.5738,77.2,0.77,0.5658,76.43,0.76
0.5591,76.93,0.77,0.5549,76.47,0.76
0.5475,76.93,0.77,0.5477,76.39,0.76
0.5413,76.85,0.77,0.5427,76.37,0.76
0.5371,77.04,0.77,0.5391,76.32,0.76
0.5321,77.05,0.77,0.5364,76.56,0.77
0.5293,77.21,0.77,0.5345,76.51,0.77
0.5266,77.32,0.77,0.5328,76.67,0.77
0.5251,77.39,0.77,0.5319,76.66,0.77
0.5237,77.44,0.77,0.5308,76.67,0.77
0.5216,77.62,0.78,0.5304,76.71,0.77
0.5211,77.52,0.78,0.5296,76.75,0.77
0.5198,77.79,0.78,0.529,76.83,0.77
0.5192,77.7,0.78,0.5284,76.96,0.77
0.5188,77.56,0.78,0.5278,76.91,0.77
0.5168,77.67,0.78,0.5275,76.97,0.77
0.5172,77.75,0.78,0.527,77.0,0.77
0.5155,77.7,0.78,0.527,76.91,0.77
0.5155,77.74,0.78,0.5266,76.97,0.77
0.516,77.78,0.78,0.5258,77.12,0.77
0.5142,77.75,0.78,0.5256,77.06,0.77
0.5141,77.9,0.78,0.5257,77.08,0.77
0.5132,77.82,0.78,0.5249,77.16,0.77
0.5132,77.85,0.78,0.5246,77.2,0.77
0.5135,77.92,0.78,0.5244,77.25,0.77
0.5115,77.86,0.78,0.5241,77.2,0.77
0.5123,77.92,0.78,0.524,77.16,0.77
0.5111,77.9,0.78,0.5238,77.19,0.77
0.511,77.93,0.78,0.5235,77.16,0.77
0.5095,77.92,0.78,0.5234,77.19,0.77
0.5084,77.93,0.78,0.5228,77.32,0.77
0.5086,77.98,0.78,0.5226,77.29,0.77
0.5076,78.02,0.78,0.5223,77.32,0.77
0.5079,78.01,0.78,0.5223,77.36,0.77
0.5072,78.2,0.78,0.5225,77.31,0.77
0.5076,78.01,0.78,0.5219,77.42,0.77
0.5056,78.12,0.78,0.5219,77.38,0.77
0.5064,78.23,0.78,0.5217,77.36,0.77
0.5047,78.19,0.78,0.5215,77.43,0.77
0.5057,78.16,0.78,0.5216,77.33,0.77
0.5044,78.21,0.78,0.521,77.48,0.77
0.505,78.06,0.78,0.5207,77.52,0.78
0.5036,78.16,0.78,0.5207,77.54,0.78
0.5042,78.24,0.78,0.5206,77.52,0.78
0.5022,78.21,0.78,0.5207,77.48,0.77
0.5022,78.25,0.78,0.5204,77.55,0.78
0.5012,78.17,0.78,0.5204,77.5,0.77
0.5023,78.24,0.78,0.5204,77.47,0.77
0.5002,78.29,0.78,0.5211,77.24,0.77
0.5007,78.17,0.78,0.5204,77.46,0.77
0.5005,78.24,0.78,0.5204,77.33,0.77
0.5001,78.42,0.78,0.5211,77.24,0.77
0.4995,78.27,0.78,0.5201,77.4,0.77
0.4998,78.32,0.78,0.52,77.46,0.77
0.4985,78.46,0.78,0.52,77.47,0.77
0.4986,78.36,0.78,0.5219,77.29,0.77
0.4976,78.32,0.78,0.5208,77.28,0.77
0.5003,78.44,0.78,0.52,77.44,0.77
0.4981,78.43,0.78,0.52,77.4,0.77
0.4957,78.48,0.78,0.52,77.4,0.77
0.4952,78.25,0.78,0.5206,77.5,0.77
0.4968,78.38,0.78,0.5199,77.44,0.77
0.4975,78.39,0.78,0.5199,77.39,0.77
0.4956,78.5,0.78,0.52,77.43,0.77
0.4946,78.54,0.79,0.5203,77.33,0.77
0.4961,78.58,0.79,0.5202,77.48,0.77
0.4948,78.62,0.79,0.5202,77.55,0.78
0.4944,78.58,0.79,0.5202,77.58,0.78
0.4941,78.54,0.79,0.5204,77.38,0.77
0.493,78.7,0.79,0.5203,77.44,0.77
0.4928,78.59,0.79,0.5201,77.47,0.77
0.4944,78.7,0.79,0.5225,77.81,0.78
0.4926,78.62,0.79,0.5203,77.44,0.77
0.4944,78.69,0.79,0.5207,77.66,0.78
0.4916,78.77,0.79,0.5215,77.47,0.77
0.4922,78.62,0.79,0.5217,77.35,0.77
0.4911,78.59,0.79,0.5208,77.46,0.77
0.4905,78.78,0.79,0.522,77.32,0.77
0.4919,78.59,0.79,0.5211,77.46,0.77
0.4919,78.71,0.79,0.521,77.47,0.77
0.4901,78.82,0.79,0.5217,77.71,0.78
0.4889,78.86,0.79,0.521,77.52,0.78
0.4891,78.75,0.79,0.5222,77.43,0.77
0.4894,78.74,0.79,0.5218,77.46,0.77
0.49,78.81,0.79,0.521,77.61,0.78
0.4889,78.79,0.79,0.5209,77.57,0.78
0.4889,78.9,0.79,0.5218,77.48,0.77
0.4876,78.86,0.79,0.5228,77.47,0.77
0.4863,78.78,0.79,0.5211,77.62,0.78
0.4879,79.04,0.79,0.5218,77.63,0.78
0.486,78.86,0.79,0.5219,77.59,0.78
0.4869,78.88,0.79,0.5223,77.43,0.77
0.4859,78.94,0.79,0.5216,77.66,0.78
0.4862,78.88,0.79,0.5225,77.8,0.78
0.4849,78.77,0.79,0.5219,77.63,0.78
0.484,79.05,0.79,0.5232,77.44,0.77
