train_loss,train_accuracy,train_auc,val_loss,val_accuracy,val_auc
0.6747,65.55,0.66,0.6501,76.45,0.76
0.6342,77.47,0.77,0.6104,77.05,0.77
0.5995,77.17,0.77,0.5826,76.43,0.76
0.5766,76.73,0.77,0.5659,76.24,0.76
0.56,76.46,0.76,0.556,75.84,0.76
0.551,76.32,0.76,0.5502,75.59,0.76
0.5454,76.43,0.76,0.5449,76.09,0.76
0.54,76.38,0.76,0.5415,76.39,0.76
0.5361,76.59,0.77,0.5386,76.35,0.76
0.5324,76.79,0.77,0.5363,76.55,0.77
0.5308,76.98,0.77,0.5345,76.66,0.77
0.5284,77.15,0.77,0.533,76.78,0.77
0.5262,77.09,0.77,0.5316,76.93,0.77
0.5259,77.32,0.77,0.5308,76.79,0.77
0.5229,77.33,0.77,0.5297,77.0,0.77
0.5239,77.4,0.77,0.5292,77.2,0.77
0.5208,77.66,0.78,0.5284,77.13,0.77
0.5189,77.69,0.78,0.5281,77.36,0.77
0.5191,77.78,0.78,0.5274,77.23,0.77
0.519,77.75,0.78,0.5272,77.19,0.77
0.5176,77.92,0.78,0.5265,77.28,0.77
0.5162,77.88,0.78,0.5264,77.28,0.77
0.5169,77.94,0.78,0.5257,77.38,0.77
0.5163,77.77,0.78,0.5252,77.55,0.78
0.5154,77.88,0.78,0.5249,77.52,0.78
0.5143,78.02,0.78,0.5248,77.51,0.78
0.513,78.06,0.78,0.5245,77.57,0.78
0.5135,78.05,0.78,0.5244,77.58,0.78
0.5142,77.98,0.78,0.5241,77.58,0.78
0.5118,78.11,0.78,0.5249,77.42,0.77
0.5113,78.17,0.78,0.5236,77.58,0.78
0.5109,78.05,0.78,0.5238,77.55,0.78
0.511,78.09,0.78,0.524,77.57,0.78
0.5111,78.24,0.78,0.5235,77.55,0.78
0.5099,78.02,0.78,0.5236,77.52,0.78
0.5093,78.2,0.78,0.5233,77.55,0.78
0.5099,78.16,0.78,0.5232,77.52,0.78
0.5084,78.23,0.78,0.523,77.61,0.78
0.5081,78.17,0.78,0.5237,77.47,0.77
0.5092,78.12,0.78,0.5231,77.54,0.78
0.5086,78.2,0.78,0.5235,77.47,0.77
0.5074,78.2,0.78,0.523,77.58,0.78
0.5079,78.16,0.78,0.5232,77.5,0.77
0.5071,78.25,0.78,0.523,77.57,0.78
0.5071,78.29,0.78,0.5229,77.55,0.78
0.5069,78.23,0.78,0.5231,77.55,0.78
0.5057,78.33,0.78,0.523,77.54,0.78
0.5061,78.19,0.78,0.5249,77.29,0.77
0.506,78.24,0.78,0.524,77.33,0.77
0.5058,78.24,0.78,0.5235,77.44,0.77
0.5061,78.32,0.78,0.523,77.5,0.77
0.5045,78.28,0.78,0.5234,77.44,0.77
0.5059,78.39,0.78,0.523,77.46,0.77
0.5051,78.28,0.78,0.5232,77.4,0.77
0.5056,78.42,0.78,0.5233,77.43,0.77
0.5038,78.47,0.78,0.5236,77.38,0.77
0.5038,78.48,0.78,0.5233,77.43,0.77
0.5038,78.44,0.78,0.5235,77.35,0.77
0.5033,78.29,0.78,0.5238,77.42,0.77
0.502,78.54,0.79,0.5246,77.38,0.77
0.5023,78.36,0.78,0.5243,77.5,0.77
0.5025,78.33,0.78,0.5236,77.42,0.77
0.502,78.5,0.78,0.5245,77.36,0.77
0.503,78.48,0.78,0.5243,77.43,0.77
0.5012,78.47,0.78,0.5239,77.48,0.77
0.5019,78.39,0.78,0.5241,77.48,0.77
0.5015,78.55,0.79,0.5237,77.54,0.78
0.5022,78.43,0.78,0.525,77.44,0.77
0.5014,78.58,0.79,0.5237,77.58,0.78
0.5004,78.75,0.79,0.5247,77.48,0.77
0.5012,78.54,0.79,0.5242,77.58,0.78
0.5012,78.67,0.79,0.5245,77.57,0.78
0.4988,78.66,0.79,0.5257,77.4,0.77
0.5012,78.55,0.79,0.5246,77.59,0.78
0.4999,78.66,0.79,0.5242,77.5,0.77
0.4985,78.51,0.79,0.5247,77.48,0.77
0.4993,78.59,0.79,0.5245,77.54,0.78
0.5009,78.58,0.79,0.5242,77.47,0.77
0.499,78.61,0.79,0.5243,77.52,0.78
0.4984,78.54,0.79,0.5244,77.44,0.77
0.4983,78.66,0.79,0.5246,77.48,0.77
0.4972,78.71,0.79,0.5245,77.43,0.77
0.4981,78.69,0.79,0.5247,77.52,0.78
0.4983,78.71,0.79,0.5246,77.46,0.77
0.4977,78.74,0.79,0.5252,77.44,0.77
0.4964,78.74,0.79,0.5248,77.5,0.77
0.498,78.69,0.79,0.5249,77.43,0.77
0.4964,78.86,0.79,0.5269,77.55,0.78
0.4965,78.67,0.79,0.5248,77.48,0.77
0.4968,78.67,0.79,0.5254,77.57,0.78
0.4948,78.61,0.79,0.5253,77.48,0.77
0.4964,78.73,0.79,0.5253,77.42,0.77
0.4958,78.69,0.79,0.5259,77.44,0.77
0.4948,78.82,0.79,0.5253,77.42,0.77
0.4948,78.88,0.79,0.5256,77.58,0.78
0.4952,78.79,0.79,0.5253,77.47,0.77
0.4943,78.81,0.79,0.5269,77.47,0.77
0.4954,78.88,0.79,0.5261,77.51,0.78
0.4941,78.85,0.79,0.5257,77.46,0.77
0.4936,78.94,0.79,0.5262,77.43,0.77
