train_loss,train_accuracy,train_auc,val_loss,val_accuracy,val_auc
0.6684,67.23,0.67,0.6323,73.69,0.74
0.6139,74.43,0.74,0.5855,74.52,0.75
0.5798,74.82,0.75,0.565,74.73,0.75
0.5639,74.97,0.75,0.5573,74.58,0.75
0.5583,75.09,0.75,0.5523,74.81,0.75
0.5517,75.28,0.75,0.5496,74.69,0.75
0.5483,75.35,0.75,0.5465,74.89,0.75
0.5457,75.81,0.76,0.5443,75.04,0.75
0.5434,75.86,0.76,0.5425,75.34,0.75
0.5401,76.01,0.76,0.5408,76.1,0.76
0.539,76.27,0.76,0.5397,75.79,0.76
0.536,76.32,0.76,0.5389,75.69,0.76
0.5351,76.5,0.76,0.5372,76.58,0.77
0.5338,76.81,0.77,0.5366,77.12,0.77
0.5338,76.96,0.77,0.5359,76.68,0.77
0.5315,76.86,0.77,0.5346,77.23,0.77
0.5307,77.02,0.77,0.5348,76.75,0.77
0.5291,76.94,0.77,0.5333,77.15,0.77
0.5294,77.24,0.77,0.534,76.82,0.77
0.5272,77.12,0.77,0.5322,77.23,0.77
0.5265,77.31,0.77,0.5324,77.15,0.77
0.5263,77.28,0.77,0.5317,77.39,0.77
0.5268,77.32,0.77,0.5312,77.28,0.77
0.525,77.4,0.77,0.5307,77.39,0.77
0.5243,77.36,0.77,0.5304,77.48,0.77
0.5239,77.51,0.78,0.5302,77.4,0.77
0.5238,77.48,0.77,0.5304,77.33,0.77
0.5229,77.42,0.77,0.531,77.28,0.77
0.5238,77.31,0.77,0.5293,77.44,0.77
0.5217,77.54,0.78,0.5316,77.28,0.77
0.5211,77.54,0.78,0.5305,77.43,0.77
0.5206,77.59,0.78,0.5293,77.43,0.77
0.5213,77.62,0.78,0.5291,77.4,0.77
0.5194,77.63,0.78,0.53,77.4,0.77
0.5212,77.59,0.78,0.53,77.43,0.77
0.5192,77.56,0.78,0.531,77.54,0.78
0.521,77.69,0.78,0.5289,77.36,0.77
0.5201,77.69,0.78,0.529,77.51,0.78
0.5192,77.7,0.78,0.5286,77.39,0.77
0.5204,77.65,0.78,0.5288,77.52,0.78
0.5196,77.79,0.78,0.5292,77.54,0.78
0.5197,77.75,0.78,0.5288,77.51,0.78
0.5193,77.86,0.78,0.5289,77.5,0.77
0.5178,77.85,0.78,0.5287,77.54,0.78
0.5185,77.9,0.78,0.5302,77.46,0.77
0.5183,77.88,0.78,0.5292,77.47,0.77
0.5171,77.85,0.78,0.5296,77.48,0.77
0.5174,77.79,0.78,0.5305,77.48,0.77
0.5199,77.77,0.78,0.5293,77.51,0.78
0.5178,77.82,0.78,0.5296,77.5,0.77
0.5179,77.83,0.78,0.532,77.47,0.77
0.5183,77.89,0.78,0.53,77.55,0.78
0.5164,77.86,0.78,0.5298,77.52,0.78
0.5184,77.83,0.78,0.5298,77.54,0.78
0.5162,77.77,0.78,0.5311,77.46,0.77
0.5173,77.9,0.78,0.5301,77.52,0.78
0.516,77.88,0.78,0.5307,77.51,0.78
0.5148,77.86,0.78,0.5327,77.47,0.77
0.5171,77.79,0.78,0.5327,77.47,0.77
0.5165,77.85,0.78,0.5333,77.46,0.77
0.5151,77.86,0.78,0.5303,77.5,0.77
0.5162,77.85,0.78,0.5301,77.47,0.77
0.5163,77.92,0.78,0.5314,77.52,0.78
0.5163,77.93,0.78,0.5304,77.48,0.77
0.5158,77.97,0.78,0.5305,77.44,0.77
0.5147,77.97,0.78,0.5321,77.5,0.77
0.5145,77.97,0.78,0.5307,77.46,0.77
0.5145,78.02,0.78,0.5308,77.47,0.77
0.5152,77.88,0.78,0.5306,77.54,0.78
0.5158,77.93,0.78,0.531,77.44,0.77
0.5143,77.85,0.78,0.5309,77.46,0.77
0.5151,78.0,0.78,0.5316,77.46,0.77
0.5141,77.97,0.78,0.5316,77.63,0.78
0.513,77.97,0.78,0.5319,77.46,0.77
0.5147,77.96,0.78,0.5312,77.48,0.77
0.5131,78.04,0.78,0.5326,77.48,0.77
0.5148,77.94,0.78,0.5308,77.44,0.77
0.5166,77.94,0.78,0.5313,77.48,0.77
0.5136,77.96,0.78,0.5324,77.47,0.77
0.5137,77.97,0.78,0.532,77.44,0.77
0.5134,78.08,0.78,0.5309,77.51,0.78
0.5147,78.01,0.78,0.5311,77.47,0.77
0.5157,77.92,0.78,0.5314,77.57,0.78
0.5136,77.9,0.78,0.5321,77.46,0.77
0.5138,78.06,0.78,0.5354,77.24,0.77
0.5134,78.02,0.78,0.5314,77.51,0.78
0.5122,78.01,0.78,0.5358,77.15,0.77
0.5138,78.08,0.78,0.5316,77.57,0.78
0.511,78.05,0.78,0.533,77.42,0.77
0.5117,77.98,0.78,0.5333,77.39,0.77
0.5115,78.06,0.78,0.5387,77.08,0.77
0.5122,78.05,0.78,0.5318,77.52,0.78
0.5119,78.06,0.78,0.532,77.65,0.78
0.512,78.01,0.78,0.533,77.43,0.77
0.5116,78.11,0.78,0.5329,77.4,0.77
0.5102,78.09,0.78,0.5334,77.35,0.77
0.5114,77.85,0.78,0.5333,77.36,0.77
0.5113,78.12,0.78,0.5322,77.44,0.77
0.5106,78.11,0.78,0.5325,77.59,0.78
0.5117,78.13,0.78,0.5321,77.62,0.78
