train_loss,train_accuracy,train_auc,val_loss,val_accuracy,val_auc
0.6841,58.14,0.58,0.6702,73.35,0.73
0.6613,73.73,0.74,0.6437,74.73,0.75
0.6345,74.98,0.75,0.6159,74.94,0.75
0.6082,74.92,0.75,0.5925,74.96,0.75
0.5875,74.96,0.75,0.5757,74.84,0.75
0.574,74.97,0.75,0.566,74.81,0.75
0.5654,75.1,0.75,0.5601,74.88,0.75
0.5596,75.12,0.75,0.5562,74.85,0.75
0.5557,75.05,0.75,0.5531,74.95,0.75
0.552,75.29,0.75,0.5506,74.95,0.75
0.5504,75.27,0.75,0.5485,75.19,0.75
0.5473,75.67,0.76,0.5466,74.91,0.75
0.5459,75.67,0.76,0.5451,74.95,0.75
0.5429,75.77,0.76,0.5437,76.06,0.76
0.5408,75.9,0.76,0.5424,76.03,0.76
0.5401,76.39,0.76,0.5412,75.71,0.76
0.5393,76.27,0.76,0.5402,76.24,0.76
0.5358,76.55,0.77,0.5407,75.46,0.75
0.5351,76.62,0.77,0.5388,75.79,0.76
0.5343,76.65,0.77,0.5374,76.74,0.77
0.5321,76.77,0.77,0.5381,75.99,0.76
0.5329,76.56,0.77,0.5361,76.82,0.77
0.5306,76.96,0.77,0.5367,76.52,0.77
0.5306,76.83,0.77,0.5346,77.1,0.77
0.5293,77.08,0.77,0.5339,77.17,0.77
0.5289,77.15,0.77,0.5336,77.12,0.77
0.5281,77.31,0.77,0.5328,77.24,0.77
0.5277,77.24,0.77,0.5324,77.13,0.77
0.5269,77.25,0.77,0.5318,77.38,0.77
0.5253,77.4,0.77,0.5323,77.33,0.77
0.5265,77.29,0.77,0.5312,77.33,0.77
0.5248,77.35,0.77,0.5306,77.55,0.78
0.5255,77.32,0.77,0.5303,77.54,0.78
0.5232,77.4,0.77,0.53,77.61,0.78
0.5233,77.55,0.78,0.5296,77.62,0.78
0.5224,77.69,0.78,0.5291,77.61,0.78
0.5212,77.65,0.78,0.5291,77.59,0.78
0.522,77.61,0.78,0.5291,77.59,0.78
0.5208,77.58,0.78,0.5286,77.59,0.78
0.5199,77.63,0.78,0.5287,77.58,0.78
0.5197,77.65,0.78,0.528,77.54,0.78
0.5194,77.77,0.78,0.5278,77.52,0.78
0.5196,77.67,0.78,0.5276,77.54,0.78
0.5194,77.74,0.78,0.5275,77.54,0.78
0.5176,77.71,0.78,0.5273,77.54,0.78
0.5189,77.7,0.78,0.5274,77.54,0.78
0.5183,77.81,0.78,0.5271,77.5,0.77
0.5191,77.74,0.78,0.5273,77.55,0.78
0.517,77.81,0.78,0.5269,77.5,0.77
0.5177,77.89,0.78,0.5269,77.5,0.77
0.5168,77.78,0.78,0.5269,77.5,0.77
0.5169,77.74,0.78,0.5269,77.57,0.78
0.5176,77.86,0.78,0.5276,77.67,0.78
0.5149,77.73,0.78,0.5269,77.52,0.78
0.516,77.81,0.78,0.5269,77.54,0.78
0.5149,77.86,0.78,0.5269,77.48,0.77
0.5149,77.82,0.78,0.5277,77.65,0.78
0.5148,77.85,0.78,0.527,77.48,0.77
0.5149,77.77,0.78,0.5272,77.5,0.77
0.5138,77.83,0.78,0.5269,77.55,0.78
0.5155,77.89,0.78,0.5271,77.5,0.77
0.5133,77.78,0.78,0.5273,77.52,0.78
0.5138,77.93,0.78,0.5273,77.54,0.78
0.5138,77.88,0.78,0.5271,77.47,0.77
0.5143,77.89,0.78,0.5273,77.58,0.78
0.5139,77.94,0.78,0.5275,77.52,0.78
0.5142,77.82,0.78,0.5281,77.62,0.78
0.5113,77.98,0.78,0.5275,77.55,0.78
0.5132,77.86,0.78,0.5276,77.54,0.78
0.5127,77.93,0.78,0.5276,77.54,0.78
0.5116,77.88,0.78,0.5279,77.51,0.78
0.5106,77.92,0.78,0.5287,77.5,0.77
0.5121,77.92,0.78,0.528,77.51,0.78
0.5115,77.97,0.78,0.5278,77.51,0.78
0.511,77.98,0.78,0.5279,77.51,0.78
0.5125,77.94,0.78,0.5279,77.54,0.78
0.5118,78.0,0.78,0.528,77.55,0.78
0.5123,77.9,0.78,0.529,77.47,0.77
0.5116,77.92,0.78,0.5286,77.52,0.78
0.5127,77.98,0.78,0.5287,77.51,0.78
0.5106,77.92,0.78,0.5284,77.51,0.78
0.5106,77.93,0.78,0.5284,77.52,0.78
0.5096,77.96,0.78,0.5286,77.54,0.78
0.5106,77.97,0.78,0.5285,77.57,0.78
0.5094,77.89,0.78,0.5305,77.47,0.77
0.51,77.86,0.78,0.5293,77.61,0.78
0.5094,77.94,0.78,0.529,77.54,0.78
0.5101,77.97,0.78,0.5293,77.52,0.78
0.5094,77.93,0.78,0.529,77.61,0.78
0.5102,77.97,0.78,0.5297,77.51,0.78
0.5085,78.02,0.78,0.5295,77.55,0.78
0.511,78.02,0.78,0.5299,77.66,0.78
0.5092,78.01,0.78,0.5293,77.54,0.78
0.5096,78.04,0.78,0.5299,77.55,0.78
0.5086,78.04,0.78,0.5305,77.5,0.77
0.5076,78.06,0.78,0.5308,77.67,0.78
0.5088,78.06,0.78,0.5298,77.57,0.78
0.5089,78.11,0.78,0.5296,77.58,0.78
0.5081,78.02,0.78,0.5296,77.55,0.78
0.5075,78.01,0.78,0.53,77.59,0.78
