train_loss,train_accuracy,train_auc,val_loss,val_accuracy,val_auc
0.6848,50.01,0.5,0.6691,49.99,0.5
0.656,67.62,0.68,0.6323,76.02,0.76
0.6178,76.56,0.77,0.5953,76.13,0.76
0.583,76.69,0.77,0.5681,75.99,0.76
0.5594,76.88,0.77,0.5528,76.01,0.76
0.5457,76.6,0.77,0.5445,76.03,0.76
0.5384,76.7,0.77,0.5403,76.06,0.76
0.5348,76.82,0.77,0.5374,75.94,0.76
0.5303,77.11,0.77,0.535,76.25,0.76
0.5275,77.19,0.77,0.5334,76.22,0.76
0.5262,77.32,0.77,0.5322,76.36,0.76
0.5252,77.35,0.77,0.5311,76.51,0.77
0.5229,77.29,0.77,0.5307,76.43,0.76
0.5229,77.21,0.77,0.5295,76.6,0.77
0.5211,77.21,0.77,0.5292,76.54,0.77
0.5199,77.4,0.77,0.5285,76.72,0.77
0.5188,77.36,0.77,0.5282,76.64,0.77
0.5198,77.33,0.77,0.5277,76.7,0.77
0.5175,77.54,0.78,0.5272,76.79,0.77
0.5173,77.39,0.77,0.5269,76.96,0.77
0.5169,77.4,0.77,0.5267,76.87,0.77
0.5167,77.4,0.77,0.5262,76.9,0.77
0.5168,77.43,0.77,0.5258,76.98,0.77
0.5145,77.56,0.78,0.5255,77.05,0.77
0.5145,77.43,0.77,0.5257,76.79,0.77
0.5155,77.58,0.78,0.5249,77.01,0.77
0.5157,77.59,0.78,0.5248,76.98,0.77
0.5131,77.43,0.77,0.5249,76.94,0.77
0.5131,77.63,0.78,0.5239,77.19,0.77
0.5137,77.69,0.78,0.5238,77.08,0.77
0.513,77.62,0.78,0.5235,77.15,0.77
0.5121,77.71,0.78,0.5235,77.08,0.77
0.5114,77.71,0.78,0.5234,77.15,0.77
0.5117,77.67,0.78,0.5231,77.19,0.77
0.5101,77.83,0.78,0.5227,77.31,0.77
0.5102,77.81,0.78,0.5225,77.31,0.77
0.51,77.83,0.78,0.5222,77.32,0.77
0.508,77.79,0.78,0.5224,77.39,0.77
0.5103,77.86,0.78,0.5218,77.36,0.77
0.5087,77.89,0.78,0.5217,77.36,0.77
0.5082,78.02,0.78,0.5223,77.19,0.77
0.508,78.01,0.78,0.5214,77.27,0.77
0.5073,78.04,0.78,0.5214,77.28,0.77
0.5066,77.92,0.78,0.5211,77.31,0.77
0.5058,77.93,0.78,0.5226,77.35,0.77
0.5059,77.94,0.78,0.5209,77.32,0.77
0.5069,78.04,0.78,0.5208,77.32,0.77
0.5052,78.12,0.78,0.5224,77.4,0.77
0.5041,77.92,0.78,0.5206,77.36,0.77
0.5039,78.06,0.78,0.5205,77.38,0.77
0.504,77.94,0.78,0.5209,77.35,0.77
0.5043,77.96,0.78,0.5202,77.54,0.78
0.5034,78.02,0.78,0.5205,77.38,0.77
0.502,78.04,0.78,0.5203,77.38,0.77
0.503,78.12,0.78,0.5203,77.47,0.77
0.5024,78.08,0.78,0.5199,77.48,0.77
0.5018,78.11,0.78,0.52,77.54,0.78
0.5015,78.23,0.78,0.5202,77.52,0.78
0.5011,78.25,0.78,0.5199,77.51,0.78
0.5008,78.15,0.78,0.52,77.55,0.78
0.5003,78.27,0.78,0.5199,77.57,0.78
0.5003,78.2,0.78,0.5196,77.61,0.78
0.4993,78.19,0.78,0.5205,77.54,0.78
0.499,78.33,0.78,0.5199,77.57,0.78
0.4991,78.09,0.78,0.5196,77.61,0.78
0.4982,78.19,0.78,0.5215,77.55,0.78
0.4987,78.25,0.78,0.5201,77.67,0.78
0.498,78.36,0.78,0.5208,77.63,0.78
0.4973,78.31,0.78,0.5201,77.67,0.78
0.4959,78.47,0.78,0.5201,77.65,0.78
0.4973,78.42,0.78,0.52,77.63,0.78
0.4981,78.54,0.79,0.52,77.63,0.78
0.4973,78.47,0.78,0.5197,77.62,0.78
0.496,78.47,0.78,0.5199,77.61,0.78
0.4971,78.36,0.78,0.5199,77.62,0.78
0.4955,78.51,0.79,0.5205,77.67,0.78
0.4956,78.46,0.78,0.5209,77.76,0.78
0.4942,78.43,0.78,0.5206,77.65,0.78
0.4951,78.48,0.78,0.5207,77.7,0.78
0.4943,78.52,0.79,0.5218,77.73,0.78
0.4947,78.54,0.79,0.5208,77.7,0.78
0.4936,78.52,0.79,0.5212,77.74,0.78
0.493,78.58,0.79,0.5208,77.73,0.78
0.4945,78.42,0.78,0.5204,77.71,0.78
0.4924,78.65,0.79,0.5207,77.76,0.78
0.4931,78.56,0.79,0.5209,77.76,0.78
0.4929,78.54,0.79,0.5207,77.7,0.78
0.494,78.62,0.79,0.5214,77.74,0.78
0.4927,78.65,0.79,0.5218,77.7,0.78
0.4932,78.58,0.79,0.5219,77.67,0.78
0.4911,78.75,0.79,0.5217,77.74,0.78
0.4917,78.56,0.79,0.5229,77.8,0.78
0.4901,78.65,0.79,0.5216,77.73,0.78
0.4892,78.58,0.79,0.5224,77.7,0.78
0.4895,78.67,0.79,0.5224,77.69,0.78
0.489,78.7,0.79,0.5222,77.7,0.78
0.491,78.85,0.79,0.5223,77.69,0.78
0.4891,78.7,0.79,0.5224,77.71,0.78
0.4878,78.69,0.79,0.5226,77.71,0.78
0.4891,78.67,0.79,0.5232,77.71,0.78
