train_loss,train_accuracy,train_auc,val_loss,val_accuracy,val_auc
0.6794,68.83,0.69,0.6584,75.69,0.76
0.642,76.4,0.76,0.6177,76.22,0.76
0.6052,76.94,0.77,0.5863,76.4,0.76
0.5765,76.98,0.77,0.5668,76.58,0.77
0.5589,76.98,0.77,0.5548,76.45,0.76
0.5491,76.94,0.77,0.5478,76.35,0.76
0.5412,77.06,0.77,0.5425,76.36,0.76
0.535,77.02,0.77,0.5393,76.64,0.77
0.5313,77.39,0.77,0.5367,76.35,0.76
0.53,77.44,0.77,0.5347,76.43,0.76
0.5265,77.4,0.77,0.5328,76.44,0.76
0.5241,77.46,0.77,0.5314,76.6,0.77
0.5231,77.59,0.78,0.5307,76.58,0.77
0.5211,77.52,0.78,0.5297,76.89,0.77
0.5194,77.51,0.78,0.529,76.81,0.77
0.5183,77.61,0.78,0.5285,76.87,0.77
0.5178,77.83,0.78,0.528,77.04,0.77
0.5173,77.61,0.78,0.5275,77.02,0.77
0.5186,77.73,0.78,0.5271,76.97,0.77
0.5156,77.74,0.78,0.5268,76.97,0.77
0.5154,77.77,0.78,0.5261,77.17,0.77
0.5142,77.69,0.78,0.5258,77.21,0.77
0.5147,77.71,0.78,0.5254,77.17,0.77
0.5125,77.77,0.78,0.5253,77.33,0.77
0.5138,77.88,0.78,0.5252,77.08,0.77
0.5126,77.77,0.78,0.5245,77.24,0.77
0.5114,77.94,0.78,0.5246,77.2,0.77
0.512,77.9,0.78,0.524,77.21,0.77
0.5096,77.9,0.78,0.5242,77.13,0.77
0.5107,77.93,0.78,0.5231,77.33,0.77
0.5106,77.96,0.78,0.5231,77.2,0.77
0.5106,78.0,0.78,0.5229,77.25,0.77
0.5075,77.96,0.78,0.5231,77.16,0.77
0.5095,78.0,0.78,0.5227,77.31,0.77
0.5067,78.19,0.78,0.5222,77.27,0.77
0.5071,78.12,0.78,0.5222,77.33,0.77
0.5061,78.06,0.78,0.5221,77.38,0.77
0.5068,78.08,0.78,0.5215,77.55,0.78
0.5046,78.17,0.78,0.5215,77.47,0.77
0.5055,78.08,0.78,0.5214,77.39,0.77
0.5037,78.12,0.78,0.5211,77.46,0.77
0.5045,78.17,0.78,0.5208,77.63,0.78
0.504,78.27,0.78,0.5205,77.51,0.78
0.503,78.15,0.78,0.5205,77.61,0.78
0.5025,78.15,0.78,0.5211,77.27,0.77
0.5012,78.33,0.78,0.5203,77.69,0.78
0.5011,78.17,0.78,0.5202,77.42,0.77
0.5016,78.44,0.78,0.5201,77.36,0.77
0.5003,78.32,0.78,0.5201,77.5,0.77
0.5007,78.24,0.78,0.5198,77.57,0.78
0.5027,78.35,0.78,0.5197,77.55,0.78
0.4995,78.33,0.78,0.5199,77.4,0.77
0.4988,78.47,0.78,0.5201,77.46,0.77
0.4985,78.27,0.78,0.52,77.61,0.78
0.4986,78.38,0.78,0.5196,77.38,0.77
0.498,78.46,0.78,0.5199,77.44,0.77
0.4976,78.33,0.78,0.5199,77.4,0.77
0.497,78.47,0.78,0.5198,77.38,0.77
0.497,78.47,0.78,0.5199,77.4,0.77
0.4961,78.52,0.79,0.5202,77.4,0.77
0.4959,78.63,0.79,0.5199,77.4,0.77
0.4956,78.63,0.79,0.5196,77.5,0.77
0.4959,78.51,0.79,0.5196,77.5,0.77
0.4945,78.46,0.78,0.5196,77.51,0.78
0.4943,78.43,0.78,0.5203,77.42,0.77
0.4949,78.47,0.78,0.5194,77.67,0.78
0.4928,78.62,0.79,0.5198,77.63,0.78
0.4931,78.58,0.79,0.5198,77.47,0.77
0.4931,78.59,0.79,0.5199,77.57,0.78
0.4924,78.65,0.79,0.5198,77.69,0.78
0.4928,78.62,0.79,0.5201,77.67,0.78
0.4912,78.67,0.79,0.5196,77.67,0.78
0.4929,78.71,0.79,0.5197,77.71,0.78
0.4904,78.71,0.79,0.5203,77.62,0.78
0.4908,78.73,0.79,0.5202,77.65,0.78
0.4913,78.74,0.79,0.521,77.84,0.78
0.4914,78.75,0.79,0.5199,77.73,0.78
0.4888,78.65,0.79,0.5204,77.61,0.78
0.4918,78.77,0.79,0.5203,77.78,0.78
0.4888,78.94,0.79,0.5209,77.66,0.78
0.4876,78.81,0.79,0.5215,77.69,0.78
0.4872,78.9,0.79,0.5209,77.73,0.78
0.4878,78.86,0.79,0.5215,77.86,0.78
0.487,78.58,0.79,0.521,77.69,0.78
0.4855,78.88,0.79,0.5224,77.66,0.78
0.4866,78.86,0.79,0.5218,77.7,0.78
0.4848,78.96,0.79,0.5221,77.86,0.78
0.4854,78.88,0.79,0.5222,77.84,0.78
0.4862,78.94,0.79,0.522,77.77,0.78
0.4836,78.89,0.79,0.5223,77.77,0.78
0.484,78.9,0.79,0.5224,77.8,0.78
0.4851,79.09,0.79,0.5224,77.9,0.78
0.4833,79.25,0.79,0.5234,77.82,0.78
0.4825,79.32,0.79,0.5237,77.74,0.78
0.4837,78.97,0.79,0.5235,77.89,0.78
0.4832,79.04,0.79,0.5233,77.89,0.78
0.4815,79.23,0.79,0.5223,77.9,0.78
0.4818,79.36,0.79,0.523,77.84,0.78
0.4815,79.19,0.79,0.5234,77.74,0.78
0.4816,79.13,0.79,0.523,77.84,0.78
