train_loss,train_accuracy,train_auc,val_loss,val_accuracy,val_auc
0.6791,68.64,0.69,0.6581,75.65,0.76
0.6436,76.47,0.76,0.6206,75.83,0.76
0.6083,76.38,0.76,0.5899,75.65,0.76
0.581,76.39,0.76,0.57,75.61,0.76
0.5629,76.16,0.76,0.5593,75.68,0.76
0.5542,76.35,0.76,0.5539,75.41,0.75
0.5485,76.28,0.76,0.5505,75.45,0.75
0.5444,76.24,0.76,0.5479,75.97,0.76
0.5414,76.44,0.76,0.5455,75.99,0.76
0.5382,76.73,0.77,0.5438,75.78,0.76
0.5369,76.62,0.77,0.5419,76.09,0.76
0.5358,76.77,0.77,0.5406,76.18,0.76
0.5346,76.89,0.77,0.5395,76.18,0.76
0.5313,76.93,0.77,0.5383,76.17,0.76
0.5305,76.97,0.77,0.5374,76.3,0.76
0.5283,76.93,0.77,0.537,76.2,0.76
0.5279,77.0,0.77,0.5362,76.28,0.76
0.5265,77.13,0.77,0.5353,76.35,0.76
0.5265,77.11,0.77,0.5347,76.4,0.76
0.5251,77.19,0.77,0.5341,76.48,0.76
0.5231,77.17,0.77,0.5345,76.36,0.76
0.5231,77.21,0.77,0.5334,76.54,0.77
0.5228,77.2,0.77,0.5331,76.55,0.77
0.5217,77.28,0.77,0.5329,76.48,0.76
0.5217,77.17,0.77,0.5323,76.58,0.77
0.5212,77.23,0.77,0.5321,76.59,0.77
0.5216,77.27,0.77,0.5316,76.59,0.77
0.5199,77.28,0.77,0.532,76.56,0.77
0.5194,77.23,0.77,0.5314,76.59,0.77
0.5181,77.32,0.77,0.5309,76.59,0.77
0.5188,77.24,0.77,0.5307,76.6,0.77
0.5189,77.47,0.77,0.5305,76.62,0.77
0.5187,77.32,0.77,0.5303,76.63,0.77
0.5164,77.39,0.77,0.5303,76.64,0.77
0.5179,77.31,0.77,0.5301,76.71,0.77
0.5161,77.56,0.78,0.5301,76.6,0.77
0.5157,77.43,0.77,0.5298,76.71,0.77
0.5157,77.47,0.77,0.5298,76.82,0.77
0.5143,77.59,0.78,0.5305,76.64,0.77
0.5164,77.56,0.78,0.5292,76.85,0.77
0.5148,77.55,0.78,0.5294,76.9,0.77
0.5138,77.54,0.78,0.5293,76.86,0.77
0.5138,77.55,0.78,0.5292,76.96,0.77
0.5138,77.69,0.78,0.53,76.75,0.77
0.5137,77.5,0.77,0.5291,76.96,0.77
0.5133,77.61,0.78,0.529,76.94,0.77
0.5131,77.73,0.78,0.5289,77.02,0.77
0.5135,77.71,0.78,0.5289,76.87,0.77
0.5126,77.7,0.78,0.529,77.02,0.77
0.5112,77.65,0.78,0.5302,76.78,0.77
0.5137,77.73,0.78,0.5303,76.81,0.77
0.5121,77.71,0.78,0.5288,76.9,0.77
0.5116,77.54,0.78,0.5289,76.87,0.77
0.511,77.78,0.78,0.529,76.96,0.77
0.5111,77.81,0.78,0.5291,76.97,0.77
0.5108,77.62,0.78,0.5303,76.89,0.77
0.5101,77.63,0.78,0.5291,76.89,0.77
0.5097,77.63,0.78,0.5289,76.83,0.77
0.5107,77.69,0.78,0.5289,76.85,0.77
0.5104,77.83,0.78,0.5294,76.89,0.77
0.5086,77.82,0.78,0.5291,76.81,0.77
0.5086,77.75,0.78,0.5292,76.85,0.77
0.5101,77.77,0.78,0.5289,76.87,0.77
0.5093,77.82,0.78,0.5305,76.91,0.77
0.5101,77.78,0.78,0.5288,76.85,0.77
0.5091,77.77,0.78,0.5291,76.78,0.77
0.5091,77.67,0.78,0.5292,76.78,0.77
0.5092,77.74,0.78,0.5293,76.82,0.77
0.5075,77.82,0.78,0.5294,76.77,0.77
0.5085,77.88,0.78,0.5292,76.75,0.77
0.5074,77.71,0.78,0.5289,76.83,0.77
0.5091,77.85,0.78,0.5297,76.87,0.77
0.5087,77.79,0.78,0.5302,76.86,0.77
0.5067,77.85,0.78,0.5291,76.82,0.77
0.5081,77.85,0.78,0.5291,76.82,0.77
0.509,77.83,0.78,0.5288,76.78,0.77
0.5061,77.9,0.78,0.5293,76.75,0.77
0.5074,77.86,0.78,0.5292,76.79,0.77
0.5079,77.89,0.78,0.5291,76.71,0.77
0.5083,77.81,0.78,0.529,76.78,0.77
0.5078,77.89,0.78,0.5293,76.75,0.77
0.5084,77.86,0.78,0.5294,76.74,0.77
0.5052,77.92,0.78,0.5291,76.7,0.77
0.5068,77.78,0.78,0.5294,76.72,0.77
0.5052,77.98,0.78,0.5298,76.74,0.77
0.5058,77.97,0.78,0.5294,76.7,0.77
0.5062,77.83,0.78,0.5295,76.72,0.77
0.5054,77.88,0.78,0.5301,76.79,0.77
0.504,78.04,0.78,0.5297,76.74,0.77
0.5055,77.94,0.78,0.5294,76.74,0.77
0.5049,77.92,0.78,0.5295,76.68,0.77
0.5032,78.01,0.78,0.5305,76.75,0.77
0.5048,77.94,0.78,0.5304,76.71,0.77
0.5048,77.98,0.78,0.5295,76.67,0.77
0.503,78.04,0.78,0.5295,76.75,0.77
0.5023,78.04,0.78,0.53,76.75,0.77
0.5035,77.97,0.78,0.53,76.77,0.77
0.5042,78.01,0.78,0.5298,76.72,0.77
0.5036,78.01,0.78,0.5303,76.81,0.77
0.5031,77.81,0.78,0.5302,76.7,0.77
