train_loss,train_accuracy,train_auc,val_loss,val_accuracy,val_auc
0.6932,50.01,0.5,0.6929,50.01,0.5
0.693,50.22,0.5,0.6928,54.81,0.55
0.6928,51.02,0.51,0.6927,53.44,0.53
0.6927,51.13,0.51,0.6926,52.22,0.52
0.6925,53.13,0.53,0.6925,52.95,0.53
0.6926,51.94,0.52,0.6924,52.37,0.52
0.6923,53.37,0.53,0.6923,53.02,0.53
0.6923,51.8,0.52,0.6922,52.51,0.53
0.6923,53.18,0.53,0.6921,52.7,0.53
0.692,54.21,0.54,0.692,54.17,0.54
0.692,52.6,0.53,0.6919,53.38,0.53
0.6918,52.62,0.53,0.6918,53.92,0.54
0.6916,53.45,0.53,0.6916,54.55,0.55
0.6916,53.05,0.53,0.6915,54.86,0.55
0.6914,52.97,0.53,0.6914,54.93,0.55
0.6912,53.01,0.53,0.6913,54.72,0.55
0.691,52.86,0.53,0.6912,54.25,0.54
0.6909,55.33,0.55,0.691,54.91,0.55
0.6908,54.71,0.55,0.6908,55.37,0.55
0.6907,52.16,0.52,0.6907,55.04,0.55
0.6906,53.21,0.53,0.6905,55.27,0.55
0.6902,52.87,0.53,0.6904,55.17,0.55
0.6901,53.57,0.54,0.6903,55.25,0.55
0.6899,54.53,0.55,0.69,55.37,0.55
0.6896,53.57,0.54,0.69,55.17,0.55
0.6894,54.78,0.55,0.6898,55.16,0.55
0.6892,54.26,0.54,0.6895,55.54,0.56
0.6889,54.12,0.54,0.6893,55.63,0.56
0.6886,55.12,0.55,0.6891,55.65,0.56
0.6883,53.95,0.54,0.6889,55.5,0.56
0.6882,53.89,0.54,0.6887,55.47,0.55
0.688,53.71,0.54,0.6885,55.48,0.55
0.6878,53.87,0.54,0.6884,55.25,0.55
0.6873,55.6,0.56,0.688,55.48,0.55
0.687,55.03,0.55,0.6876,55.74,0.56
0.6865,54.1,0.54,0.6877,55.27,0.55
0.6865,54.3,0.54,0.6873,55.43,0.55
0.6861,55.16,0.55,0.6869,55.73,0.56
0.6858,54.62,0.55,0.6865,55.78,0.56
0.6856,53.8,0.54,0.6865,55.39,0.55
0.685,55.94,0.56,0.686,55.75,0.56
0.6848,55.63,0.56,0.6857,55.81,0.56
0.6844,54.21,0.54,0.6854,55.77,0.56
0.6833,55.98,0.56,0.6851,50.01,0.5
0.6836,52.97,0.53,0.685,55.55,0.56
0.6831,55.59,0.56,0.6846,55.66,0.56
0.6823,55.62,0.56,0.6844,55.55,0.56
0.6822,55.9,0.56,0.6837,55.84,0.56
0.6819,54.52,0.55,0.6838,55.59,0.56
0.6818,55.85,0.56,0.683,55.81,0.56
0.6812,55.66,0.56,0.6827,55.81,0.56
0.6807,55.89,0.56,0.6823,55.86,0.56
0.6803,54.6,0.55,0.682,55.81,0.56
0.6797,55.25,0.55,0.6816,55.81,0.56
0.6795,55.29,0.55,0.6812,55.84,0.56
0.6791,54.78,0.55,0.6811,55.75,0.56
0.6786,54.89,0.55,0.6818,55.46,0.55
0.678,55.9,0.56,0.68,55.82,0.56
0.6775,55.26,0.55,0.6797,55.84,0.56
0.6767,55.85,0.56,0.6793,55.82,0.56
0.6769,55.47,0.55,0.679,55.84,0.56
0.6761,54.83,0.55,0.6795,55.73,0.56
0.6758,55.17,0.55,0.6788,55.81,0.56
0.6752,56.16,0.56,0.6784,55.81,0.56
0.675,55.25,0.55,0.6786,55.74,0.56
0.6746,55.22,0.55,0.6773,55.84,0.56
0.6742,55.17,0.55,0.6773,55.82,0.56
0.6737,55.78,0.56,0.6766,55.84,0.56
0.6732,55.94,0.56,0.6765,55.84,0.56
0.6727,55.39,0.55,0.6765,55.82,0.56
0.6723,55.67,0.56,0.6757,55.84,0.56
0.6724,56.12,0.56,0.6755,55.84,0.56
0.6718,55.86,0.56,0.6752,55.84,0.56
0.6716,55.67,0.56,0.6749,55.84,0.56
0.6709,55.62,0.56,0.6774,55.73,0.56
0.671,56.01,0.56,0.6752,55.82,0.56
0.6704,56.06,0.56,0.6748,55.82,0.56
0.6702,56.1,0.56,0.6752,55.82,0.56
0.6702,56.05,0.56,0.6738,55.84,0.56
0.6702,55.78,0.56,0.6739,55.86,0.56
0.6699,55.89,0.56,0.6736,55.82,0.56
0.6698,55.4,0.55,0.6756,55.82,0.56
0.6691,56.08,0.56,0.6732,55.84,0.56
0.6686,55.74,0.56,0.6733,55.84,0.56
0.6685,55.64,0.56,0.6733,55.82,0.56
0.6683,55.91,0.56,0.6728,55.84,0.56
0.6686,55.98,0.56,0.6735,55.85,0.56
0.6679,55.89,0.56,0.6728,55.84,0.56
0.6684,55.94,0.56,0.6728,55.84,0.56
0.6684,55.78,0.56,0.6725,55.86,0.56
0.6673,55.7,0.56,0.6736,55.85,0.56
0.6679,55.7,0.56,0.6722,55.84,0.56
0.6669,55.53,0.56,0.672,55.85,0.56
0.6675,56.03,0.56,0.6721,55.86,0.56
0.6671,55.8,0.56,0.6733,55.85,0.56
0.6665,56.16,0.56,0.6718,55.84,0.56
0.667,56.47,0.56,0.672,55.84,0.56
0.6673,56.01,0.56,0.6734,55.85,0.56
0.6668,55.85,0.56,0.6719,55.84,0.56
0.666,56.12,0.56,0.6718,55.84,0.56
