train_loss,train_accuracy,train_auc,val_loss,val_accuracy,val_auc
0.6858,53.68,0.54,0.6735,75.04,0.75
0.6641,74.2,0.74,0.6472,76.29,0.76
0.6367,76.98,0.77,0.6183,76.78,0.77
0.6079,77.42,0.77,0.5925,76.74,0.77
0.5835,77.48,0.77,0.5732,76.82,0.77
0.5662,77.25,0.77,0.56,76.63,0.77
0.5531,77.11,0.77,0.5512,76.66,0.77
0.5446,76.82,0.77,0.5455,76.67,0.77
0.5383,77.39,0.77,0.5412,76.56,0.77
0.5343,77.06,0.77,0.538,76.54,0.77
0.5314,77.39,0.77,0.5355,76.55,0.77
0.5282,77.23,0.77,0.5334,76.78,0.77
0.5249,77.43,0.77,0.5319,76.77,0.77
0.5239,77.56,0.78,0.5305,76.9,0.77
0.5221,77.58,0.78,0.5296,76.9,0.77
0.5209,77.63,0.78,0.5289,76.83,0.77
0.5191,77.81,0.78,0.5283,76.91,0.77
0.521,77.74,0.78,0.5276,76.98,0.77
0.5184,77.58,0.78,0.5272,77.01,0.77
0.5182,77.78,0.78,0.5269,77.02,0.77
0.5168,77.77,0.78,0.5265,77.04,0.77
0.5165,77.79,0.78,0.526,77.09,0.77
0.5151,77.63,0.78,0.5259,77.08,0.77
0.5153,77.75,0.78,0.5254,77.08,0.77
0.5143,77.74,0.78,0.5257,77.16,0.77
0.5136,77.7,0.78,0.5248,77.17,0.77
0.5134,77.88,0.78,0.5246,77.24,0.77
0.5132,77.74,0.78,0.5243,77.25,0.77
0.5125,77.77,0.78,0.524,77.31,0.77
0.5112,77.86,0.78,0.524,77.32,0.77
0.5111,77.69,0.78,0.5241,77.23,0.77
0.5115,77.9,0.78,0.5235,77.31,0.77
0.5111,77.88,0.78,0.5229,77.39,0.77
0.51,78.04,0.78,0.5227,77.33,0.77
0.5091,77.88,0.78,0.5228,77.28,0.77
0.5097,77.83,0.78,0.5223,77.33,0.77
0.5107,77.93,0.78,0.5221,77.39,0.77
0.5079,77.94,0.78,0.522,77.42,0.77
0.5072,78.05,0.78,0.5222,77.32,0.77
0.5086,78.06,0.78,0.5232,77.25,0.77
0.5089,77.97,0.78,0.5212,77.4,0.77
0.5059,78.01,0.78,0.5212,77.4,0.77
0.506,78.05,0.78,0.5211,77.43,0.77
0.5057,78.0,0.78,0.5211,77.47,0.77
0.505,78.01,0.78,0.5207,77.54,0.78
0.5046,78.2,0.78,0.5211,77.4,0.77
0.5034,78.21,0.78,0.5203,77.5,0.77
0.504,78.2,0.78,0.5207,77.43,0.77
0.5035,78.23,0.78,0.5203,77.52,0.78
0.5043,78.15,0.78,0.5201,77.52,0.78
0.5026,78.15,0.78,0.52,77.55,0.78
0.502,78.13,0.78,0.5203,77.57,0.78
0.5027,78.24,0.78,0.5198,77.61,0.78
0.5013,78.27,0.78,0.5199,77.58,0.78
0.5011,78.35,0.78,0.5206,77.48,0.77
0.5002,78.39,0.78,0.5196,77.73,0.78
0.4996,78.39,0.78,0.5196,77.66,0.78
0.5001,78.35,0.78,0.5198,77.63,0.78
0.501,78.35,0.78,0.5196,77.65,0.78
0.4991,78.42,0.78,0.5195,77.69,0.78
0.4981,78.39,0.78,0.5206,77.52,0.78
0.4985,78.54,0.79,0.52,77.55,0.78
0.5002,78.39,0.78,0.5192,77.65,0.78
0.4982,78.43,0.78,0.5193,77.69,0.78
0.4977,78.46,0.78,0.5194,77.62,0.78
0.4983,78.5,0.78,0.5192,77.61,0.78
0.4962,78.42,0.78,0.5196,77.54,0.78
0.4977,78.28,0.78,0.5192,77.61,0.78
0.4955,78.61,0.79,0.52,77.48,0.77
0.4959,78.66,0.79,0.5203,77.88,0.78
0.4953,78.56,0.79,0.5194,77.61,0.78
0.4953,78.55,0.79,0.5192,77.78,0.78
0.4954,78.67,0.79,0.5197,77.57,0.78
0.4942,78.66,0.79,0.5202,77.51,0.78
0.4957,78.69,0.79,0.5193,77.78,0.78
0.4945,78.59,0.79,0.5202,77.82,0.78
0.4952,78.48,0.78,0.5203,77.46,0.77
0.4937,78.52,0.79,0.5197,77.76,0.78
0.494,78.58,0.79,0.5196,77.66,0.78
0.4916,78.62,0.79,0.5208,77.7,0.78
0.4924,78.77,0.79,0.5202,77.52,0.78
0.4928,78.73,0.79,0.5213,77.85,0.78
0.4927,78.58,0.79,0.5198,77.7,0.78
0.4912,78.85,0.79,0.5203,77.62,0.78
0.4924,78.65,0.79,0.5199,77.77,0.78
0.4902,78.73,0.79,0.5204,77.65,0.78
0.4889,78.62,0.79,0.52,77.69,0.78
0.491,78.89,0.79,0.5203,77.66,0.78
0.4894,78.77,0.79,0.5209,77.63,0.78
0.4899,78.66,0.79,0.521,77.63,0.78
0.4876,78.79,0.79,0.5208,77.67,0.78
0.4884,78.85,0.79,0.5207,77.69,0.78
0.4886,78.79,0.79,0.5212,77.8,0.78
0.4878,78.93,0.79,0.5212,77.73,0.78
0.4874,78.9,0.79,0.5209,77.77,0.78
0.4865,78.96,0.79,0.5223,77.66,0.78
0.4854,79.06,0.79,0.5216,77.66,0.78
0.4866,78.83,0.79,0.5213,77.78,0.78
0.4858,79.05,0.79,0.5214,77.7,0.78
0.4864,78.79,0.79,0.522,77.71,0.78
