train_loss,train_accuracy,train_auc,val_loss,val_accuracy,val_auc
0.6837,50.97,0.51,0.6702,70.91,0.71
0.6591,70.6,0.71,0.6419,75.41,0.75
0.6306,76.1,0.76,0.6143,75.88,0.76
0.6049,76.7,0.77,0.5927,76.01,0.76
0.5846,77.0,0.77,0.5767,76.22,0.76
0.5676,77.06,0.77,0.5648,76.33,0.76
0.5567,76.71,0.77,0.5567,76.17,0.76
0.5489,76.79,0.77,0.5512,76.41,0.76
0.544,76.71,0.77,0.5474,76.06,0.76
0.5403,76.74,0.77,0.5445,75.94,0.76
0.5364,76.81,0.77,0.542,76.2,0.76
0.5342,76.94,0.77,0.5401,76.18,0.76
0.5311,77.05,0.77,0.5385,76.39,0.76
0.5288,77.09,0.77,0.5372,76.41,0.76
0.5272,77.28,0.77,0.5359,76.56,0.77
0.5251,77.09,0.77,0.5349,76.58,0.77
0.5235,77.06,0.77,0.5342,76.74,0.77
0.5224,77.38,0.77,0.5336,76.77,0.77
0.5235,77.29,0.77,0.5331,76.75,0.77
0.5209,77.44,0.77,0.5327,76.74,0.77
0.5211,77.27,0.77,0.5319,76.82,0.77
0.5215,77.15,0.77,0.5314,76.85,0.77
0.5203,77.31,0.77,0.531,76.81,0.77
0.5185,77.36,0.77,0.5309,76.85,0.77
0.5172,77.21,0.77,0.5307,76.9,0.77
0.5169,77.42,0.77,0.5304,76.91,0.77
0.5177,77.28,0.77,0.5298,76.91,0.77
0.5166,77.47,0.77,0.5298,77.0,0.77
0.5159,77.51,0.78,0.5292,77.05,0.77
0.5149,77.44,0.77,0.5292,76.91,0.77
0.5141,77.43,0.77,0.5292,77.12,0.77
0.5144,77.5,0.77,0.5287,77.05,0.77
0.5156,77.62,0.78,0.5282,77.17,0.77
0.5143,77.46,0.77,0.5281,77.13,0.77
0.5128,77.51,0.78,0.5282,77.06,0.77
0.5129,77.56,0.78,0.528,77.05,0.77
0.5128,77.74,0.78,0.5275,77.19,0.77
0.5119,77.43,0.77,0.5276,77.08,0.77
0.5109,77.65,0.78,0.5275,77.08,0.77
0.5109,77.67,0.78,0.527,77.2,0.77
0.5104,77.51,0.78,0.5268,77.16,0.77
0.5104,77.61,0.78,0.5267,77.21,0.77
0.5093,77.74,0.78,0.5268,77.16,0.77
0.5084,77.62,0.78,0.5265,77.27,0.77
0.5092,77.73,0.78,0.5265,77.27,0.77
0.5095,77.67,0.78,0.5263,77.27,0.77
0.5082,77.71,0.78,0.5262,77.29,0.77
0.5081,77.78,0.78,0.526,77.27,0.77
0.5077,77.63,0.78,0.5258,77.25,0.77
0.508,77.89,0.78,0.5257,77.27,0.77
0.5062,77.82,0.78,0.5261,77.19,0.77
0.5064,77.69,0.78,0.5256,77.25,0.77
0.5067,77.63,0.78,0.5255,77.25,0.77
0.505,77.78,0.78,0.5259,77.28,0.77
0.5049,77.86,0.78,0.5253,77.24,0.77
0.504,77.81,0.78,0.5261,77.17,0.77
0.504,77.89,0.78,0.5253,77.21,0.77
0.5042,77.83,0.78,0.5253,77.2,0.77
0.503,77.78,0.78,0.5252,77.2,0.77
0.5039,77.97,0.78,0.5263,77.24,0.77
0.5035,77.97,0.78,0.5251,77.25,0.77
0.5034,77.98,0.78,0.5254,77.25,0.77
0.5047,77.85,0.78,0.5252,77.32,0.77
0.5035,77.97,0.78,0.5248,77.38,0.77
0.5027,78.05,0.78,0.5248,77.39,0.77
0.5023,78.0,0.78,0.5249,77.36,0.77
0.5019,78.04,0.78,0.5251,77.46,0.77
0.5005,78.01,0.78,0.5254,77.4,0.77
0.5003,78.12,0.78,0.5255,77.35,0.77
0.5013,78.06,0.78,0.525,77.31,0.77
0.5009,78.13,0.78,0.5255,77.27,0.77
0.4997,78.0,0.78,0.525,77.38,0.77
0.4996,78.16,0.78,0.526,77.43,0.77
0.4992,78.33,0.78,0.5258,77.39,0.77
0.4978,78.17,0.78,0.5253,77.35,0.77
0.4984,78.25,0.78,0.5258,77.32,0.77
0.4985,78.2,0.78,0.5261,77.32,0.77
0.4971,78.21,0.78,0.5259,77.47,0.77
0.4989,78.24,0.78,0.5253,77.52,0.78
0.4968,78.28,0.78,0.5255,77.51,0.78
0.498,78.19,0.78,0.5258,77.44,0.77
0.4981,78.38,0.78,0.5256,77.36,0.77
0.4969,78.31,0.78,0.5263,77.27,0.77
0.4958,78.33,0.78,0.5258,77.5,0.77
0.4963,78.27,0.78,0.526,77.51,0.78
0.4957,78.38,0.78,0.5269,77.27,0.77
0.4954,78.38,0.78,0.526,77.47,0.77
0.495,78.51,0.79,0.5269,77.44,0.77
0.494,78.33,0.78,0.5265,77.51,0.78
0.496,78.29,0.78,0.5264,77.52,0.78
0.4942,78.38,0.78,0.5262,77.47,0.77
0.4938,78.39,0.78,0.5266,77.4,0.77
0.4932,78.36,0.78,0.5275,77.44,0.77
0.4935,78.42,0.78,0.5266,77.42,0.77
0.4917,78.48,0.78,0.5282,77.31,0.77
0.4941,78.59,0.79,0.5284,77.33,0.77
0.4929,78.56,0.79,0.5266,77.47,0.77
0.4922,78.61,0.79,0.5269,77.43,0.77
0.4923,78.44,0.78,0.5271,77.38,0.77
0.4908,78.48,0.78,0.5291,77.31,0.77
