train_loss,train_accuracy,train_auc,val_loss,val_accuracy,val_auc
0.6877,50.01,0.5,0.6763,49.99,0.5
0.6673,65.01,0.65,0.6503,75.32,0.75
0.6392,76.04,0.76,0.6203,75.26,0.75
0.6083,75.78,0.76,0.5912,75.19,0.75
0.5805,75.59,0.76,0.5696,75.26,0.75
0.5613,75.67,0.76,0.5574,75.21,0.75
0.5509,75.73,0.76,0.5517,74.84,0.75
0.5445,75.78,0.76,0.5485,75.17,0.75
0.5418,75.82,0.76,0.5466,75.15,0.75
0.5386,75.92,0.76,0.5451,75.3,0.75
0.537,76.04,0.76,0.5439,75.38,0.75
0.5357,76.16,0.76,0.5432,75.32,0.75
0.5355,76.1,0.76,0.5422,75.36,0.75
0.5323,76.15,0.76,0.5419,75.32,0.75
0.5313,76.24,0.76,0.541,75.57,0.76
0.5322,76.31,0.76,0.5402,75.84,0.76
0.5318,76.33,0.76,0.5398,75.61,0.76
0.5301,76.4,0.76,0.5395,75.64,0.76
0.5307,76.27,0.76,0.5391,75.69,0.76
0.5283,76.33,0.76,0.5388,75.84,0.76
0.5294,76.33,0.76,0.5384,75.84,0.76
0.5291,76.36,0.76,0.5379,75.95,0.76
0.5273,76.4,0.76,0.5378,75.98,0.76
0.526,76.48,0.76,0.5375,75.97,0.76
0.5283,76.48,0.76,0.5374,75.98,0.76
0.5261,76.54,0.77,0.5369,76.05,0.76
0.5275,76.42,0.76,0.5368,76.03,0.76
0.5261,76.51,0.77,0.5366,76.11,0.76
0.5262,76.39,0.76,0.5365,75.99,0.76
0.5243,76.47,0.76,0.5365,75.95,0.76
0.5256,76.52,0.77,0.5368,75.91,0.76
0.5251,76.5,0.76,0.5364,75.94,0.76
0.5238,76.5,0.76,0.5357,76.21,0.76
0.5241,76.66,0.77,0.5355,76.24,0.76
0.5226,76.47,0.76,0.5356,76.1,0.76
0.5222,76.51,0.77,0.5354,76.16,0.76
0.5233,76.46,0.76,0.5358,75.97,0.76
0.522,76.55,0.77,0.5349,76.26,0.76
0.5241,76.58,0.77,0.5347,76.28,0.76
0.5233,76.44,0.76,0.5346,76.25,0.76
0.5221,76.47,0.76,0.5348,76.26,0.76
0.5225,76.47,0.76,0.5343,76.25,0.76
0.52,76.63,0.77,0.5348,76.11,0.76
0.5203,76.63,0.77,0.5343,76.29,0.76
0.5219,76.5,0.76,0.5342,76.14,0.76
0.5202,76.52,0.77,0.5346,76.16,0.76
0.5204,76.56,0.77,0.5344,76.17,0.76
0.52,76.63,0.77,0.534,76.14,0.76
0.5201,76.56,0.77,0.5338,76.18,0.76
0.5201,76.7,0.77,0.5337,76.16,0.76
0.5201,76.47,0.76,0.5335,76.21,0.76
0.5183,76.54,0.77,0.5339,76.18,0.76
0.5183,76.55,0.77,0.5337,76.2,0.76
0.5179,76.56,0.77,0.5338,76.21,0.76
0.5195,76.56,0.77,0.533,76.32,0.76
0.5183,76.7,0.77,0.5333,76.18,0.76
0.5184,76.71,0.77,0.5331,76.3,0.76
0.518,76.56,0.77,0.5333,76.35,0.76
0.5185,76.67,0.77,0.5327,76.35,0.76
0.5178,76.73,0.77,0.5328,76.48,0.76
0.5176,76.83,0.77,0.5329,76.33,0.76
0.5176,76.74,0.77,0.5328,76.41,0.76
0.5161,76.78,0.77,0.5326,76.48,0.76
0.5158,76.75,0.77,0.5335,76.33,0.76
0.5165,76.9,0.77,0.5327,76.48,0.76
0.5169,76.77,0.77,0.5326,76.55,0.77
0.5145,76.78,0.77,0.5328,76.41,0.76
0.515,76.74,0.77,0.5325,76.49,0.76
0.5164,76.88,0.77,0.5327,76.36,0.76
0.5148,76.88,0.77,0.5325,76.41,0.76
0.5142,76.98,0.77,0.5341,76.3,0.76
0.5154,76.77,0.77,0.5323,76.56,0.77
0.5159,76.89,0.77,0.532,76.56,0.77
0.5154,76.88,0.77,0.5321,76.52,0.77
0.514,76.94,0.77,0.532,76.56,0.77
0.5127,76.98,0.77,0.5323,76.51,0.77
0.5149,76.89,0.77,0.5322,76.54,0.77
0.5125,76.94,0.77,0.5322,76.54,0.77
0.5136,77.01,0.77,0.5321,76.52,0.77
0.5121,76.96,0.77,0.5324,76.51,0.77
0.513,76.89,0.77,0.5318,76.58,0.77
0.5123,76.96,0.77,0.5319,76.56,0.77
0.5129,76.96,0.77,0.5321,76.64,0.77
0.5134,76.97,0.77,0.5325,76.62,0.77
0.5121,77.12,0.77,0.5329,76.49,0.76
0.5108,77.13,0.77,0.5322,76.6,0.77
0.5126,77.04,0.77,0.5322,76.6,0.77
0.5119,77.12,0.77,0.5324,76.62,0.77
0.5104,77.11,0.77,0.5332,76.51,0.77
0.511,77.11,0.77,0.532,76.6,0.77
0.5109,77.02,0.77,0.5319,76.58,0.77
0.5101,77.16,0.77,0.532,76.67,0.77
0.5105,77.16,0.77,0.5316,76.62,0.77
0.5091,77.11,0.77,0.5336,76.52,0.77
0.5092,77.09,0.77,0.5335,76.52,0.77
0.5109,77.23,0.77,0.5317,76.66,0.77
0.5107,77.16,0.77,0.5316,76.63,0.77
0.5104,77.15,0.77,0.5315,76.64,0.77
0.5086,77.2,0.77,0.5319,76.62,0.77
0.5098,77.15,0.77,0.5319,76.68,0.77
