train_loss,train_accuracy,train_auc,val_loss,val_accuracy,val_auc
0.683,53.98,0.54,0.6687,74.88,0.75
0.6576,75.42,0.75,0.6393,75.91,0.76
0.6277,76.65,0.77,0.61,76.22,0.76
0.6003,77.19,0.77,0.5868,76.43,0.76
0.578,77.39,0.77,0.57,76.58,0.77
0.5629,77.08,0.77,0.559,76.45,0.76
0.5515,76.96,0.77,0.551,76.36,0.76
0.5455,77.11,0.77,0.5459,76.24,0.76
0.5382,76.98,0.77,0.5416,76.37,0.76
0.5341,77.16,0.77,0.5386,76.43,0.76
0.5318,77.36,0.77,0.5364,76.51,0.77
0.5298,77.35,0.77,0.5348,76.28,0.76
0.527,77.4,0.77,0.5331,76.55,0.77
0.5253,77.52,0.78,0.5322,76.59,0.77
0.5229,77.5,0.77,0.5313,76.63,0.77
0.5221,77.48,0.77,0.5306,76.67,0.77
0.5203,77.7,0.78,0.5301,76.67,0.77
0.5217,77.63,0.78,0.5294,76.81,0.77
0.519,77.65,0.78,0.529,76.86,0.77
0.5189,77.58,0.78,0.5286,76.83,0.77
0.5187,77.66,0.78,0.5282,76.86,0.77
0.5175,77.71,0.78,0.5283,76.87,0.77
0.5171,77.65,0.78,0.528,76.86,0.77
0.5164,77.73,0.78,0.5274,76.91,0.77
0.5162,77.74,0.78,0.5273,76.93,0.77
0.5158,77.65,0.78,0.5268,76.97,0.77
0.5158,77.66,0.78,0.5266,76.97,0.77
0.514,77.78,0.78,0.5265,77.12,0.77
0.5149,77.7,0.78,0.5262,77.09,0.77
0.5132,77.65,0.78,0.5264,77.05,0.77
0.5128,77.7,0.78,0.526,77.05,0.77
0.5122,77.79,0.78,0.5257,77.13,0.77
0.5123,77.86,0.78,0.5252,77.16,0.77
0.5117,77.82,0.78,0.5251,77.16,0.77
0.5118,77.81,0.78,0.5249,77.28,0.77
0.5113,77.88,0.78,0.5247,77.25,0.77
0.5119,77.9,0.78,0.5243,77.32,0.77
0.5104,77.92,0.78,0.5245,77.2,0.77
0.5096,77.75,0.78,0.5241,77.27,0.77
0.5097,77.97,0.78,0.5237,77.27,0.77
0.5102,77.96,0.78,0.5243,77.09,0.77
0.5106,77.88,0.78,0.5232,77.29,0.77
0.5082,78.02,0.78,0.5232,77.28,0.77
0.5088,77.88,0.78,0.5231,77.25,0.77
0.5075,78.0,0.78,0.5232,77.33,0.77
0.5081,77.83,0.78,0.5229,77.35,0.77
0.5076,77.98,0.78,0.5227,77.38,0.77
0.506,77.92,0.78,0.5229,77.39,0.77
0.5069,78.02,0.78,0.5227,77.24,0.77
0.5056,78.05,0.78,0.5225,77.28,0.77
0.506,78.15,0.78,0.5221,77.39,0.77
0.5065,78.15,0.78,0.5219,77.61,0.78
0.5058,78.05,0.78,0.522,77.5,0.77
0.5043,78.2,0.78,0.5224,77.39,0.77
0.5039,78.13,0.78,0.5222,77.36,0.77
0.5027,78.23,0.78,0.5226,77.35,0.77
0.5035,78.2,0.78,0.5233,77.23,0.77
0.5022,78.29,0.78,0.5222,77.39,0.77
0.502,78.25,0.78,0.5219,77.59,0.78
0.5026,78.38,0.78,0.5215,77.5,0.77
0.501,78.55,0.79,0.5215,77.54,0.78
0.5019,78.35,0.78,0.5215,77.5,0.77
0.5015,78.36,0.78,0.5215,77.51,0.78
0.5003,78.4,0.78,0.5218,77.46,0.77
0.4999,78.36,0.78,0.5218,77.44,0.77
0.5001,78.47,0.78,0.5214,77.57,0.78
0.4997,78.39,0.78,0.5217,77.46,0.77
0.499,78.39,0.78,0.5214,77.55,0.78
0.5012,78.32,0.78,0.5215,77.43,0.77
0.4997,78.58,0.79,0.5214,77.44,0.77
0.4996,78.44,0.78,0.5222,77.38,0.77
0.4983,78.48,0.78,0.522,77.61,0.78
0.4975,78.51,0.79,0.5215,77.58,0.78
0.4981,78.66,0.79,0.5215,77.54,0.78
0.4983,78.51,0.79,0.5216,77.54,0.78
0.4969,78.85,0.79,0.5223,77.67,0.78
0.4967,78.61,0.79,0.5221,77.54,0.78
0.4967,78.5,0.78,0.5222,77.61,0.78
0.4952,78.38,0.78,0.523,77.28,0.77
0.4948,78.66,0.79,0.5218,77.57,0.78
0.495,78.73,0.79,0.5224,77.42,0.77
0.4942,78.65,0.79,0.5224,77.44,0.77
0.495,78.58,0.79,0.522,77.63,0.78
0.495,78.5,0.78,0.5231,77.4,0.77
0.4955,78.7,0.79,0.5225,77.51,0.78
0.4931,78.63,0.79,0.5223,77.62,0.78
0.4935,78.66,0.79,0.5235,77.4,0.77
0.494,78.61,0.79,0.524,77.69,0.78
0.4946,78.69,0.79,0.5232,77.52,0.78
0.4926,78.67,0.79,0.5233,77.44,0.77
0.492,78.67,0.79,0.5229,77.54,0.78
0.4926,78.81,0.79,0.523,77.55,0.78
0.4914,78.74,0.79,0.5229,77.61,0.78
0.4917,78.77,0.79,0.523,77.66,0.78
0.4915,78.79,0.79,0.5231,77.57,0.78
0.4915,78.86,0.79,0.5236,77.55,0.78
0.4897,78.9,0.79,0.5263,77.38,0.77
0.4905,78.94,0.79,0.5237,77.55,0.78
0.4898,78.86,0.79,0.5237,77.61,0.78
0.4887,78.94,0.79,0.5237,77.67,0.78
