train_loss,train_accuracy,train_auc,val_loss,val_accuracy,val_auc
0.6667,71.81,0.72,0.6341,76.24,0.76
0.6119,76.78,0.77,0.5865,76.22,0.76
0.5739,77.06,0.77,0.5627,76.09,0.76
0.5543,76.94,0.77,0.5511,76.22,0.76
0.5432,76.89,0.77,0.5448,76.21,0.76
0.536,77.13,0.77,0.5409,76.17,0.76
0.5324,77.12,0.77,0.5381,76.26,0.76
0.529,77.31,0.77,0.5361,76.4,0.76
0.5288,77.36,0.77,0.5347,76.37,0.76
0.525,77.2,0.77,0.5334,76.62,0.77
0.5252,77.4,0.77,0.5322,76.6,0.77
0.5217,77.39,0.77,0.5325,76.43,0.76
0.5214,77.56,0.78,0.5311,76.67,0.77
0.521,77.56,0.78,0.5303,76.72,0.77
0.5186,77.66,0.78,0.53,76.82,0.77
0.5193,77.63,0.78,0.5293,76.86,0.77
0.5187,77.51,0.78,0.529,76.86,0.77
0.5183,77.71,0.78,0.5284,76.97,0.77
0.5174,77.71,0.78,0.5281,76.98,0.77
0.5165,77.73,0.78,0.5278,76.98,0.77
0.5167,77.73,0.78,0.5273,77.15,0.77
0.5146,77.82,0.78,0.5273,77.1,0.77
0.5145,77.78,0.78,0.5268,77.1,0.77
0.5136,77.81,0.78,0.5267,77.08,0.77
0.5132,77.92,0.78,0.526,77.17,0.77
0.5121,77.81,0.78,0.5259,77.2,0.77
0.512,77.86,0.78,0.5257,77.21,0.77
0.5108,77.88,0.78,0.5252,77.24,0.77
0.512,77.92,0.78,0.5245,77.32,0.77
0.5097,77.89,0.78,0.5245,77.29,0.77
0.5105,77.86,0.78,0.5246,77.24,0.77
0.5101,77.96,0.78,0.524,77.25,0.77
0.5106,77.92,0.78,0.5236,77.31,0.77
0.5081,77.77,0.78,0.5239,77.28,0.77
0.509,78.04,0.78,0.5235,77.29,0.77
0.5068,78.05,0.78,0.5233,77.36,0.77
0.5094,77.93,0.78,0.5227,77.43,0.77
0.5062,78.04,0.78,0.5241,77.25,0.77
0.5067,78.05,0.78,0.5228,77.27,0.77
0.5067,78.04,0.78,0.523,77.16,0.77
0.507,77.98,0.78,0.5224,77.2,0.77
0.5054,78.19,0.78,0.5222,77.28,0.77
0.5057,78.24,0.78,0.5221,77.24,0.77
0.5036,78.35,0.78,0.5223,77.19,0.77
0.5038,78.24,0.78,0.5218,77.36,0.77
0.5028,78.13,0.78,0.5221,77.25,0.77
0.5041,78.29,0.78,0.5218,77.38,0.77
0.5014,78.17,0.78,0.5222,77.24,0.77
0.5014,78.43,0.78,0.5217,77.29,0.77
0.5016,78.19,0.78,0.5218,77.27,0.77
0.5007,78.5,0.78,0.522,77.24,0.77
0.5004,78.58,0.79,0.5216,77.29,0.77
0.5,78.5,0.78,0.5222,77.29,0.77
0.5002,78.48,0.78,0.5222,77.27,0.77
0.4993,78.61,0.79,0.5217,77.28,0.77
0.4997,78.47,0.78,0.5215,77.35,0.77
0.4983,78.4,0.78,0.5219,77.31,0.77
0.4992,78.55,0.79,0.5218,77.32,0.77
0.4973,78.48,0.78,0.5218,77.31,0.77
0.4981,78.44,0.78,0.5228,77.29,0.77
0.4971,78.62,0.79,0.5218,77.32,0.77
0.4973,78.58,0.79,0.523,77.24,0.77
0.4974,78.56,0.79,0.5222,77.51,0.78
0.4949,78.63,0.79,0.5217,77.42,0.77
0.495,78.55,0.79,0.5218,77.48,0.77
0.4945,78.61,0.79,0.5219,77.46,0.77
0.4944,78.69,0.79,0.5224,77.36,0.77
0.4927,78.63,0.79,0.5223,77.35,0.77
0.4934,78.73,0.79,0.5223,77.4,0.77
0.4937,78.71,0.79,0.5223,77.52,0.78
0.4918,78.61,0.79,0.5239,77.31,0.77
0.4936,78.75,0.79,0.5223,77.52,0.78
0.4911,78.74,0.79,0.5232,77.47,0.77
0.4927,78.82,0.79,0.5228,77.58,0.78
0.4922,78.79,0.79,0.5231,77.7,0.78
0.4915,78.74,0.79,0.5229,77.47,0.77
0.4913,78.9,0.79,0.5225,77.57,0.78
0.4905,78.98,0.79,0.5239,77.42,0.77
0.4895,79.0,0.79,0.5258,77.36,0.77
0.4887,79.01,0.79,0.5235,77.47,0.77
0.4894,78.88,0.79,0.5232,77.58,0.78
0.4881,78.83,0.79,0.524,77.47,0.77
0.4888,79.04,0.79,0.524,77.46,0.77
0.4877,78.85,0.79,0.524,77.67,0.78
0.4867,79.01,0.79,0.5236,77.81,0.78
0.4885,79.02,0.79,0.5238,77.63,0.78
0.4864,78.9,0.79,0.5241,77.59,0.78
0.4852,79.02,0.79,0.5244,77.59,0.78
0.4843,78.98,0.79,0.5264,77.46,0.77
0.4848,79.0,0.79,0.5254,77.58,0.78
0.4845,79.16,0.79,0.5252,77.55,0.78
0.4848,79.13,0.79,0.5247,77.69,0.78
0.4831,78.92,0.79,0.5267,77.82,0.78
0.4832,79.11,0.79,0.5259,77.51,0.78
0.4844,79.17,0.79,0.5254,77.73,0.78
0.483,79.09,0.79,0.5268,77.47,0.77
0.4839,79.05,0.79,0.5256,77.65,0.78
0.4814,79.13,0.79,0.526,77.58,0.78
0.4803,79.28,0.79,0.5256,77.78,0.78
0.4819,79.27,0.79,0.5257,77.76,0.78
