train_loss,train_accuracy,train_auc,val_loss,val_accuracy,val_auc
0.6833,50.3,0.5,0.6699,70.14,0.7
0.6592,68.27,0.68,0.6413,75.23,0.75
0.6297,75.71,0.76,0.612,75.76,0.76
0.6017,76.46,0.76,0.5887,75.91,0.76
0.58,76.81,0.77,0.5719,76.1,0.76
0.563,76.78,0.77,0.5603,76.13,0.76
0.5529,76.67,0.77,0.5532,76.06,0.76
0.5451,76.73,0.77,0.5485,75.83,0.76
0.5403,76.66,0.77,0.5454,75.84,0.76
0.537,76.7,0.77,0.5428,76.03,0.76
0.5329,76.92,0.77,0.541,75.97,0.76
0.5307,76.94,0.77,0.5397,76.44,0.76
0.53,77.06,0.77,0.5387,76.07,0.76
0.5288,76.92,0.77,0.5374,76.52,0.77
0.5271,77.02,0.77,0.5366,76.56,0.77
0.5258,77.2,0.77,0.5359,76.56,0.77
0.5266,77.21,0.77,0.5352,76.58,0.77
0.5244,77.13,0.77,0.5345,76.63,0.77
0.5238,77.29,0.77,0.534,76.66,0.77
0.5225,77.33,0.77,0.5337,76.66,0.77
0.5219,77.29,0.77,0.5338,76.64,0.77
0.52,77.31,0.77,0.5328,76.64,0.77
0.5205,77.25,0.77,0.5324,76.66,0.77
0.5201,77.39,0.77,0.532,76.64,0.77
0.5187,77.24,0.77,0.532,76.68,0.77
0.5196,77.39,0.77,0.5313,76.74,0.77
0.518,77.39,0.77,0.5312,76.77,0.77
0.5177,77.27,0.77,0.5308,76.85,0.77
0.517,77.33,0.77,0.5307,76.9,0.77
0.5175,77.28,0.77,0.5302,76.89,0.77
0.5172,77.5,0.77,0.5301,76.89,0.77
0.5159,77.48,0.77,0.5299,76.89,0.77
0.5154,77.39,0.77,0.5298,76.93,0.77
0.515,77.52,0.78,0.5294,76.91,0.77
0.5159,77.5,0.77,0.529,77.04,0.77
0.513,77.46,0.77,0.5292,76.94,0.77
0.5131,77.59,0.78,0.5287,77.1,0.77
0.5127,77.61,0.78,0.5288,77.04,0.77
0.5132,77.65,0.78,0.5283,77.12,0.77
0.5122,77.61,0.78,0.5288,76.94,0.77
0.5112,77.54,0.78,0.5284,76.96,0.77
0.5115,77.55,0.78,0.5279,77.09,0.77
0.5104,77.61,0.78,0.528,77.1,0.77
0.5103,77.62,0.78,0.5279,77.02,0.77
0.51,77.66,0.78,0.5279,77.0,0.77
0.5096,77.62,0.78,0.5271,77.12,0.77
0.5088,77.75,0.78,0.527,77.13,0.77
0.5096,77.58,0.78,0.5268,77.15,0.77
0.509,77.71,0.78,0.5268,77.12,0.77
0.5085,77.63,0.78,0.5269,77.09,0.77
0.5068,77.74,0.78,0.5268,77.06,0.77
0.5062,77.65,0.78,0.527,77.12,0.77
0.5066,77.75,0.78,0.5266,77.05,0.77
0.5063,77.85,0.78,0.5273,77.16,0.77
0.5067,77.79,0.78,0.5263,77.06,0.77
0.5044,77.86,0.78,0.5275,77.17,0.77
0.5053,77.88,0.78,0.5268,77.1,0.77
0.5066,77.89,0.78,0.5265,77.08,0.77
0.5049,77.92,0.78,0.5264,77.06,0.77
0.5042,77.86,0.78,0.5263,77.05,0.77
0.504,77.97,0.78,0.5262,77.04,0.77
0.5034,77.98,0.78,0.5264,77.17,0.77
0.5035,77.9,0.78,0.5261,77.23,0.77
0.5024,77.98,0.78,0.5264,77.31,0.77
0.5027,77.94,0.78,0.526,77.28,0.77
0.5031,77.97,0.78,0.5263,77.16,0.77
0.5037,78.06,0.78,0.526,77.17,0.77
0.5032,78.12,0.78,0.5261,77.36,0.77
0.5018,78.09,0.78,0.526,77.27,0.77
0.5007,78.16,0.78,0.5265,77.17,0.77
0.5001,78.11,0.78,0.5266,77.2,0.77
0.5002,78.09,0.78,0.5264,77.29,0.77
0.5021,77.92,0.78,0.5262,77.29,0.77
0.4989,78.27,0.78,0.5262,77.27,0.77
0.4999,78.13,0.78,0.5261,77.25,0.77
0.4996,78.29,0.78,0.5262,77.28,0.77
0.5007,78.12,0.78,0.5261,77.35,0.77
0.4985,78.2,0.78,0.5265,77.28,0.77
0.4974,78.2,0.78,0.5266,77.24,0.77
0.4984,78.12,0.78,0.5264,77.23,0.77
0.4977,78.27,0.78,0.5274,77.46,0.77
0.4984,78.2,0.78,0.5263,77.46,0.77
0.4973,78.33,0.78,0.5263,77.28,0.77
0.4964,78.33,0.78,0.527,77.27,0.77
0.4975,78.27,0.78,0.527,77.24,0.77
0.4957,78.2,0.78,0.5269,77.24,0.77
0.4956,78.43,0.78,0.5269,77.29,0.77
0.4966,78.52,0.79,0.5276,77.25,0.77
0.4955,78.31,0.78,0.5273,77.32,0.77
0.4956,78.62,0.79,0.5267,77.43,0.77
0.4948,78.52,0.79,0.5269,77.4,0.77
0.4948,78.44,0.78,0.5276,77.31,0.77
0.4958,78.39,0.78,0.5274,77.38,0.77
0.4944,78.51,0.79,0.5274,77.46,0.77
0.4944,78.42,0.78,0.5278,77.48,0.77
0.4939,78.36,0.78,0.5277,77.42,0.77
0.4926,78.52,0.79,0.5275,77.42,0.77
0.4934,78.61,0.79,0.5278,77.5,0.77
0.4925,78.56,0.79,0.5275,77.44,0.77
0.4921,78.54,0.79,0.5282,77.5,0.77
