train_loss,train_accuracy,train_auc,val_loss,val_accuracy,val_auc
0.6748,67.25,0.67,0.6458,76.01,0.76
0.6251,76.93,0.77,0.5959,76.2,0.76
0.5797,76.77,0.77,0.564,76.2,0.76
0.5541,76.66,0.77,0.5506,76.02,0.76
0.5428,76.5,0.76,0.545,76.03,0.76
0.5376,76.58,0.77,0.5418,76.11,0.76
0.5335,76.78,0.77,0.5396,76.13,0.76
0.5307,76.9,0.77,0.5382,76.14,0.76
0.5291,77.12,0.77,0.5364,76.41,0.76
0.5285,76.93,0.77,0.5355,76.56,0.77
0.5265,77.27,0.77,0.5348,76.54,0.77
0.5254,77.08,0.77,0.5341,76.59,0.77
0.5229,77.17,0.77,0.5335,76.6,0.77
0.5226,77.2,0.77,0.5334,76.56,0.77
0.5229,77.28,0.77,0.5325,76.6,0.77
0.5208,77.29,0.77,0.5325,76.63,0.77
0.5211,77.21,0.77,0.5316,76.67,0.77
0.5215,77.31,0.77,0.5314,76.7,0.77
0.5198,77.39,0.77,0.5316,76.66,0.77
0.52,77.38,0.77,0.5313,76.7,0.77
0.5195,77.27,0.77,0.5313,76.72,0.77
0.52,77.39,0.77,0.5309,76.71,0.77
0.5177,77.42,0.77,0.5307,76.74,0.77
0.5173,77.39,0.77,0.5308,76.77,0.77
0.5177,77.42,0.77,0.531,76.77,0.77
0.5185,77.44,0.77,0.5299,76.81,0.77
0.5168,77.44,0.77,0.5303,76.78,0.77
0.5168,77.52,0.78,0.5299,76.81,0.77
0.5164,77.47,0.77,0.5306,76.78,0.77
0.5178,77.58,0.78,0.5292,76.96,0.77
0.515,77.39,0.77,0.53,76.86,0.77
0.5142,77.59,0.78,0.5294,76.9,0.77
0.5148,77.51,0.78,0.5297,76.89,0.77
0.5151,77.58,0.78,0.529,76.97,0.77
0.513,77.58,0.78,0.5295,76.98,0.77
0.5132,77.56,0.78,0.5294,76.89,0.77
0.5122,77.69,0.78,0.5299,76.82,0.77
0.5127,77.56,0.78,0.5291,76.91,0.77
0.5124,77.52,0.78,0.5292,76.86,0.77
0.5121,77.65,0.78,0.5289,76.89,0.77
0.5118,77.65,0.78,0.5288,76.9,0.77
0.5114,77.66,0.78,0.5287,77.01,0.77
0.5126,77.65,0.78,0.5292,76.81,0.77
0.5115,77.75,0.78,0.5286,77.0,0.77
0.5117,77.65,0.78,0.529,76.86,0.77
0.513,77.63,0.78,0.5286,77.0,0.77
0.5117,77.77,0.78,0.5289,76.89,0.77
0.5091,77.58,0.78,0.529,76.93,0.77
0.5101,77.62,0.78,0.5292,76.89,0.77
0.5097,77.73,0.78,0.5287,76.97,0.77
0.5094,77.81,0.78,0.5293,76.94,0.77
0.5092,77.61,0.78,0.529,77.02,0.77
0.508,77.75,0.78,0.5297,76.94,0.77
0.5087,77.67,0.78,0.5299,76.93,0.77
0.5079,77.7,0.78,0.5291,76.97,0.77
0.5076,77.74,0.78,0.5292,77.05,0.77
0.5088,77.78,0.78,0.5288,77.02,0.77
0.5068,77.75,0.78,0.5294,77.01,0.77
0.5081,77.73,0.78,0.5292,76.97,0.77
0.5074,77.7,0.78,0.5289,76.94,0.77
0.508,77.71,0.78,0.5298,77.01,0.77
0.5074,77.85,0.78,0.5289,76.93,0.77
0.5064,77.67,0.78,0.5291,76.94,0.77
0.5059,77.89,0.78,0.5293,76.94,0.77
0.5062,77.71,0.78,0.5294,77.02,0.77
0.5055,78.02,0.78,0.5296,77.01,0.77
0.5046,78.04,0.78,0.5291,77.13,0.77
0.5041,77.98,0.78,0.5292,77.16,0.77
0.5044,77.9,0.78,0.5302,77.01,0.77
0.5049,77.94,0.78,0.5294,77.13,0.77
0.5038,78.0,0.78,0.5298,77.15,0.77
0.5032,77.9,0.78,0.5304,77.02,0.77
0.504,78.04,0.78,0.5315,76.97,0.77
0.5032,78.12,0.78,0.531,77.02,0.77
0.5041,78.08,0.78,0.5307,77.09,0.77
0.5032,77.97,0.78,0.5298,77.19,0.77
0.5014,78.08,0.78,0.5304,77.09,0.77
0.5039,78.04,0.78,0.5305,77.1,0.77
0.5029,78.0,0.78,0.53,77.23,0.77
0.5026,78.11,0.78,0.5303,77.17,0.77
0.5028,78.16,0.78,0.5303,77.23,0.77
0.5017,78.17,0.78,0.5316,77.16,0.77
0.5035,78.09,0.78,0.5303,77.28,0.77
0.5015,78.32,0.78,0.5316,77.17,0.77
0.5011,78.17,0.78,0.5311,77.15,0.77
0.5006,78.17,0.78,0.5309,77.24,0.77
0.5001,78.21,0.78,0.5312,77.16,0.77
0.5003,78.31,0.78,0.5313,77.13,0.77
0.4989,78.21,0.78,0.5318,77.2,0.77
0.498,78.38,0.78,0.5324,77.16,0.77
0.4997,78.17,0.78,0.5312,77.27,0.77
0.4997,78.19,0.78,0.5318,77.21,0.77
0.4995,78.31,0.78,0.533,76.94,0.77
0.4991,78.4,0.78,0.5314,77.28,0.77
0.4989,78.23,0.78,0.532,77.19,0.77
0.4979,78.35,0.78,0.5314,77.23,0.77
0.4971,78.48,0.78,0.5319,77.23,0.77
0.4989,78.27,0.78,0.5317,77.16,0.77
0.498,78.16,0.78,0.5317,77.27,0.77
0.4961,78.33,0.78,0.533,77.01,0.77
