train_loss,train_accuracy,train_auc,val_loss,val_accuracy,val_auc
0.6872,50.02,0.5,0.6774,49.99,0.5
0.6715,63.93,0.64,0.6574,76.9,0.77
0.6503,77.15,0.77,0.6335,76.7,0.77
0.6244,77.02,0.77,0.6065,76.39,0.76
0.5974,76.48,0.76,0.5811,76.25,0.76
0.5741,76.23,0.76,0.5626,76.2,0.76
0.5577,76.17,0.76,0.5519,75.87,0.76
0.5488,76.17,0.76,0.5456,76.16,0.76
0.5432,76.29,0.76,0.5417,76.26,0.76
0.5377,76.69,0.77,0.5398,75.69,0.76
0.5341,76.47,0.76,0.5362,76.32,0.76
0.5312,76.83,0.77,0.5342,76.37,0.76
0.53,76.78,0.77,0.5323,76.52,0.77
0.5274,77.02,0.77,0.531,76.78,0.77
0.5251,77.06,0.77,0.5298,76.63,0.77
0.5245,77.25,0.77,0.5286,76.82,0.77
0.522,77.27,0.77,0.5278,76.83,0.77
0.5218,77.38,0.77,0.5273,76.85,0.77
0.5192,77.32,0.77,0.5263,77.05,0.77
0.5185,77.59,0.78,0.5263,76.82,0.77
0.5191,77.51,0.78,0.5252,77.15,0.77
0.5179,77.65,0.78,0.525,77.01,0.77
0.5189,77.55,0.78,0.5242,77.4,0.77
0.5155,77.9,0.78,0.5244,77.15,0.77
0.5152,77.63,0.78,0.5234,77.39,0.77
0.5151,77.93,0.78,0.5231,77.57,0.78
0.5136,78.0,0.78,0.523,77.43,0.77
0.5138,77.93,0.78,0.523,77.43,0.77
0.5131,78.0,0.78,0.5223,77.62,0.78
0.5139,77.97,0.78,0.5224,77.5,0.77
0.5126,78.2,0.78,0.5219,77.66,0.78
0.5116,78.13,0.78,0.5218,77.66,0.78
0.5106,78.08,0.78,0.5215,77.66,0.78
0.5102,78.11,0.78,0.5218,77.62,0.78
0.5104,77.96,0.78,0.5212,77.63,0.78
0.5093,78.17,0.78,0.5211,77.58,0.78
0.5088,78.24,0.78,0.5216,77.66,0.78
0.5085,78.16,0.78,0.5215,77.62,0.78
0.5077,78.16,0.78,0.5219,77.57,0.78
0.5085,78.13,0.78,0.5215,77.61,0.78
0.5081,78.13,0.78,0.5208,77.71,0.78
0.5058,78.12,0.78,0.5207,77.52,0.78
0.508,78.17,0.78,0.5206,77.43,0.77
0.5073,78.21,0.78,0.5205,77.39,0.77
0.5062,78.2,0.78,0.5205,77.46,0.77
0.5068,78.16,0.78,0.5205,77.5,0.77
0.5068,78.25,0.78,0.5219,77.38,0.77
0.5062,78.33,0.78,0.5203,77.47,0.77
0.5051,78.24,0.78,0.5203,77.48,0.77
0.5043,78.21,0.78,0.5208,77.52,0.78
0.5053,78.24,0.78,0.5203,77.42,0.77
0.505,78.27,0.78,0.5203,77.42,0.77
0.504,78.24,0.78,0.5207,77.5,0.77
0.5063,78.29,0.78,0.5203,77.44,0.77
0.5033,78.44,0.78,0.5203,77.39,0.77
0.5035,78.28,0.78,0.5211,77.52,0.78
0.5037,78.27,0.78,0.5205,77.44,0.77
0.5042,78.32,0.78,0.5202,77.4,0.77
0.5035,78.36,0.78,0.5209,77.51,0.78
0.503,78.21,0.78,0.5207,77.5,0.77
0.5025,78.28,0.78,0.5206,77.47,0.77
0.5014,78.31,0.78,0.5203,77.43,0.77
0.5009,78.4,0.78,0.5204,77.42,0.77
0.5022,78.21,0.78,0.5205,77.44,0.77
0.5012,78.36,0.78,0.5204,77.4,0.77
0.5004,78.29,0.78,0.5209,77.44,0.77
0.5007,78.4,0.78,0.5205,77.42,0.77
0.5,78.55,0.79,0.5209,77.46,0.77
0.499,78.33,0.78,0.521,77.43,0.77
0.5007,78.31,0.78,0.5207,77.42,0.77
0.5009,78.4,0.78,0.5207,77.43,0.77
0.4986,78.39,0.78,0.5207,77.42,0.77
0.5001,78.4,0.78,0.5207,77.42,0.77
0.4994,78.35,0.78,0.5209,77.42,0.77
0.4981,78.44,0.78,0.5208,77.44,0.77
0.4986,78.39,0.78,0.521,77.44,0.77
0.4973,78.51,0.79,0.5208,77.57,0.78
0.4964,78.56,0.79,0.5215,77.51,0.78
0.4975,78.58,0.79,0.5212,77.59,0.78
0.4975,78.55,0.79,0.5214,77.63,0.78
0.4996,78.51,0.79,0.5219,77.67,0.78
0.4982,78.56,0.79,0.5211,77.65,0.78
0.4968,78.44,0.78,0.5214,77.59,0.78
0.4971,78.58,0.79,0.5215,77.65,0.78
0.4968,78.61,0.79,0.5213,77.66,0.78
0.4962,78.69,0.79,0.5217,77.58,0.78
0.4973,78.66,0.79,0.5214,77.58,0.78
0.4957,78.62,0.79,0.5218,77.65,0.78
0.4949,78.56,0.79,0.5221,77.52,0.78
0.4949,78.58,0.79,0.5217,77.62,0.78
0.4961,78.74,0.79,0.5216,77.57,0.78
0.4946,78.63,0.79,0.5221,77.67,0.78
0.4948,78.51,0.79,0.5228,77.46,0.77
0.4954,78.75,0.79,0.5219,77.61,0.78
0.4943,78.67,0.79,0.5218,77.61,0.78
0.4943,78.69,0.79,0.5219,77.63,0.78
0.4931,78.69,0.79,0.5221,77.63,0.78
0.4941,78.67,0.79,0.5219,77.62,0.78
0.4926,78.71,0.79,0.5221,77.63,0.78
0.4916,78.74,0.79,0.5229,77.62,0.78
