train_loss,train_accuracy,train_auc,val_loss,val_accuracy,val_auc
0.6747,67.46,0.67,0.6504,77.06,0.77
0.6346,77.52,0.78,0.6095,76.96,0.77
0.5972,77.2,0.77,0.5787,76.51,0.77
0.5709,76.81,0.77,0.5614,76.22,0.76
0.5562,76.44,0.76,0.5538,75.53,0.76
0.5483,76.12,0.76,0.5479,76.02,0.76
0.5441,76.54,0.77,0.5443,75.86,0.76
0.5389,76.52,0.77,0.5408,76.32,0.76
0.5351,76.79,0.77,0.5388,76.14,0.76
0.5327,76.74,0.77,0.5364,76.66,0.77
0.5317,76.89,0.77,0.5348,76.67,0.77
0.5274,76.93,0.77,0.5336,76.94,0.77
0.5267,77.16,0.77,0.5324,76.82,0.77
0.5246,77.23,0.77,0.5313,76.93,0.77
0.5254,77.29,0.77,0.5303,76.91,0.77
0.523,77.2,0.77,0.5296,77.01,0.77
0.5218,77.48,0.77,0.5289,77.02,0.77
0.5204,77.54,0.78,0.5283,77.06,0.77
0.5202,77.52,0.78,0.5279,77.09,0.77
0.5181,77.61,0.78,0.5281,76.97,0.77
0.5173,77.75,0.78,0.5274,77.1,0.77
0.5173,77.7,0.78,0.5268,77.17,0.77
0.5162,77.74,0.78,0.526,77.44,0.77
0.5162,77.93,0.78,0.5258,77.39,0.77
0.5172,77.94,0.78,0.5253,77.43,0.77
0.5141,77.85,0.78,0.5252,77.47,0.77
0.5153,78.01,0.78,0.5249,77.47,0.77
0.514,78.05,0.78,0.5255,77.35,0.77
0.5131,77.98,0.78,0.5244,77.38,0.77
0.5127,78.17,0.78,0.5245,77.5,0.77
0.5114,78.13,0.78,0.5251,77.44,0.77
0.5114,77.92,0.78,0.524,77.35,0.77
0.5109,77.97,0.78,0.5244,77.48,0.77
0.5106,78.09,0.78,0.524,77.51,0.78
0.5088,78.15,0.78,0.5241,77.48,0.77
0.51,78.19,0.78,0.5236,77.44,0.77
0.5098,78.16,0.78,0.5236,77.38,0.77
0.5091,78.17,0.78,0.5238,77.51,0.78
0.5086,78.27,0.78,0.5234,77.48,0.77
0.5087,78.23,0.78,0.5237,77.55,0.78
0.5088,78.29,0.78,0.5233,77.48,0.77
0.5077,78.25,0.78,0.5233,77.31,0.77
0.5069,78.25,0.78,0.5241,77.52,0.78
0.5061,78.36,0.78,0.5234,77.38,0.77
0.506,78.16,0.78,0.5234,77.38,0.77
0.5069,78.24,0.78,0.5233,77.39,0.77
0.506,78.21,0.78,0.5239,77.38,0.77
0.5059,78.13,0.78,0.5234,77.39,0.77
0.5061,78.12,0.78,0.5239,77.38,0.77
0.505,78.46,0.78,0.5239,77.33,0.77
0.5046,78.28,0.78,0.5246,77.48,0.77
0.5039,78.38,0.78,0.525,77.48,0.77
0.5042,78.2,0.78,0.5236,77.36,0.77
0.5043,78.39,0.78,0.5239,77.33,0.77
0.5069,78.31,0.78,0.5239,77.4,0.77
0.5024,78.32,0.78,0.5247,77.35,0.77
0.504,78.39,0.78,0.5241,77.36,0.77
0.5043,78.36,0.78,0.524,77.39,0.77
0.503,78.44,0.78,0.5241,77.33,0.77
0.5029,78.28,0.78,0.5242,77.33,0.77
0.503,78.35,0.78,0.5241,77.32,0.77
0.5012,78.42,0.78,0.5243,77.35,0.77
0.5032,78.47,0.78,0.5241,77.29,0.77
0.5027,78.48,0.78,0.5245,77.27,0.77
0.5003,78.5,0.78,0.524,77.4,0.77
0.5018,78.38,0.78,0.5243,77.42,0.77
0.5021,78.56,0.79,0.5246,77.24,0.77
0.5014,78.51,0.79,0.524,77.32,0.77
0.5009,78.54,0.79,0.5244,77.23,0.77
0.5007,78.62,0.79,0.5248,77.47,0.77
0.4997,78.48,0.78,0.5247,77.42,0.77
0.4983,78.63,0.79,0.5245,77.33,0.77
0.4994,78.51,0.79,0.5248,77.2,0.77
0.499,78.46,0.78,0.5243,77.42,0.77
0.4992,78.59,0.79,0.5243,77.36,0.77
0.5004,78.61,0.79,0.5245,77.42,0.77
0.4978,78.65,0.79,0.5251,77.44,0.77
0.4983,78.65,0.79,0.5261,77.52,0.78
0.498,78.66,0.79,0.525,77.33,0.77
0.4976,78.63,0.79,0.5249,77.48,0.77
0.4968,78.81,0.79,0.525,77.39,0.77
0.4975,78.7,0.79,0.5253,77.39,0.77
0.4969,78.81,0.79,0.5253,77.59,0.78
0.4958,78.54,0.79,0.526,77.29,0.77
0.4965,78.69,0.79,0.5253,77.36,0.77
0.4972,78.58,0.79,0.5254,77.58,0.78
0.4955,78.69,0.79,0.5259,77.31,0.77
0.4955,78.86,0.79,0.5263,77.28,0.77
0.4946,78.78,0.79,0.5258,77.55,0.78
0.4961,78.83,0.79,0.5267,77.28,0.77
0.4959,78.78,0.79,0.5258,77.33,0.77
0.4954,78.83,0.79,0.5276,77.28,0.77
0.4936,78.89,0.79,0.5274,77.33,0.77
0.4944,78.75,0.79,0.5263,77.33,0.77
0.4935,78.85,0.79,0.5275,77.31,0.77
0.4946,78.9,0.79,0.5262,77.46,0.77
0.4922,78.92,0.79,0.5267,77.35,0.77
0.4934,78.86,0.79,0.5265,77.42,0.77
0.4949,78.97,0.79,0.5264,77.42,0.77
0.4939,78.92,0.79,0.5265,77.42,0.77
