train_loss,train_accuracy,train_auc,val_loss,val_accuracy,val_auc
0.6827,50.05,0.5,0.6632,71.94,0.72
0.6478,72.42,0.72,0.6255,75.99,0.76
0.612,76.63,0.77,0.5939,76.22,0.76
0.5827,77.15,0.77,0.5714,76.33,0.76
0.562,77.0,0.77,0.5571,76.41,0.76
0.5509,76.89,0.77,0.5492,76.25,0.76
0.5409,77.0,0.77,0.5442,76.22,0.76
0.5368,77.11,0.77,0.5406,76.28,0.76
0.5316,77.28,0.77,0.5381,76.35,0.76
0.53,77.38,0.77,0.5358,76.39,0.76
0.5279,77.42,0.77,0.5344,76.49,0.76
0.525,77.46,0.77,0.5332,76.58,0.77
0.5244,77.38,0.77,0.5324,76.6,0.77
0.5235,77.48,0.77,0.5315,76.63,0.77
0.5208,77.51,0.78,0.5309,76.62,0.77
0.52,77.63,0.78,0.5306,76.58,0.77
0.5202,77.54,0.78,0.5297,76.83,0.77
0.519,77.54,0.78,0.5294,76.86,0.77
0.5197,77.63,0.78,0.529,76.75,0.77
0.5184,77.71,0.78,0.5285,76.97,0.77
0.5171,77.62,0.78,0.5285,76.86,0.77
0.5173,77.56,0.78,0.528,77.04,0.77
0.5165,77.71,0.78,0.5274,77.06,0.77
0.516,77.7,0.78,0.5272,77.12,0.77
0.514,77.58,0.78,0.5268,77.15,0.77
0.5156,77.71,0.78,0.5264,77.1,0.77
0.5127,77.67,0.78,0.5263,77.16,0.77
0.512,77.71,0.78,0.5263,77.1,0.77
0.5116,77.81,0.78,0.5257,77.2,0.77
0.5122,77.79,0.78,0.5254,77.21,0.77
0.5113,77.66,0.78,0.5252,77.19,0.77
0.5121,77.71,0.78,0.525,77.17,0.77
0.5103,77.81,0.78,0.5248,77.13,0.77
0.5102,77.81,0.78,0.525,77.21,0.77
0.5095,77.73,0.78,0.5241,77.17,0.77
0.5078,77.85,0.78,0.5246,77.19,0.77
0.5077,77.88,0.78,0.5237,77.39,0.77
0.5066,77.86,0.78,0.5233,77.38,0.77
0.5069,77.86,0.78,0.5236,77.28,0.77
0.5083,77.79,0.78,0.5228,77.38,0.77
0.5065,77.96,0.78,0.5226,77.38,0.77
0.5062,77.94,0.78,0.5228,77.33,0.77
0.5056,77.79,0.78,0.5223,77.36,0.77
0.5039,77.93,0.78,0.5221,77.46,0.77
0.5041,78.12,0.78,0.522,77.4,0.77
0.5036,77.98,0.78,0.5224,77.21,0.77
0.504,77.97,0.78,0.5217,77.44,0.77
0.5039,78.02,0.78,0.5216,77.44,0.77
0.5015,78.15,0.78,0.5221,77.42,0.77
0.5017,78.25,0.78,0.5214,77.55,0.78
0.5024,78.35,0.78,0.5211,77.7,0.78
0.5018,78.36,0.78,0.5213,77.54,0.78
0.5002,78.33,0.78,0.5208,77.57,0.78
0.5003,78.2,0.78,0.5208,77.52,0.78
0.5004,78.38,0.78,0.5207,77.54,0.78
0.5,78.31,0.78,0.5206,77.52,0.78
0.4986,78.43,0.78,0.5204,77.55,0.78
0.4976,78.33,0.78,0.5215,77.46,0.77
0.4984,78.24,0.78,0.5206,77.58,0.78
0.4981,78.27,0.78,0.5203,77.61,0.78
0.4972,78.32,0.78,0.5203,77.61,0.78
0.4969,78.48,0.78,0.5203,77.63,0.78
0.4963,78.44,0.78,0.5205,77.62,0.78
0.4955,78.36,0.78,0.5205,77.61,0.78
0.4963,78.48,0.78,0.5206,77.73,0.78
0.4961,78.55,0.79,0.5204,77.66,0.78
0.4954,78.54,0.79,0.5203,77.67,0.78
0.4932,78.67,0.79,0.5203,77.59,0.78
0.4955,78.54,0.79,0.5204,77.57,0.78
0.4935,78.47,0.78,0.5211,77.51,0.78
0.4958,78.69,0.79,0.5202,77.73,0.78
0.4926,78.63,0.79,0.5204,77.59,0.78
0.4924,78.65,0.79,0.5207,77.62,0.78
0.4913,78.47,0.78,0.5202,77.67,0.78
0.4924,78.61,0.79,0.5202,77.74,0.78
0.4912,78.78,0.79,0.5204,77.65,0.78
0.4893,78.66,0.79,0.5209,77.66,0.78
0.4911,78.83,0.79,0.5204,77.74,0.78
0.4915,78.73,0.79,0.5206,77.77,0.78
0.4889,78.75,0.79,0.521,77.77,0.78
0.4885,78.92,0.79,0.5205,77.66,0.78
0.4886,78.73,0.79,0.5208,77.73,0.78
0.4889,78.69,0.79,0.5225,77.59,0.78
0.4866,78.86,0.79,0.5213,77.73,0.78
0.4883,78.67,0.79,0.5208,77.71,0.78
0.4869,78.74,0.79,0.521,77.71,0.78
0.4877,78.92,0.79,0.521,77.67,0.78
0.4861,78.89,0.79,0.5212,77.71,0.78
0.4863,78.82,0.79,0.5214,77.73,0.78
0.4855,78.86,0.79,0.5226,77.77,0.78
0.4844,78.89,0.79,0.5216,77.78,0.78
0.4841,78.85,0.79,0.5229,77.73,0.78
0.4849,78.92,0.79,0.5229,77.8,0.78
0.484,78.96,0.79,0.5228,77.8,0.78
0.4827,79.0,0.79,0.5234,77.67,0.78
0.4822,79.11,0.79,0.5226,77.81,0.78
0.4816,79.08,0.79,0.5232,77.84,0.78
0.4813,79.21,0.79,0.5229,77.81,0.78
0.4829,78.92,0.79,0.5227,77.78,0.78
0.4804,79.29,0.79,0.5246,77.78,0.78
