train_loss,train_accuracy,train_auc,val_loss,val_accuracy,val_auc
0.6724,66.6,0.67,0.6484,75.65,0.76
0.6314,76.24,0.76,0.611,76.07,0.76
0.5985,76.71,0.77,0.5856,76.26,0.76
0.576,77.17,0.77,0.5673,76.66,0.77
0.5585,77.39,0.77,0.5543,76.54,0.77
0.5464,77.33,0.77,0.5458,76.48,0.76
0.5379,77.29,0.77,0.5403,76.37,0.76
0.5332,77.32,0.77,0.5368,76.47,0.76
0.5289,77.5,0.77,0.5344,76.55,0.77
0.526,77.42,0.77,0.5328,76.66,0.77
0.5267,77.52,0.78,0.5315,76.56,0.77
0.5237,77.54,0.78,0.5306,76.78,0.77
0.5216,77.65,0.78,0.5298,76.85,0.77
0.5206,77.43,0.77,0.5294,76.87,0.77
0.5201,77.61,0.78,0.5288,76.89,0.77
0.5197,77.56,0.78,0.5283,76.91,0.77
0.5191,77.52,0.78,0.5279,77.09,0.77
0.5174,77.82,0.78,0.5276,77.13,0.77
0.5162,77.66,0.78,0.5275,76.97,0.77
0.5174,77.65,0.78,0.5267,77.17,0.77
0.5158,77.65,0.78,0.5265,77.2,0.77
0.5151,77.71,0.78,0.5264,77.19,0.77
0.5142,77.63,0.78,0.526,77.19,0.77
0.5143,77.78,0.78,0.526,77.16,0.77
0.5139,77.74,0.78,0.5253,77.32,0.77
0.5131,77.65,0.78,0.5251,77.25,0.77
0.5121,77.67,0.78,0.5247,77.29,0.77
0.5131,77.7,0.78,0.5243,77.4,0.77
0.5112,77.81,0.78,0.5246,77.23,0.77
0.5118,77.7,0.78,0.5239,77.33,0.77
0.5112,77.69,0.78,0.5239,77.33,0.77
0.5119,77.9,0.78,0.5235,77.35,0.77
0.5117,77.92,0.78,0.5232,77.46,0.77
0.5098,77.81,0.78,0.5229,77.42,0.77
0.5085,77.78,0.78,0.5227,77.43,0.77
0.5095,77.89,0.78,0.5228,77.4,0.77
0.5097,77.79,0.78,0.5224,77.46,0.77
0.5074,78.04,0.78,0.5221,77.43,0.77
0.507,77.85,0.78,0.5221,77.39,0.77
0.5068,77.96,0.78,0.5218,77.39,0.77
0.5064,77.98,0.78,0.5218,77.38,0.77
0.507,77.92,0.78,0.5213,77.47,0.77
0.5061,78.05,0.78,0.5211,77.46,0.77
0.5051,77.89,0.78,0.521,77.47,0.77
0.5059,78.0,0.78,0.5209,77.46,0.77
0.5047,77.93,0.78,0.5208,77.5,0.77
0.5037,78.05,0.78,0.5208,77.5,0.77
0.5038,78.16,0.78,0.5207,77.5,0.77
0.5034,78.23,0.78,0.5203,77.57,0.78
0.5039,78.06,0.78,0.5203,77.7,0.78
0.5022,78.15,0.78,0.521,77.44,0.77
0.5034,78.24,0.78,0.52,77.5,0.77
0.5023,78.32,0.78,0.5202,77.54,0.78
0.5011,78.12,0.78,0.5205,77.47,0.77
0.5026,78.24,0.78,0.5197,77.61,0.78
0.5014,78.27,0.78,0.5197,77.51,0.78
0.4997,78.21,0.78,0.5202,77.39,0.77
0.4988,78.39,0.78,0.5196,77.59,0.78
0.4987,78.27,0.78,0.5193,77.59,0.78
0.4989,78.15,0.78,0.5206,77.27,0.77
0.4983,78.42,0.78,0.5194,77.54,0.78
0.499,78.39,0.78,0.5191,77.58,0.78
0.4989,78.38,0.78,0.5193,77.52,0.78
0.4976,78.43,0.78,0.5189,77.63,0.78
0.4982,78.17,0.78,0.5195,77.54,0.78
0.4987,78.51,0.79,0.5192,77.69,0.78
0.4969,78.31,0.78,0.5189,77.59,0.78
0.4969,78.54,0.79,0.5189,77.63,0.78
0.495,78.63,0.79,0.5187,77.62,0.78
0.4971,78.52,0.79,0.519,77.65,0.78
0.4954,78.5,0.78,0.5192,77.59,0.78
0.4955,78.47,0.78,0.5191,77.71,0.78
0.4945,78.59,0.79,0.5187,77.67,0.78
0.4937,78.62,0.79,0.5191,77.59,0.78
0.4933,78.51,0.79,0.5192,77.61,0.78
0.4941,78.63,0.79,0.5189,77.67,0.78
0.4935,78.48,0.78,0.5192,77.61,0.78
0.4929,78.81,0.79,0.5191,77.71,0.78
0.4938,78.61,0.79,0.5194,77.7,0.78
0.4929,78.56,0.79,0.519,77.74,0.78
0.4946,78.58,0.79,0.5192,77.74,0.78
0.4915,78.66,0.79,0.5196,77.65,0.78
0.4922,78.74,0.79,0.519,77.78,0.78
0.4923,78.73,0.79,0.5189,77.73,0.78
0.4902,78.82,0.79,0.519,77.82,0.78
0.4908,78.77,0.79,0.5191,77.82,0.78
0.4919,78.71,0.79,0.5191,77.7,0.78
0.49,78.75,0.79,0.5191,77.77,0.78
0.489,78.88,0.79,0.5197,77.67,0.78
0.4905,78.77,0.79,0.5195,77.77,0.78
0.4893,78.78,0.79,0.52,77.7,0.78
0.4888,78.86,0.79,0.5195,77.86,0.78
0.4884,78.71,0.79,0.521,77.65,0.78
0.4883,78.83,0.79,0.5197,77.74,0.78
0.4879,78.9,0.79,0.5201,77.76,0.78
0.4874,78.79,0.79,0.5199,77.77,0.78
0.487,78.71,0.79,0.5197,77.82,0.78
0.4882,78.85,0.79,0.5201,77.8,0.78
0.4854,78.73,0.79,0.5199,77.84,0.78
0.4854,78.82,0.79,0.5197,77.84,0.78
