train_loss,train_accuracy,train_auc,val_loss,val_accuracy,val_auc
0.6859,50.44,0.5,0.6724,72.88,0.73
0.6638,69.21,0.69,0.6455,75.63,0.76
0.6352,75.88,0.76,0.6157,75.46,0.75
0.6052,76.19,0.76,0.5895,75.15,0.75
0.5811,75.52,0.76,0.5721,75.18,0.75
0.5655,75.77,0.76,0.5634,75.5,0.76
0.5577,75.66,0.76,0.5583,74.98,0.75
0.5519,75.71,0.76,0.5543,75.46,0.75
0.5491,75.96,0.76,0.5515,75.6,0.76
0.5442,76.19,0.76,0.5492,75.52,0.76
0.5432,76.31,0.76,0.5475,75.95,0.76
0.5385,76.32,0.76,0.5455,75.99,0.76
0.5382,76.51,0.77,0.5435,76.02,0.76
0.5367,76.75,0.77,0.5422,75.93,0.76
0.5341,76.6,0.77,0.5412,75.97,0.76
0.5326,76.9,0.77,0.5398,76.16,0.76
0.5302,76.97,0.77,0.5386,76.17,0.76
0.5296,76.98,0.77,0.5379,76.25,0.76
0.5287,77.0,0.77,0.5373,76.39,0.76
0.5286,76.9,0.77,0.537,76.54,0.77
0.526,77.11,0.77,0.5358,76.49,0.76
0.5248,77.06,0.77,0.5348,76.4,0.76
0.5244,77.15,0.77,0.5344,76.49,0.76
0.5235,77.25,0.77,0.5337,76.51,0.77
0.5234,77.19,0.77,0.533,76.55,0.77
0.5217,77.25,0.77,0.5329,76.52,0.77
0.5216,77.06,0.77,0.5324,76.58,0.77
0.5207,77.13,0.77,0.532,76.51,0.77
0.5204,77.21,0.77,0.5316,76.67,0.77
0.5205,77.17,0.77,0.5317,76.55,0.77
0.5187,77.29,0.77,0.5317,76.55,0.77
0.5198,77.31,0.77,0.5311,76.55,0.77
0.5165,77.43,0.77,0.5326,76.51,0.77
0.5177,77.42,0.77,0.531,76.59,0.77
0.5167,77.33,0.77,0.5301,76.72,0.77
0.5174,77.39,0.77,0.5297,76.89,0.77
0.5161,77.46,0.77,0.5305,76.6,0.77
0.5171,77.19,0.77,0.5293,76.85,0.77
0.5148,77.29,0.77,0.5292,76.82,0.77
0.5182,77.54,0.78,0.5294,76.96,0.77
0.5146,77.61,0.78,0.5291,76.85,0.77
0.514,77.5,0.77,0.5289,76.97,0.77
0.5139,77.52,0.78,0.5292,76.85,0.77
0.5135,77.52,0.78,0.5301,76.66,0.77
0.5146,77.62,0.78,0.5292,76.83,0.77
0.5128,77.63,0.78,0.5286,76.93,0.77
0.5126,77.48,0.77,0.5292,76.82,0.77
0.5117,77.58,0.78,0.5288,76.89,0.77
0.5129,77.77,0.78,0.529,76.94,0.77
0.5125,77.74,0.78,0.5288,76.97,0.77
0.5136,77.7,0.78,0.5285,76.93,0.77
0.5127,77.67,0.78,0.5291,76.94,0.77
0.5138,77.62,0.78,0.5289,76.93,0.77
0.5122,77.78,0.78,0.5285,76.91,0.77
0.5096,77.85,0.78,0.5282,76.87,0.77
0.5114,77.63,0.78,0.5285,76.91,0.77
0.5099,77.7,0.78,0.5293,76.96,0.77
0.5105,77.65,0.78,0.5285,76.9,0.77
0.5105,77.7,0.78,0.5291,76.89,0.77
0.5102,77.86,0.78,0.5291,76.89,0.77
0.5099,77.73,0.78,0.5286,76.89,0.77
0.5108,77.71,0.78,0.5292,76.87,0.77
0.509,77.78,0.78,0.5286,76.85,0.77
0.5083,77.77,0.78,0.5289,76.85,0.77
0.5077,77.81,0.78,0.5285,76.89,0.77
0.5072,77.75,0.78,0.5302,76.87,0.77
0.5082,77.79,0.78,0.5296,76.9,0.77
0.509,77.78,0.78,0.5289,76.87,0.77
0.5097,77.77,0.78,0.5363,76.75,0.77
0.5079,77.79,0.78,0.529,76.83,0.77
0.5081,77.88,0.78,0.5291,76.83,0.77
0.5076,77.93,0.78,0.5295,76.89,0.77
0.5081,77.89,0.78,0.5289,76.81,0.77
0.5089,77.89,0.78,0.5291,76.81,0.77
0.5077,77.94,0.78,0.5292,76.79,0.77
0.5073,77.96,0.78,0.5291,76.81,0.77
0.5068,77.86,0.78,0.5292,76.81,0.77
0.5069,77.96,0.78,0.5291,76.79,0.77
0.508,77.66,0.78,0.5296,76.87,0.77
0.5053,78.02,0.78,0.5303,76.85,0.77
0.5071,77.98,0.78,0.5305,77.0,0.77
0.5067,77.75,0.78,0.5302,76.77,0.77
0.507,77.9,0.78,0.5302,76.79,0.77
0.5059,77.86,0.78,0.5327,76.83,0.77
0.5057,77.9,0.78,0.5297,76.79,0.77
0.5045,77.93,0.78,0.5298,76.85,0.77
0.5066,78.01,0.78,0.5294,76.75,0.77
0.5048,77.96,0.78,0.5299,76.74,0.77
0.5053,77.88,0.78,0.5305,76.81,0.77
0.5065,77.96,0.78,0.5303,76.96,0.77
0.5053,77.93,0.78,0.5316,76.86,0.77
0.5065,77.86,0.78,0.5299,76.91,0.77
0.504,78.01,0.78,0.5311,76.83,0.77
0.5039,77.94,0.78,0.5309,76.93,0.77
0.506,77.86,0.78,0.53,76.74,0.77
0.5045,77.93,0.78,0.5306,76.75,0.77
0.5044,77.96,0.78,0.53,76.79,0.77
0.5043,77.96,0.78,0.5301,76.75,0.77
0.5039,77.97,0.78,0.53,76.79,0.77
0.5039,77.98,0.78,0.5305,76.72,0.77
