train_loss,train_accuracy,train_auc,val_loss,val_accuracy,val_auc
0.6882,50.02,0.5,0.678,49.99,0.5
0.6685,61.17,0.61,0.653,74.77,0.75
0.6429,75.5,0.75,0.6251,76.16,0.76
0.614,76.98,0.77,0.5985,76.35,0.76
0.5892,77.5,0.77,0.5779,76.6,0.77
0.5689,77.35,0.77,0.563,76.56,0.77
0.5555,77.19,0.77,0.5532,76.52,0.77
0.5463,76.98,0.77,0.5471,76.4,0.76
0.5401,77.12,0.77,0.5431,76.4,0.76
0.5362,77.02,0.77,0.54,76.39,0.76
0.5327,77.08,0.77,0.5375,76.4,0.76
0.53,77.51,0.78,0.5356,76.49,0.76
0.528,77.44,0.77,0.534,76.68,0.77
0.5249,77.54,0.78,0.5327,76.74,0.77
0.5233,77.61,0.78,0.5316,76.79,0.77
0.5225,77.67,0.78,0.5307,76.78,0.77
0.5219,77.71,0.78,0.53,76.78,0.77
0.5198,77.74,0.78,0.5293,76.9,0.77
0.5191,77.74,0.78,0.5286,76.85,0.77
0.5189,77.67,0.78,0.5281,76.93,0.77
0.5171,77.7,0.78,0.5278,76.85,0.77
0.5162,77.73,0.78,0.527,77.04,0.77
0.5164,77.89,0.78,0.5265,77.13,0.77
0.5154,77.71,0.78,0.5261,77.23,0.77
0.5156,77.75,0.78,0.5256,77.23,0.77
0.5144,77.88,0.78,0.5254,77.21,0.77
0.513,77.74,0.78,0.5249,77.36,0.77
0.514,77.73,0.78,0.5246,77.43,0.77
0.5124,77.71,0.78,0.5242,77.42,0.77
0.5109,77.73,0.78,0.5244,77.16,0.77
0.5102,77.71,0.78,0.5239,77.21,0.77
0.5109,77.89,0.78,0.5232,77.4,0.77
0.5099,77.89,0.78,0.5232,77.35,0.77
0.5084,77.9,0.78,0.523,77.4,0.77
0.5082,77.82,0.78,0.5227,77.36,0.77
0.5082,77.82,0.78,0.5222,77.47,0.77
0.5077,77.89,0.78,0.522,77.4,0.77
0.5088,77.92,0.78,0.5218,77.39,0.77
0.5073,77.85,0.78,0.5215,77.43,0.77
0.5057,77.92,0.78,0.5212,77.44,0.77
0.5064,77.9,0.78,0.521,77.46,0.77
0.5056,77.97,0.78,0.5207,77.48,0.77
0.5058,77.98,0.78,0.5214,77.36,0.77
0.5043,77.98,0.78,0.5208,77.47,0.77
0.505,77.97,0.78,0.5203,77.55,0.78
0.5043,78.15,0.78,0.5202,77.58,0.78
0.5025,78.0,0.78,0.5198,77.47,0.77
0.5027,78.02,0.78,0.5198,77.47,0.77
0.5021,78.08,0.78,0.5196,77.55,0.78
0.5025,78.28,0.78,0.5195,77.52,0.78
0.5015,78.09,0.78,0.5196,77.48,0.77
0.5006,78.21,0.78,0.5192,77.55,0.78
0.501,78.11,0.78,0.5191,77.57,0.78
0.5009,78.2,0.78,0.519,77.57,0.78
0.4998,78.21,0.78,0.5194,77.51,0.78
0.5005,78.29,0.78,0.5188,77.59,0.78
0.4995,78.23,0.78,0.5195,77.65,0.78
0.4991,78.36,0.78,0.5187,77.76,0.78
0.4994,78.39,0.78,0.5191,77.7,0.78
0.4977,78.4,0.78,0.5188,77.71,0.78
0.4978,78.51,0.79,0.5186,77.69,0.78
0.4984,78.39,0.78,0.5188,77.69,0.78
0.4969,78.47,0.78,0.5187,77.7,0.78
0.4964,78.35,0.78,0.519,77.7,0.78
0.4954,78.44,0.78,0.5186,77.76,0.78
0.4966,78.38,0.78,0.5193,77.67,0.78
0.4953,78.51,0.79,0.5186,77.73,0.78
0.4971,78.46,0.78,0.5186,77.78,0.78
0.4973,78.52,0.79,0.5187,77.78,0.78
0.4945,78.54,0.79,0.5186,77.81,0.78
0.4946,78.58,0.79,0.5188,77.7,0.78
0.4948,78.48,0.78,0.519,77.69,0.78
0.493,78.5,0.78,0.519,77.81,0.78
0.4943,78.54,0.79,0.5189,77.7,0.78
0.4925,78.54,0.79,0.5187,77.8,0.78
0.4923,78.52,0.79,0.5188,77.78,0.78
0.4915,78.48,0.78,0.5195,77.57,0.78
0.491,78.55,0.79,0.519,77.63,0.78
0.4925,78.59,0.79,0.5189,77.71,0.78
0.4914,78.58,0.79,0.5196,77.86,0.78
0.4925,78.71,0.79,0.5191,77.84,0.78
0.4902,78.59,0.79,0.519,77.81,0.78
0.4901,78.71,0.79,0.5195,77.85,0.78
0.4909,78.79,0.79,0.5205,77.82,0.78
0.4895,78.94,0.79,0.52,77.55,0.78
0.4894,78.71,0.79,0.5194,77.82,0.78
0.4885,78.74,0.79,0.5199,77.76,0.78
0.4879,78.85,0.79,0.5209,77.63,0.78
0.4889,78.89,0.79,0.5203,77.65,0.78
0.4883,78.79,0.79,0.5197,77.77,0.78
0.4866,79.09,0.79,0.5198,77.81,0.78
0.4871,78.88,0.79,0.5206,77.69,0.78
0.488,78.86,0.79,0.5206,77.67,0.78
0.4858,78.88,0.79,0.52,77.8,0.78
0.4851,78.96,0.79,0.5206,77.71,0.78
0.487,78.74,0.79,0.5206,77.84,0.78
0.4858,78.94,0.79,0.521,77.85,0.78
0.4863,78.97,0.79,0.5206,77.74,0.78
0.4839,78.94,0.79,0.5212,77.84,0.78
0.4833,78.92,0.79,0.5212,77.71,0.78
