train_loss,train_accuracy,train_auc,val_loss,val_accuracy,val_auc
0.6836,63.71,0.64,0.6697,77.0,0.77
0.6592,77.5,0.77,0.6432,76.94,0.77
0.6329,77.61,0.78,0.6164,77.09,0.77
0.6077,77.38,0.77,0.5939,77.02,0.77
0.5888,76.92,0.77,0.5787,76.41,0.76
0.5744,76.59,0.77,0.5684,76.32,0.76
0.564,76.47,0.76,0.5613,75.99,0.76
0.5576,76.29,0.76,0.5557,75.91,0.76
0.5511,76.28,0.76,0.5511,76.03,0.76
0.547,76.46,0.76,0.5476,76.14,0.76
0.5421,76.4,0.76,0.5449,76.3,0.76
0.5395,76.73,0.77,0.543,76.02,0.76
0.5368,76.66,0.77,0.5408,76.24,0.76
0.5337,76.71,0.77,0.5391,76.64,0.77
0.5317,77.02,0.77,0.5377,76.56,0.77
0.5306,76.98,0.77,0.5365,76.71,0.77
0.5283,77.05,0.77,0.5354,76.71,0.77
0.5276,77.0,0.77,0.5343,76.83,0.77
0.5272,77.29,0.77,0.5334,76.89,0.77
0.5255,77.16,0.77,0.5326,76.98,0.77
0.5243,77.42,0.77,0.5319,76.87,0.77
0.5235,77.55,0.78,0.5313,76.9,0.77
0.5221,77.52,0.78,0.5308,76.96,0.77
0.5212,77.62,0.78,0.5302,77.0,0.77
0.5208,77.48,0.77,0.5297,77.04,0.77
0.5193,77.59,0.78,0.5294,77.09,0.77
0.5189,77.75,0.78,0.5287,77.13,0.77
0.5196,77.58,0.78,0.5281,77.42,0.77
0.5175,77.89,0.78,0.528,77.27,0.77
0.5178,77.83,0.78,0.5274,77.43,0.77
0.5175,77.88,0.78,0.5273,77.32,0.77
0.5168,77.97,0.78,0.5274,77.28,0.77
0.5155,78.05,0.78,0.5266,77.43,0.77
0.5163,77.96,0.78,0.5264,77.46,0.77
0.5141,78.01,0.78,0.5261,77.51,0.78
0.5137,78.01,0.78,0.526,77.52,0.78
0.5141,78.12,0.78,0.5257,77.55,0.78
0.513,78.17,0.78,0.5257,77.47,0.77
0.5123,78.01,0.78,0.5259,77.47,0.77
0.5133,78.11,0.78,0.5253,77.51,0.78
0.5115,78.12,0.78,0.5249,77.48,0.77
0.512,78.25,0.78,0.5249,77.46,0.77
0.511,78.09,0.78,0.5246,77.57,0.78
0.5106,78.16,0.78,0.5244,77.57,0.78
0.5087,78.15,0.78,0.5244,77.54,0.78
0.5102,78.12,0.78,0.5247,77.46,0.77
0.5099,78.23,0.78,0.5241,77.51,0.78
0.5087,78.15,0.78,0.5243,77.46,0.77
0.5102,78.24,0.78,0.5243,77.5,0.77
0.5085,78.12,0.78,0.5248,77.47,0.77
0.5082,78.17,0.78,0.5239,77.48,0.77
0.5094,78.29,0.78,0.5241,77.44,0.77
0.5089,78.27,0.78,0.5237,77.46,0.77
0.5064,78.29,0.78,0.5242,77.46,0.77
0.507,78.29,0.78,0.5238,77.47,0.77
0.5069,78.32,0.78,0.524,77.44,0.77
0.5084,78.25,0.78,0.5239,77.47,0.77
0.506,78.32,0.78,0.5237,77.47,0.77
0.5056,78.29,0.78,0.5237,77.43,0.77
0.5063,78.16,0.78,0.524,77.42,0.77
0.5053,78.25,0.78,0.5237,77.44,0.77
0.5062,78.31,0.78,0.524,77.42,0.77
0.5039,78.4,0.78,0.5248,77.4,0.77
0.5054,78.38,0.78,0.5241,77.36,0.77
0.5036,78.25,0.78,0.5238,77.38,0.77
0.5034,78.36,0.78,0.5246,77.38,0.77
0.5027,78.36,0.78,0.5241,77.36,0.77
0.5043,78.32,0.78,0.5239,77.47,0.77
0.5035,78.38,0.78,0.524,77.43,0.77
0.5032,78.35,0.78,0.5239,77.43,0.77
0.5032,78.44,0.78,0.5238,77.33,0.77
0.5037,78.5,0.78,0.5239,77.43,0.77
0.5015,78.38,0.78,0.5241,77.36,0.77
0.5031,78.35,0.78,0.5242,77.43,0.77
0.5016,78.36,0.78,0.5244,77.38,0.77
0.5033,78.4,0.78,0.524,77.47,0.77
0.5005,78.44,0.78,0.524,77.5,0.77
0.5019,78.42,0.78,0.5246,77.46,0.77
0.501,78.52,0.79,0.5244,77.5,0.77
0.5007,78.69,0.79,0.5244,77.47,0.77
0.5007,78.52,0.79,0.5245,77.55,0.78
0.5009,78.48,0.78,0.5244,77.46,0.77
0.5007,78.5,0.78,0.5255,77.43,0.77
0.4995,78.44,0.78,0.5248,77.39,0.77
0.4993,78.52,0.79,0.525,77.55,0.78
0.4997,78.66,0.79,0.5246,77.48,0.77
0.4994,78.58,0.79,0.5258,77.48,0.77
0.499,78.66,0.79,0.5247,77.42,0.77
0.498,78.51,0.79,0.5247,77.48,0.77
0.4979,78.59,0.79,0.5258,77.47,0.77
0.4975,78.63,0.79,0.5261,77.46,0.77
0.499,78.67,0.79,0.5254,77.42,0.77
0.4983,78.58,0.79,0.5249,77.47,0.77
0.4976,78.66,0.79,0.5255,77.47,0.77
0.4977,78.73,0.79,0.525,77.4,0.77
0.498,78.66,0.79,0.5251,77.51,0.78
0.4967,78.79,0.79,0.5259,77.5,0.77
0.4962,78.62,0.79,0.5253,77.42,0.77
0.4948,78.75,0.79,0.5256,77.43,0.77
0.4981,78.74,0.79,0.5255,77.44,0.77
