train_loss,train_accuracy,train_auc,val_loss,val_accuracy,val_auc
0.6827,71.52,0.72,0.6665,75.84,0.76
0.6542,76.48,0.76,0.6331,75.86,0.76
0.62,76.46,0.76,0.6,75.82,0.76
0.5892,76.1,0.76,0.5749,75.52,0.76
0.5668,76.15,0.76,0.5602,75.49,0.75
0.5543,76.19,0.76,0.5528,75.5,0.76
0.5472,76.21,0.76,0.5488,75.59,0.76
0.5428,76.38,0.76,0.5459,75.64,0.76
0.54,76.52,0.77,0.5437,76.03,0.76
0.5388,76.62,0.77,0.5418,75.82,0.76
0.5341,76.77,0.77,0.5402,76.1,0.76
0.5334,76.83,0.77,0.5391,76.17,0.76
0.5321,76.92,0.77,0.5377,76.17,0.76
0.5294,76.94,0.77,0.5369,76.18,0.76
0.5288,77.09,0.77,0.536,76.21,0.76
0.5282,76.98,0.77,0.5354,76.26,0.76
0.5267,77.12,0.77,0.5346,76.45,0.76
0.5247,77.06,0.77,0.534,76.54,0.77
0.5258,77.08,0.77,0.5336,76.4,0.76
0.5241,77.16,0.77,0.533,76.48,0.76
0.5232,77.12,0.77,0.5327,76.51,0.77
0.5223,77.2,0.77,0.5322,76.56,0.77
0.5213,77.21,0.77,0.532,76.51,0.77
0.5221,77.19,0.77,0.5319,76.6,0.77
0.5203,77.16,0.77,0.5313,76.55,0.77
0.5196,77.23,0.77,0.5314,76.56,0.77
0.5192,77.21,0.77,0.5313,76.58,0.77
0.5187,77.38,0.77,0.5308,76.64,0.77
0.5176,77.38,0.77,0.5305,76.66,0.77
0.5174,77.2,0.77,0.5304,76.66,0.77
0.5176,77.27,0.77,0.5302,76.7,0.77
0.5173,77.31,0.77,0.53,76.64,0.77
0.517,77.43,0.77,0.5297,76.66,0.77
0.5168,77.25,0.77,0.5295,76.82,0.77
0.5153,77.33,0.77,0.5294,76.71,0.77
0.5154,77.42,0.77,0.5297,76.66,0.77
0.515,77.39,0.77,0.5296,76.7,0.77
0.5144,77.48,0.77,0.5291,76.93,0.77
0.5156,77.61,0.78,0.5291,76.86,0.77
0.5153,77.47,0.77,0.5291,76.85,0.77
0.5139,77.44,0.77,0.5289,77.04,0.77
0.513,77.67,0.78,0.5294,76.72,0.77
0.5145,77.56,0.78,0.5288,76.9,0.77
0.5124,77.67,0.78,0.5288,77.05,0.77
0.5129,77.67,0.78,0.5287,76.98,0.77
0.5126,77.62,0.78,0.5285,77.0,0.77
0.5132,77.62,0.78,0.5284,77.02,0.77
0.5128,77.59,0.78,0.5286,77.01,0.77
0.5122,77.69,0.78,0.5285,77.01,0.77
0.5118,77.71,0.78,0.5286,77.0,0.77
0.5113,77.77,0.78,0.5289,76.98,0.77
0.5127,77.65,0.78,0.5283,77.01,0.77
0.5105,77.66,0.78,0.5285,77.0,0.77
0.5101,77.74,0.78,0.5284,76.9,0.77
0.5118,77.65,0.78,0.5283,76.96,0.77
0.51,77.75,0.78,0.5284,76.9,0.77
0.5109,77.92,0.78,0.5286,76.9,0.77
0.5095,77.83,0.78,0.5286,76.9,0.77
0.5115,77.75,0.78,0.5293,76.9,0.77
0.5091,77.75,0.78,0.5285,76.91,0.77
0.5091,77.9,0.78,0.5287,76.86,0.77
0.51,77.7,0.78,0.5285,76.87,0.77
0.5085,77.82,0.78,0.5288,76.85,0.77
0.5087,77.77,0.78,0.5292,76.9,0.77
0.5091,77.74,0.78,0.5288,76.91,0.77
0.5084,77.74,0.78,0.5295,76.86,0.77
0.5096,77.85,0.78,0.5291,76.83,0.77
0.5082,77.77,0.78,0.5302,76.93,0.77
0.509,77.88,0.78,0.5288,76.82,0.77
0.5079,77.67,0.78,0.5286,76.83,0.77
0.5082,77.89,0.78,0.5287,76.85,0.77
0.5065,77.79,0.78,0.5289,76.83,0.77
0.5071,77.78,0.78,0.5287,76.79,0.77
0.5064,77.7,0.78,0.5298,76.9,0.77
0.5055,77.85,0.78,0.5289,76.79,0.77
0.5071,77.86,0.78,0.5289,76.85,0.77
0.506,78.02,0.78,0.5294,76.86,0.77
0.5069,77.82,0.78,0.5294,76.81,0.77
0.5065,77.9,0.78,0.5291,76.82,0.77
0.5063,77.92,0.78,0.5291,76.77,0.77
0.5067,77.96,0.78,0.5295,76.85,0.77
0.5052,77.97,0.78,0.5295,76.82,0.77
0.5047,77.97,0.78,0.5293,76.81,0.77
0.5061,77.92,0.78,0.529,76.79,0.77
0.5056,78.04,0.78,0.5291,76.72,0.77
0.5049,77.93,0.78,0.5293,76.79,0.77
0.5066,77.83,0.78,0.5293,76.85,0.77
0.5053,77.97,0.78,0.5291,76.77,0.77
0.5033,78.04,0.78,0.5296,76.74,0.77
0.5056,77.92,0.78,0.5295,76.72,0.77
0.5029,78.02,0.78,0.5296,76.82,0.77
0.5059,78.0,0.78,0.5293,76.74,0.77
0.5041,78.09,0.78,0.5292,76.77,0.77
0.5028,78.16,0.78,0.5294,76.78,0.77
0.5046,77.98,0.78,0.5292,76.79,0.77
0.5027,77.92,0.78,0.5299,76.77,0.77
0.5027,78.02,0.78,0.5296,76.77,0.77
0.5037,78.04,0.78,0.5295,76.75,0.77
0.5026,77.79,0.78,0.5296,76.74,0.77
0.5034,77.96,0.78,0.5295,76.71,0.77
