train_loss,train_accuracy,train_auc,val_loss,val_accuracy,val_auc
0.6852,60.24,0.6,0.6688,76.22,0.76
0.6568,76.88,0.77,0.6388,76.41,0.76
0.626,77.02,0.77,0.6079,76.55,0.77
0.5971,77.17,0.77,0.5832,76.68,0.77
0.5748,77.23,0.77,0.5677,76.6,0.77
0.5611,77.06,0.77,0.5582,76.35,0.76
0.5519,76.97,0.77,0.5512,76.52,0.77
0.5443,76.96,0.77,0.5462,76.28,0.76
0.5391,77.05,0.77,0.5422,76.48,0.76
0.5344,77.31,0.77,0.5395,76.33,0.76
0.5322,77.28,0.77,0.5366,76.55,0.77
0.5293,77.25,0.77,0.5351,76.58,0.77
0.5262,77.38,0.77,0.5333,76.83,0.77
0.5258,77.44,0.77,0.5322,76.72,0.77
0.5236,77.56,0.78,0.5311,76.9,0.77
0.5223,77.69,0.78,0.5302,76.97,0.77
0.5216,77.62,0.78,0.5296,76.94,0.77
0.5208,77.58,0.78,0.529,77.01,0.77
0.521,77.69,0.78,0.5286,77.02,0.77
0.5182,77.79,0.78,0.5283,77.02,0.77
0.5187,77.7,0.78,0.5277,76.98,0.77
0.5163,77.71,0.78,0.5275,77.06,0.77
0.5156,77.83,0.78,0.5275,77.08,0.77
0.5166,77.71,0.78,0.5266,77.1,0.77
0.5164,77.7,0.78,0.5263,77.15,0.77
0.5144,77.9,0.78,0.5262,77.13,0.77
0.5141,77.89,0.78,0.5259,77.16,0.77
0.5144,77.85,0.78,0.5258,77.15,0.77
0.5143,77.89,0.78,0.5255,77.17,0.77
0.5119,77.83,0.78,0.5251,77.24,0.77
0.5125,77.82,0.78,0.5248,77.25,0.77
0.5125,77.94,0.78,0.5246,77.25,0.77
0.5119,77.92,0.78,0.5242,77.29,0.77
0.5107,77.88,0.78,0.524,77.28,0.77
0.5118,77.86,0.78,0.524,77.27,0.77
0.51,77.92,0.78,0.5235,77.32,0.77
0.5099,78.04,0.78,0.5235,77.28,0.77
0.5088,77.98,0.78,0.5233,77.24,0.77
0.5074,78.12,0.78,0.5233,77.39,0.77
0.507,78.09,0.78,0.523,77.39,0.77
0.5088,78.06,0.78,0.5233,77.38,0.77
0.5076,78.19,0.78,0.5225,77.48,0.77
0.5095,78.09,0.78,0.5222,77.48,0.77
0.5064,78.13,0.78,0.5222,77.44,0.77
0.5071,78.09,0.78,0.5221,77.43,0.77
0.5062,78.23,0.78,0.5229,77.42,0.77
0.5065,78.21,0.78,0.5218,77.51,0.78
0.5057,78.19,0.78,0.5218,77.46,0.77
0.5071,78.25,0.78,0.5217,77.44,0.77
0.5033,78.19,0.78,0.5225,77.42,0.77
0.5037,78.29,0.78,0.5221,77.4,0.77
0.5038,78.29,0.78,0.5226,77.39,0.77
0.5035,78.38,0.78,0.5216,77.42,0.77
0.5023,78.42,0.78,0.5215,77.35,0.77
0.5024,78.32,0.78,0.5217,77.4,0.77
0.5028,78.51,0.79,0.5217,77.36,0.77
0.5034,78.31,0.78,0.5216,77.35,0.77
0.5002,78.33,0.78,0.5214,77.39,0.77
0.5012,78.28,0.78,0.5215,77.42,0.77
0.501,78.38,0.78,0.5219,77.42,0.77
0.5022,78.19,0.78,0.5215,77.4,0.77
0.501,78.35,0.78,0.522,77.33,0.77
0.5005,78.32,0.78,0.5235,77.33,0.77
0.4992,78.38,0.78,0.5215,77.48,0.77
0.4988,78.56,0.79,0.5217,77.4,0.77
0.499,78.51,0.79,0.5219,77.39,0.77
0.4976,78.48,0.78,0.5219,77.36,0.77
0.4975,78.46,0.78,0.5227,77.59,0.78
0.4993,78.55,0.79,0.522,77.44,0.77
0.4971,78.42,0.78,0.522,77.44,0.77
0.4968,78.58,0.79,0.5228,77.42,0.77
0.4975,78.58,0.79,0.5221,77.43,0.77
0.4973,78.56,0.79,0.5222,77.44,0.77
0.4981,78.66,0.79,0.5242,77.43,0.77
0.4965,78.66,0.79,0.5222,77.44,0.77
0.4953,78.55,0.79,0.5229,77.47,0.77
0.4946,78.66,0.79,0.524,77.4,0.77
0.4959,78.54,0.79,0.5226,77.46,0.77
0.4958,78.65,0.79,0.5224,77.4,0.77
0.4943,78.48,0.78,0.5237,77.5,0.77
0.4938,78.75,0.79,0.523,77.47,0.77
0.4948,78.65,0.79,0.523,77.46,0.77
0.4935,78.7,0.79,0.5227,77.46,0.77
0.493,78.63,0.79,0.523,77.46,0.77
0.4919,78.69,0.79,0.5231,77.44,0.77
0.4918,78.74,0.79,0.5234,77.5,0.77
0.4928,78.7,0.79,0.5239,77.52,0.78
0.4914,78.75,0.79,0.5234,77.57,0.78
0.4912,78.71,0.79,0.5244,77.5,0.77
0.4904,78.88,0.79,0.524,77.65,0.78
0.4912,78.82,0.79,0.5236,77.58,0.78
0.4913,78.88,0.79,0.5239,77.57,0.78
0.4918,78.92,0.79,0.5239,77.58,0.78
0.4906,78.85,0.79,0.5241,77.65,0.78
0.4893,78.73,0.79,0.525,77.46,0.77
0.489,78.93,0.79,0.5257,77.42,0.77
0.4882,78.86,0.79,0.5245,77.63,0.78
0.4895,78.9,0.79,0.5245,77.58,0.78
0.4881,78.9,0.79,0.5254,77.69,0.78
0.488,79.01,0.79,0.5267,77.69,0.78
