train_loss,train_accuracy,train_auc,val_loss,val_accuracy,val_auc
0.6759,49.97,0.5,0.6528,49.99,0.5
0.6377,66.21,0.66,0.6169,75.79,0.76
0.6061,76.58,0.77,0.592,76.4,0.76
0.5829,77.29,0.77,0.5742,76.47,0.76
0.567,77.11,0.77,0.5624,76.35,0.76
0.5546,76.97,0.77,0.5549,76.06,0.76
0.5464,76.79,0.77,0.5496,76.4,0.76
0.5404,77.19,0.77,0.5455,76.26,0.76
0.5368,77.16,0.77,0.5423,76.37,0.76
0.5324,77.17,0.77,0.5399,76.39,0.76
0.53,77.28,0.77,0.5378,76.47,0.76
0.5274,77.47,0.77,0.5361,76.64,0.77
0.5266,77.39,0.77,0.5349,76.75,0.77
0.523,77.65,0.78,0.5339,76.59,0.77
0.5221,77.67,0.78,0.5328,76.77,0.77
0.5221,77.7,0.78,0.5322,76.68,0.77
0.5195,77.66,0.78,0.5314,76.74,0.77
0.519,77.65,0.78,0.5303,76.85,0.77
0.5172,77.86,0.78,0.5298,76.89,0.77
0.5175,77.83,0.78,0.5288,76.91,0.77
0.5153,77.9,0.78,0.5285,77.12,0.77
0.5163,77.9,0.78,0.5287,76.89,0.77
0.515,77.92,0.78,0.5273,76.97,0.77
0.5138,77.93,0.78,0.5267,77.13,0.77
0.5128,77.96,0.78,0.5265,77.17,0.77
0.5118,77.97,0.78,0.5262,77.19,0.77
0.5115,78.06,0.78,0.5258,77.13,0.77
0.512,77.86,0.78,0.5252,77.23,0.77
0.5098,78.11,0.78,0.525,77.27,0.77
0.509,78.2,0.78,0.5246,77.33,0.77
0.5094,78.08,0.78,0.524,77.33,0.77
0.5077,78.16,0.78,0.5251,77.24,0.77
0.5071,78.09,0.78,0.5237,77.38,0.77
0.5068,78.17,0.78,0.524,77.21,0.77
0.5044,78.16,0.78,0.5231,77.33,0.77
0.5047,78.29,0.78,0.5232,77.33,0.77
0.5053,78.27,0.78,0.5224,77.42,0.77
0.5037,78.27,0.78,0.5225,77.39,0.77
0.5031,78.16,0.78,0.5223,77.44,0.77
0.5036,78.25,0.78,0.5221,77.44,0.77
0.502,78.23,0.78,0.5222,77.38,0.77
0.5004,78.42,0.78,0.5218,77.32,0.77
0.5005,78.33,0.78,0.5215,77.31,0.77
0.4995,78.4,0.78,0.5219,77.35,0.77
0.501,78.27,0.78,0.5214,77.42,0.77
0.4994,78.35,0.78,0.5213,77.61,0.78
0.4979,78.42,0.78,0.5212,77.35,0.77
0.4982,78.42,0.78,0.521,77.4,0.77
0.4996,78.39,0.78,0.5238,77.32,0.77
0.4968,78.36,0.78,0.5211,77.51,0.78
0.4974,78.44,0.78,0.5209,77.54,0.78
0.496,78.44,0.78,0.5214,77.58,0.78
0.496,78.4,0.78,0.5208,77.36,0.77
0.4944,78.56,0.79,0.521,77.52,0.78
0.495,78.51,0.79,0.5205,77.59,0.78
0.4946,78.5,0.78,0.5205,77.59,0.78
0.4948,78.51,0.79,0.5204,77.63,0.78
0.4931,78.54,0.79,0.521,77.48,0.77
0.4926,78.47,0.78,0.5209,77.65,0.78
0.4942,78.48,0.78,0.5204,77.65,0.78
0.4926,78.7,0.79,0.5214,77.43,0.77
0.4912,78.56,0.79,0.5206,77.58,0.78
0.4923,78.56,0.79,0.5207,77.7,0.78
0.4915,78.54,0.79,0.5205,77.67,0.78
0.4906,78.54,0.79,0.5224,77.39,0.77
0.491,78.69,0.79,0.5213,77.62,0.78
0.4882,78.78,0.79,0.5232,77.7,0.78
0.489,78.65,0.79,0.521,77.76,0.78
0.4886,78.75,0.79,0.5239,77.39,0.77
0.4879,78.82,0.79,0.5212,77.76,0.78
0.4877,78.82,0.79,0.5228,77.71,0.78
0.4863,78.98,0.79,0.5213,77.71,0.78
0.4873,78.82,0.79,0.5225,77.57,0.78
0.4862,79.13,0.79,0.5219,77.78,0.78
0.4858,78.96,0.79,0.5217,77.73,0.78
0.4861,78.85,0.79,0.5218,77.77,0.78
0.4855,78.98,0.79,0.5235,77.51,0.78
0.4835,79.01,0.79,0.524,77.59,0.78
0.4837,79.08,0.79,0.5244,77.61,0.78
0.4831,78.96,0.79,0.5231,77.67,0.78
0.4844,79.19,0.79,0.5244,77.54,0.78
0.4823,79.09,0.79,0.5231,77.71,0.78
0.4821,79.12,0.79,0.5229,77.77,0.78
0.4829,79.04,0.79,0.5228,77.84,0.78
0.4818,79.15,0.79,0.5232,77.7,0.78
0.4806,79.12,0.79,0.5263,77.52,0.78
0.4799,79.11,0.79,0.5253,77.69,0.78
0.4794,79.08,0.79,0.5233,77.77,0.78
0.4799,79.21,0.79,0.5238,77.71,0.78
0.48,79.05,0.79,0.5236,77.8,0.78
0.4773,79.23,0.79,0.5237,77.77,0.78
0.4795,79.17,0.79,0.5243,77.73,0.78
0.4778,79.2,0.79,0.5253,77.67,0.78
0.4757,79.28,0.79,0.526,77.67,0.78
0.4757,79.17,0.79,0.5282,77.4,0.77
0.4758,79.31,0.79,0.5255,77.57,0.78
0.4762,79.2,0.79,0.5262,77.76,0.78
0.4739,79.34,0.79,0.527,77.62,0.78
0.4738,79.29,0.79,0.5276,77.51,0.78
0.4732,79.32,0.79,0.5261,77.43,0.77
