train_loss,train_accuracy,train_auc,val_loss,val_accuracy,val_auc
0.6778,68.21,0.68,0.6587,75.99,0.76
0.6438,76.43,0.76,0.623,75.9,0.76
0.6106,76.66,0.77,0.5944,76.07,0.76
0.5855,77.12,0.77,0.577,76.33,0.76
0.5694,77.2,0.77,0.5653,76.39,0.76
0.5583,77.12,0.77,0.5569,76.18,0.76
0.5501,76.96,0.77,0.5513,76.22,0.76
0.5444,77.17,0.77,0.5474,76.14,0.76
0.5393,76.88,0.77,0.5439,76.17,0.76
0.5362,77.25,0.77,0.5411,76.28,0.76
0.5333,77.25,0.77,0.5391,76.11,0.76
0.5304,77.32,0.77,0.5372,76.4,0.76
0.5281,77.38,0.77,0.5358,76.44,0.76
0.5252,77.46,0.77,0.535,76.35,0.76
0.5251,77.55,0.78,0.5337,76.6,0.77
0.5234,77.44,0.77,0.5326,76.72,0.77
0.5216,77.39,0.77,0.5319,76.78,0.77
0.5223,77.69,0.78,0.5311,76.77,0.77
0.5198,77.54,0.78,0.5308,76.74,0.77
0.5198,77.66,0.78,0.5298,76.85,0.77
0.5179,77.82,0.78,0.5293,76.89,0.77
0.5167,77.77,0.78,0.5293,76.81,0.77
0.5169,77.73,0.78,0.5285,76.98,0.77
0.515,77.85,0.78,0.5282,77.12,0.77
0.5148,77.74,0.78,0.5275,77.08,0.77
0.5156,77.77,0.78,0.5268,77.17,0.77
0.5142,77.71,0.78,0.5266,77.1,0.77
0.5142,77.79,0.78,0.5263,77.23,0.77
0.5132,77.7,0.78,0.526,77.13,0.77
0.5134,77.67,0.78,0.5257,77.12,0.77
0.5114,77.86,0.78,0.5249,77.23,0.77
0.5121,77.75,0.78,0.5245,77.25,0.77
0.5094,77.78,0.78,0.5242,77.33,0.77
0.5091,77.94,0.78,0.5242,77.2,0.77
0.5085,77.94,0.78,0.5243,77.17,0.77
0.5085,77.92,0.78,0.5234,77.31,0.77
0.5076,77.94,0.78,0.5231,77.28,0.77
0.5073,77.97,0.78,0.5229,77.21,0.77
0.5056,78.01,0.78,0.5226,77.38,0.77
0.5054,78.23,0.78,0.5231,77.29,0.77
0.5043,78.0,0.78,0.5221,77.27,0.77
0.5048,77.92,0.78,0.5219,77.36,0.77
0.505,78.09,0.78,0.5231,77.21,0.77
0.504,78.09,0.78,0.5216,77.42,0.77
0.5037,78.09,0.78,0.5214,77.42,0.77
0.5025,78.21,0.78,0.5211,77.38,0.77
0.5017,78.15,0.78,0.5214,77.38,0.77
0.5017,78.23,0.78,0.5207,77.4,0.77
0.5018,78.19,0.78,0.5202,77.54,0.78
0.5016,78.17,0.78,0.5201,77.54,0.78
0.5008,78.24,0.78,0.5201,77.5,0.77
0.5007,78.23,0.78,0.5199,77.44,0.77
0.5001,78.24,0.78,0.5197,77.5,0.77
0.5008,78.23,0.78,0.5196,77.51,0.78
0.4995,78.39,0.78,0.5199,77.51,0.78
0.4984,78.29,0.78,0.5198,77.5,0.77
0.4998,78.38,0.78,0.5195,77.52,0.78
0.4981,78.51,0.79,0.5195,77.52,0.78
0.4958,78.54,0.79,0.5195,77.47,0.77
0.4969,78.43,0.78,0.5194,77.47,0.77
0.4958,78.36,0.78,0.5202,77.44,0.77
0.4961,78.39,0.78,0.52,77.46,0.77
0.4944,78.39,0.78,0.5197,77.42,0.77
0.4955,78.54,0.79,0.5199,77.43,0.77
0.4936,78.51,0.79,0.5204,77.47,0.77
0.494,78.56,0.79,0.5201,77.43,0.77
0.495,78.48,0.78,0.5203,77.5,0.77
0.4938,78.54,0.79,0.5198,77.44,0.77
0.4928,78.56,0.79,0.5202,77.58,0.78
0.4918,78.48,0.78,0.5214,77.39,0.77
0.4931,78.65,0.79,0.5198,77.74,0.78
0.492,78.55,0.79,0.52,77.52,0.78
0.4919,78.59,0.79,0.5202,77.59,0.78
0.4912,78.59,0.79,0.5204,77.57,0.78
0.493,78.51,0.79,0.5199,77.59,0.78
0.49,78.71,0.79,0.5206,77.5,0.77
0.4916,78.59,0.79,0.521,77.61,0.78
0.4922,78.77,0.79,0.5207,77.58,0.78
0.4905,78.67,0.79,0.5201,77.59,0.78
0.4893,78.79,0.79,0.5206,77.62,0.78
0.4882,78.7,0.79,0.5207,77.55,0.78
0.4874,78.86,0.79,0.5213,77.59,0.78
0.4874,78.88,0.79,0.5227,77.48,0.77
0.4884,78.96,0.79,0.5253,77.43,0.77
0.4868,78.93,0.79,0.5213,77.67,0.78
0.4874,78.81,0.79,0.5211,77.69,0.78
0.4857,78.9,0.79,0.5217,77.71,0.78
0.4876,78.81,0.79,0.5214,77.8,0.78
0.4856,78.85,0.79,0.5216,77.73,0.78
0.4865,79.08,0.79,0.5244,77.43,0.77
0.4856,78.93,0.79,0.522,77.84,0.78
0.4845,78.98,0.79,0.5222,77.73,0.78
0.4833,78.96,0.79,0.5229,77.81,0.78
0.4846,79.06,0.79,0.5231,77.78,0.78
0.4845,79.01,0.79,0.5222,77.9,0.78
0.4849,78.9,0.79,0.5226,77.82,0.78
0.4818,79.13,0.79,0.5228,77.89,0.78
0.4824,79.05,0.79,0.5247,77.86,0.78
0.4824,79.2,0.79,0.5231,77.81,0.78
0.482,79.08,0.79,0.5248,77.57,0.78
