train_loss,train_accuracy,train_auc,val_loss,val_accuracy,val_auc
0.6822,66.35,0.66,0.6698,76.4,0.76
0.6591,76.55,0.77,0.643,76.18,0.76
0.6318,76.69,0.77,0.6151,76.26,0.76
0.6057,77.2,0.77,0.5927,76.36,0.76
0.5852,77.36,0.77,0.5771,76.48,0.76
0.5708,77.19,0.77,0.5663,76.66,0.77
0.56,77.28,0.77,0.5587,76.52,0.77
0.5531,77.27,0.77,0.5535,76.37,0.76
0.5471,76.96,0.77,0.5493,76.33,0.76
0.5426,77.06,0.77,0.546,76.39,0.76
0.5384,77.24,0.77,0.544,76.05,0.76
0.5369,77.01,0.77,0.541,76.22,0.76
0.5319,77.19,0.77,0.5392,76.33,0.76
0.531,77.2,0.77,0.5375,76.51,0.77
0.5278,77.4,0.77,0.5364,76.54,0.77
0.5269,77.33,0.77,0.5354,76.64,0.77
0.5245,77.7,0.78,0.5346,76.45,0.76
0.524,77.58,0.78,0.5338,76.83,0.77
0.5219,77.71,0.78,0.5325,76.66,0.77
0.5208,77.75,0.78,0.532,76.62,0.77
0.5202,77.66,0.78,0.5312,76.91,0.77
0.5202,77.75,0.78,0.5304,76.9,0.77
0.5194,77.85,0.78,0.5299,76.96,0.77
0.5178,77.73,0.78,0.5294,76.94,0.77
0.5181,77.77,0.78,0.529,77.06,0.77
0.5162,77.66,0.78,0.5288,76.96,0.77
0.5153,77.71,0.78,0.5284,77.1,0.77
0.5146,77.82,0.78,0.5279,77.1,0.77
0.5149,77.75,0.78,0.5271,77.1,0.77
0.5135,77.74,0.78,0.5268,77.06,0.77
0.5127,77.88,0.78,0.5269,77.06,0.77
0.5116,77.88,0.78,0.5264,77.15,0.77
0.5117,77.79,0.78,0.5263,77.05,0.77
0.5135,77.79,0.78,0.5254,77.25,0.77
0.5108,77.77,0.78,0.5252,77.08,0.77
0.5113,78.01,0.78,0.5257,77.06,0.77
0.509,77.9,0.78,0.5245,77.17,0.77
0.5091,77.85,0.78,0.5251,77.09,0.77
0.5085,77.96,0.78,0.524,77.13,0.77
0.5067,78.01,0.78,0.5236,77.27,0.77
0.508,77.98,0.78,0.5235,77.38,0.77
0.507,77.94,0.78,0.5239,77.23,0.77
0.5065,77.89,0.78,0.5232,77.25,0.77
0.5058,78.02,0.78,0.5226,77.35,0.77
0.5052,78.08,0.78,0.5227,77.36,0.77
0.5046,78.13,0.78,0.5221,77.43,0.77
0.5052,77.98,0.78,0.5221,77.36,0.77
0.5046,78.24,0.78,0.5222,77.67,0.78
0.5027,78.09,0.78,0.5219,77.44,0.77
0.5026,78.11,0.78,0.5222,77.62,0.78
0.5028,78.17,0.78,0.5213,77.5,0.77
0.5025,78.19,0.78,0.5218,77.29,0.77
0.5012,78.25,0.78,0.5211,77.42,0.77
0.5018,78.2,0.78,0.5212,77.36,0.77
0.5007,78.19,0.78,0.5214,77.31,0.77
0.4987,78.16,0.78,0.5209,77.4,0.77
0.4994,78.33,0.78,0.521,77.32,0.77
0.4985,78.27,0.78,0.5206,77.4,0.77
0.4984,78.48,0.78,0.5212,77.36,0.77
0.4994,78.28,0.78,0.5204,77.42,0.77
0.4968,78.42,0.78,0.5216,77.36,0.77
0.4971,78.35,0.78,0.5214,77.36,0.77
0.4991,78.54,0.79,0.5204,77.36,0.77
0.4974,78.44,0.78,0.5203,77.47,0.77
0.4955,78.38,0.78,0.5201,77.7,0.78
0.4969,78.5,0.78,0.5202,77.42,0.77
0.4965,78.42,0.78,0.521,77.38,0.77
0.4946,78.51,0.79,0.5202,77.61,0.78
0.4955,78.55,0.79,0.5202,77.46,0.77
0.4943,78.46,0.78,0.5204,77.46,0.77
0.4942,78.48,0.78,0.5201,77.63,0.78
0.4935,78.5,0.78,0.5201,77.57,0.78
0.4919,78.71,0.79,0.5207,77.55,0.78
0.4921,78.63,0.79,0.5209,77.81,0.78
0.4917,78.47,0.78,0.5203,77.59,0.78
0.4919,78.58,0.79,0.521,77.66,0.78
0.4903,78.58,0.79,0.5202,77.66,0.78
0.4919,78.69,0.79,0.5212,77.51,0.78
0.49,78.62,0.79,0.5227,77.47,0.77
0.4915,78.5,0.78,0.521,77.65,0.78
0.4911,78.7,0.79,0.5208,77.67,0.78
0.4896,78.58,0.79,0.5208,77.65,0.78
0.4884,78.65,0.79,0.5216,77.61,0.78
0.4907,78.52,0.79,0.5216,77.67,0.78
0.4878,78.62,0.79,0.5209,77.67,0.78
0.4898,78.65,0.79,0.5208,77.73,0.78
0.4872,78.77,0.79,0.5215,77.71,0.78
0.488,78.67,0.79,0.5212,77.73,0.78
0.4867,78.88,0.79,0.5214,77.77,0.78
0.4857,78.82,0.79,0.5211,77.78,0.78
0.4866,78.71,0.79,0.5217,77.8,0.78
0.4877,78.81,0.79,0.5222,77.62,0.78
0.4861,78.78,0.79,0.5216,77.78,0.78
0.4851,78.88,0.79,0.5229,77.63,0.78
0.483,78.92,0.79,0.5238,77.65,0.78
0.4836,79.01,0.79,0.5229,77.71,0.78
0.4843,78.77,0.79,0.5228,77.78,0.78
0.4835,79.01,0.79,0.5237,77.59,0.78
0.484,78.88,0.79,0.5222,77.81,0.78
0.482,78.98,0.79,0.5225,77.8,0.78
