train_loss,train_accuracy,train_auc,val_loss,val_accuracy,val_auc
0.6838,69.77,0.7,0.668,76.2,0.76
0.6568,76.7,0.77,0.6373,76.06,0.76
0.6237,76.74,0.77,0.6035,76.3,0.76
0.5901,77.11,0.77,0.5744,76.39,0.76
0.5642,77.19,0.77,0.5568,76.4,0.76
0.5493,76.86,0.77,0.5476,76.25,0.76
0.5396,77.01,0.77,0.542,76.39,0.76
0.5349,77.08,0.77,0.5384,76.41,0.76
0.5312,77.32,0.77,0.5361,76.39,0.76
0.5277,77.38,0.77,0.5339,76.45,0.76
0.5252,77.52,0.78,0.5324,76.51,0.77
0.5259,77.63,0.78,0.531,76.59,0.77
0.5223,77.54,0.78,0.5301,76.83,0.77
0.5217,77.54,0.78,0.5293,76.68,0.77
0.5204,77.71,0.78,0.5286,76.91,0.77
0.5195,77.69,0.78,0.528,76.89,0.77
0.5199,77.66,0.78,0.5278,76.78,0.77
0.5197,77.59,0.78,0.5271,77.08,0.77
0.5166,77.79,0.78,0.5266,77.12,0.77
0.5155,77.79,0.78,0.5264,77.12,0.77
0.5153,77.71,0.78,0.5265,77.01,0.77
0.515,77.65,0.78,0.5257,77.12,0.77
0.5152,77.69,0.78,0.5252,77.17,0.77
0.5143,77.73,0.78,0.5248,77.23,0.77
0.5137,77.61,0.78,0.5245,77.27,0.77
0.5131,77.83,0.78,0.5242,77.29,0.77
0.5121,77.77,0.78,0.5248,77.16,0.77
0.512,77.89,0.78,0.524,77.2,0.77
0.5125,77.82,0.78,0.5233,77.29,0.77
0.5125,77.77,0.78,0.523,77.31,0.77
0.5112,77.89,0.78,0.5229,77.29,0.77
0.5101,77.92,0.78,0.5226,77.42,0.77
0.5096,77.85,0.78,0.5225,77.28,0.77
0.5099,77.89,0.78,0.5222,77.29,0.77
0.5082,77.9,0.78,0.522,77.32,0.77
0.5077,77.94,0.78,0.5223,77.23,0.77
0.5074,78.06,0.78,0.5214,77.39,0.77
0.5082,77.88,0.78,0.5213,77.38,0.77
0.5066,77.92,0.78,0.5212,77.36,0.77
0.5073,77.94,0.78,0.5214,77.28,0.77
0.508,77.97,0.78,0.5208,77.47,0.77
0.5062,78.13,0.78,0.5205,77.54,0.78
0.5061,78.01,0.78,0.5203,77.59,0.78
0.5053,78.01,0.78,0.5203,77.57,0.78
0.5038,78.08,0.78,0.5203,77.4,0.77
0.5046,78.13,0.78,0.5197,77.54,0.78
0.5035,78.13,0.78,0.5197,77.54,0.78
0.5061,78.02,0.78,0.5195,77.43,0.77
0.5041,78.16,0.78,0.5193,77.57,0.78
0.5027,78.15,0.78,0.5193,77.54,0.78
0.5026,78.29,0.78,0.5209,77.33,0.77
0.5036,78.19,0.78,0.5191,77.46,0.77
0.5011,78.2,0.78,0.5193,77.35,0.77
0.5013,78.35,0.78,0.5193,77.42,0.77
0.5002,78.32,0.78,0.5191,77.4,0.77
0.5,78.35,0.78,0.5191,77.4,0.77
0.5,78.27,0.78,0.5191,77.38,0.77
0.4985,78.47,0.78,0.519,77.33,0.77
0.4999,78.36,0.78,0.5188,77.47,0.77
0.4987,78.31,0.78,0.5192,77.61,0.78
0.4982,78.29,0.78,0.5187,77.5,0.77
0.4978,78.59,0.79,0.5193,77.35,0.77
0.498,78.44,0.78,0.5188,77.44,0.77
0.4987,78.42,0.78,0.5187,77.63,0.78
0.4968,78.27,0.78,0.5193,77.46,0.77
0.4965,78.32,0.78,0.5203,77.38,0.77
0.4962,78.62,0.79,0.5189,77.54,0.78
0.4963,78.59,0.79,0.5189,77.47,0.77
0.4954,78.61,0.79,0.519,77.48,0.77
0.4959,78.52,0.79,0.519,77.5,0.77
0.4936,78.51,0.79,0.5197,77.54,0.78
0.494,78.51,0.79,0.5197,77.5,0.77
0.495,78.67,0.79,0.5193,77.52,0.78
0.4936,78.7,0.79,0.5192,77.52,0.78
0.4944,78.65,0.79,0.5197,77.74,0.78
0.4953,78.67,0.79,0.519,77.58,0.78
0.4926,78.7,0.79,0.5192,77.57,0.78
0.4918,78.78,0.79,0.5199,77.8,0.78
0.4931,78.54,0.79,0.5191,77.65,0.78
0.4898,78.83,0.79,0.5197,77.59,0.78
0.4938,78.93,0.79,0.5194,77.7,0.78
0.4911,78.73,0.79,0.5198,77.65,0.78
0.4917,78.78,0.79,0.5205,77.55,0.78
0.4926,78.65,0.79,0.5196,77.69,0.78
0.491,78.78,0.79,0.5202,77.57,0.78
0.491,78.75,0.79,0.52,77.61,0.78
0.491,78.77,0.79,0.521,77.55,0.78
0.4896,78.89,0.79,0.5204,77.61,0.78
0.4904,78.75,0.79,0.5202,77.65,0.78
0.4894,78.85,0.79,0.5205,77.69,0.78
0.4872,78.85,0.79,0.5201,77.74,0.78
0.4864,78.88,0.79,0.5209,77.71,0.78
0.4879,78.89,0.79,0.5203,77.71,0.78
0.4861,79.04,0.79,0.5208,77.74,0.78
0.488,78.9,0.79,0.5213,77.69,0.78
0.4869,78.88,0.79,0.5212,77.69,0.78
0.4852,78.97,0.79,0.5213,77.76,0.78
0.4879,79.01,0.79,0.5215,77.76,0.78
0.4853,79.08,0.79,0.522,77.73,0.78
0.4848,79.0,0.79,0.5212,77.81,0.78
