train_loss,train_accuracy,train_auc,val_loss,val_accuracy,val_auc
0.6835,66.29,0.66,0.6681,74.37,0.74
0.6559,75.24,0.75,0.6373,75.57,0.76
0.6244,76.08,0.76,0.6072,75.93,0.76
0.596,76.59,0.77,0.5844,76.13,0.76
0.5743,77.09,0.77,0.5681,76.25,0.76
0.5595,76.97,0.77,0.5572,76.2,0.76
0.5493,76.93,0.77,0.5503,76.17,0.76
0.5424,76.96,0.77,0.5455,76.09,0.76
0.539,76.93,0.77,0.542,76.16,0.76
0.5338,77.05,0.77,0.5393,76.2,0.76
0.5298,77.11,0.77,0.5373,76.47,0.76
0.5275,77.25,0.77,0.5357,76.41,0.76
0.5255,77.13,0.77,0.5343,76.6,0.77
0.5255,77.38,0.77,0.5333,76.66,0.77
0.5226,77.48,0.77,0.5326,76.7,0.77
0.5218,77.58,0.78,0.5319,76.72,0.77
0.5209,77.74,0.78,0.5314,76.71,0.77
0.5205,77.52,0.78,0.5307,76.72,0.77
0.5211,77.52,0.78,0.5302,76.79,0.77
0.5189,77.67,0.78,0.5298,76.85,0.77
0.5176,77.54,0.78,0.5295,76.97,0.77
0.5183,77.69,0.78,0.5292,77.05,0.77
0.5181,77.69,0.78,0.5288,76.98,0.77
0.5165,77.77,0.78,0.5281,77.12,0.77
0.5157,77.67,0.78,0.5278,77.15,0.77
0.5153,77.83,0.78,0.5275,77.21,0.77
0.514,77.79,0.78,0.528,77.08,0.77
0.5145,77.81,0.78,0.5267,77.28,0.77
0.5142,77.85,0.78,0.5264,77.31,0.77
0.5139,77.83,0.78,0.5262,77.33,0.77
0.513,77.73,0.78,0.5261,77.31,0.77
0.5117,77.86,0.78,0.5258,77.35,0.77
0.5126,77.94,0.78,0.5253,77.36,0.77
0.5119,77.93,0.78,0.5251,77.33,0.77
0.5105,77.81,0.78,0.5249,77.39,0.77
0.5102,77.9,0.78,0.5245,77.32,0.77
0.5097,77.92,0.78,0.5243,77.39,0.77
0.5092,77.96,0.78,0.5243,77.35,0.77
0.5089,77.9,0.78,0.5238,77.38,0.77
0.5091,77.79,0.78,0.5237,77.29,0.77
0.5084,77.97,0.78,0.5235,77.35,0.77
0.5079,78.01,0.78,0.5235,77.28,0.77
0.507,78.06,0.78,0.5232,77.27,0.77
0.5069,78.12,0.78,0.5237,77.29,0.77
0.5062,77.97,0.78,0.5228,77.31,0.77
0.5055,78.02,0.78,0.5227,77.35,0.77
0.5058,78.28,0.78,0.5224,77.38,0.77
0.5039,78.05,0.78,0.5223,77.48,0.77
0.5043,78.01,0.78,0.5225,77.46,0.77
0.504,78.16,0.78,0.5223,77.5,0.77
0.5035,78.29,0.78,0.5226,77.48,0.77
0.5026,78.27,0.78,0.5224,77.44,0.77
0.5034,78.2,0.78,0.5224,77.47,0.77
0.5022,78.31,0.78,0.522,77.57,0.78
0.5019,78.35,0.78,0.5218,77.5,0.77
0.5011,78.32,0.78,0.5219,77.46,0.77
0.5005,78.24,0.78,0.5221,77.44,0.77
0.4999,78.31,0.78,0.5217,77.43,0.77
0.4994,78.39,0.78,0.5225,77.38,0.77
0.5008,78.51,0.79,0.5218,77.44,0.77
0.4993,78.42,0.78,0.5217,77.55,0.78
0.4999,78.42,0.78,0.5218,77.44,0.77
0.4987,78.47,0.78,0.522,77.43,0.77
0.4986,78.42,0.78,0.5216,77.46,0.77
0.4963,78.61,0.79,0.5219,77.4,0.77
0.4973,78.52,0.79,0.5219,77.62,0.78
0.4966,78.58,0.79,0.522,77.5,0.77
0.4971,78.63,0.79,0.5223,77.38,0.77
0.4958,78.47,0.78,0.5225,77.36,0.77
0.4945,78.69,0.79,0.5221,77.48,0.77
0.4954,78.65,0.79,0.5224,77.46,0.77
0.4943,78.85,0.79,0.5221,77.54,0.78
0.4963,78.55,0.79,0.5231,77.69,0.78
0.4936,78.69,0.79,0.522,77.52,0.78
0.4937,78.61,0.79,0.5232,77.46,0.77
0.4927,78.73,0.79,0.5231,77.59,0.78
0.4945,78.73,0.79,0.523,77.42,0.77
0.4926,78.63,0.79,0.5225,77.5,0.77
0.4943,78.74,0.79,0.5227,77.48,0.77
0.4923,78.65,0.79,0.5227,77.4,0.77
0.4908,78.9,0.79,0.5226,77.5,0.77
0.491,78.85,0.79,0.5227,77.54,0.78
0.4905,78.96,0.79,0.5228,77.66,0.78
0.4919,78.92,0.79,0.5228,77.52,0.78
0.4892,79.0,0.79,0.5236,77.54,0.78
0.4892,78.82,0.79,0.5234,77.46,0.77
0.4912,78.9,0.79,0.5237,77.46,0.77
0.4883,79.06,0.79,0.5239,77.47,0.77
0.4891,79.04,0.79,0.5233,77.55,0.78
0.4882,79.11,0.79,0.5237,77.48,0.77
0.4887,79.06,0.79,0.5236,77.55,0.78
0.487,78.78,0.79,0.5252,77.57,0.78
0.4861,79.19,0.79,0.524,77.54,0.78
0.488,79.13,0.79,0.5252,77.66,0.78
0.4865,79.09,0.79,0.5255,77.54,0.78
0.4857,78.98,0.79,0.5248,77.61,0.78
0.4849,79.17,0.79,0.5248,77.57,0.78
0.4855,79.04,0.79,0.5249,77.55,0.78
0.4882,79.13,0.79,0.5259,77.63,0.78
0.4849,79.31,0.79,0.528,77.55,0.78
