train_loss,train_accuracy,train_auc,val_loss,val_accuracy,val_auc
0.6865,60.24,0.6,0.6761,75.25,0.75
0.6683,76.44,0.76,0.6533,76.49,0.76
0.6429,77.09,0.77,0.6246,76.45,0.76
0.6137,77.24,0.77,0.5959,76.59,0.77
0.587,77.31,0.77,0.5748,76.58,0.77
0.5676,77.24,0.77,0.5616,76.55,0.77
0.557,76.97,0.77,0.5534,76.45,0.76
0.547,76.97,0.77,0.5476,76.48,0.76
0.5408,76.93,0.77,0.5435,76.41,0.76
0.5378,77.04,0.77,0.54,76.4,0.76
0.5331,77.27,0.77,0.5375,76.4,0.76
0.5303,77.27,0.77,0.5351,76.59,0.77
0.5272,77.42,0.77,0.5333,76.52,0.77
0.525,77.54,0.78,0.5319,76.6,0.77
0.5232,77.54,0.78,0.5308,76.77,0.77
0.5215,77.62,0.78,0.53,76.79,0.77
0.5212,77.55,0.78,0.529,76.83,0.77
0.5194,77.65,0.78,0.5284,76.85,0.77
0.518,77.67,0.78,0.5279,76.87,0.77
0.5184,77.67,0.78,0.5272,76.96,0.77
0.5181,77.78,0.78,0.5268,77.02,0.77
0.5166,77.75,0.78,0.5264,77.04,0.77
0.5162,77.71,0.78,0.5259,77.05,0.77
0.5138,77.67,0.78,0.5262,77.01,0.77
0.5147,77.74,0.78,0.5254,77.08,0.77
0.513,77.79,0.78,0.5248,77.01,0.77
0.5131,77.94,0.78,0.5245,77.08,0.77
0.5127,77.71,0.78,0.5246,77.08,0.77
0.5125,77.81,0.78,0.5237,77.2,0.77
0.5116,77.93,0.78,0.5234,77.16,0.77
0.5106,77.78,0.78,0.5234,77.21,0.77
0.5091,77.82,0.78,0.5228,77.24,0.77
0.5111,77.81,0.78,0.5226,77.21,0.77
0.5101,77.85,0.78,0.5222,77.27,0.77
0.5115,77.86,0.78,0.5228,77.23,0.77
0.5083,77.86,0.78,0.5219,77.24,0.77
0.5082,77.93,0.78,0.5217,77.24,0.77
0.5064,77.83,0.78,0.5214,77.32,0.77
0.5079,78.06,0.78,0.5214,77.32,0.77
0.5073,78.01,0.78,0.5208,77.39,0.77
0.506,78.01,0.78,0.5211,77.35,0.77
0.5051,78.05,0.78,0.5208,77.32,0.77
0.5045,78.13,0.78,0.5204,77.35,0.77
0.5048,78.06,0.78,0.5203,77.52,0.78
0.5029,78.11,0.78,0.5202,77.5,0.77
0.5032,78.04,0.78,0.5205,77.38,0.77
0.503,78.02,0.78,0.5199,77.43,0.77
0.5034,78.04,0.78,0.5201,77.42,0.77
0.5024,78.11,0.78,0.5197,77.46,0.77
0.5019,78.08,0.78,0.5195,77.55,0.78
0.5008,78.21,0.78,0.5199,77.55,0.78
0.502,78.21,0.78,0.5193,77.69,0.78
0.5009,78.19,0.78,0.5195,77.55,0.78
0.5012,78.31,0.78,0.5193,77.69,0.78
0.5007,78.35,0.78,0.5192,77.55,0.78
0.4986,78.32,0.78,0.5193,77.55,0.78
0.5001,78.33,0.78,0.5192,77.67,0.78
0.4971,78.28,0.78,0.5194,77.58,0.78
0.4984,78.36,0.78,0.5193,77.57,0.78
0.4975,78.32,0.78,0.5201,77.43,0.77
0.4972,78.46,0.78,0.5191,77.57,0.78
0.4963,78.43,0.78,0.5192,77.58,0.78
0.4967,78.33,0.78,0.5193,77.5,0.77
0.496,78.43,0.78,0.5192,77.48,0.77
0.4966,78.4,0.78,0.5193,77.48,0.77
0.4954,78.46,0.78,0.5192,77.7,0.78
0.4963,78.4,0.78,0.5203,77.43,0.77
0.4942,78.66,0.79,0.5192,77.48,0.77
0.4935,78.52,0.79,0.5202,77.74,0.78
0.494,78.63,0.79,0.5196,77.46,0.77
0.4939,78.61,0.79,0.5192,77.73,0.78
0.4928,78.5,0.78,0.5206,77.58,0.78
0.4937,78.43,0.78,0.5198,77.5,0.77
0.4925,78.67,0.79,0.5206,77.46,0.77
0.4926,78.56,0.79,0.5195,77.51,0.78
0.4909,78.63,0.79,0.5198,77.7,0.78
0.4903,78.75,0.79,0.5198,77.69,0.78
0.4907,78.58,0.79,0.5197,77.63,0.78
0.4912,78.75,0.79,0.52,77.59,0.78
0.4905,78.55,0.79,0.5196,77.7,0.78
0.4897,78.74,0.79,0.5198,77.62,0.78
0.4895,78.65,0.79,0.5205,77.7,0.78
0.4892,78.71,0.79,0.52,77.67,0.78
0.489,78.73,0.79,0.52,77.66,0.78
0.4901,78.82,0.79,0.5207,77.71,0.78
0.4879,78.79,0.79,0.521,77.7,0.78
0.49,78.96,0.79,0.5204,77.77,0.78
0.4878,78.82,0.79,0.5208,77.69,0.78
0.4846,78.93,0.79,0.521,77.74,0.78
0.4861,78.83,0.79,0.5204,77.81,0.78
0.4854,79.02,0.79,0.5213,77.74,0.78
0.4861,78.83,0.79,0.521,77.82,0.78
0.485,78.89,0.79,0.5211,77.74,0.78
0.4851,79.02,0.79,0.5213,77.77,0.78
0.4845,79.12,0.79,0.5214,77.81,0.78
0.4847,79.05,0.79,0.5226,77.61,0.78
0.4838,79.0,0.79,0.5223,77.78,0.78
0.4837,78.98,0.79,0.5216,77.73,0.78
0.483,79.05,0.79,0.5218,77.78,0.78
0.4815,79.29,0.79,0.5234,77.69,0.78
