train_loss,train_accuracy,train_auc,val_loss,val_accuracy,val_auc
0.689,51.18,0.51,0.6797,61.52,0.62
0.6737,69.09,0.69,0.6619,75.13,0.75
0.6539,75.98,0.76,0.6398,76.24,0.76
0.6301,76.27,0.76,0.6143,76.4,0.76
0.6041,76.55,0.77,0.59,76.3,0.76
0.5828,76.58,0.77,0.5716,75.61,0.76
0.5667,76.4,0.76,0.5604,75.6,0.76
0.5566,76.08,0.76,0.5534,75.82,0.76
0.5495,76.24,0.76,0.5489,76.03,0.76
0.5449,76.29,0.76,0.5454,76.18,0.76
0.541,76.5,0.76,0.5429,75.95,0.76
0.5375,76.52,0.77,0.5404,76.13,0.76
0.5351,76.71,0.77,0.5384,76.51,0.77
0.5326,76.86,0.77,0.5367,76.35,0.76
0.5313,77.01,0.77,0.535,76.63,0.77
0.5289,76.96,0.77,0.5336,76.79,0.77
0.5268,77.13,0.77,0.5326,76.78,0.77
0.525,77.16,0.77,0.5317,76.79,0.77
0.5257,77.23,0.77,0.5307,76.83,0.77
0.524,77.32,0.77,0.5299,77.01,0.77
0.5223,77.44,0.77,0.5292,76.98,0.77
0.5213,77.51,0.78,0.5291,76.85,0.77
0.5214,77.51,0.78,0.5279,77.09,0.77
0.5192,77.61,0.78,0.5274,77.02,0.77
0.5181,77.55,0.78,0.527,77.16,0.77
0.518,77.73,0.78,0.5264,77.23,0.77
0.5163,77.82,0.78,0.5259,77.32,0.77
0.5158,77.79,0.78,0.5255,77.32,0.77
0.5144,77.7,0.78,0.5252,77.46,0.77
0.5141,77.81,0.78,0.5246,77.61,0.78
0.5153,77.94,0.78,0.5243,77.48,0.77
0.5133,78.01,0.78,0.5241,77.59,0.78
0.5126,78.04,0.78,0.5248,77.38,0.77
0.5127,77.89,0.78,0.5236,77.62,0.78
0.5119,77.96,0.78,0.524,77.43,0.77
0.5115,78.06,0.78,0.5237,77.43,0.77
0.5123,78.13,0.78,0.5227,77.54,0.78
0.5104,78.04,0.78,0.523,77.58,0.78
0.5093,78.05,0.78,0.5226,77.67,0.78
0.5094,78.09,0.78,0.5223,77.66,0.78
0.5082,78.09,0.78,0.5231,77.59,0.78
0.5079,78.08,0.78,0.5223,77.47,0.77
0.5089,78.2,0.78,0.522,77.62,0.78
0.5092,78.25,0.78,0.5216,77.59,0.78
0.5078,78.2,0.78,0.522,77.59,0.78
0.5077,78.24,0.78,0.5214,77.57,0.78
0.5074,78.29,0.78,0.5213,77.39,0.77
0.5067,78.28,0.78,0.5217,77.61,0.78
0.506,78.27,0.78,0.5215,77.61,0.78
0.5064,78.35,0.78,0.5218,77.55,0.78
0.5062,78.31,0.78,0.5214,77.62,0.78
0.5052,78.32,0.78,0.5213,77.35,0.77
0.504,78.2,0.78,0.5214,77.54,0.78
0.5041,78.17,0.78,0.5212,77.42,0.77
0.5043,78.35,0.78,0.5211,77.33,0.77
0.5049,78.33,0.78,0.521,77.36,0.77
0.5049,78.36,0.78,0.521,77.51,0.78
0.5027,78.38,0.78,0.5212,77.5,0.77
0.5033,78.25,0.78,0.5223,77.47,0.77
0.5026,78.35,0.78,0.521,77.51,0.78
0.5024,78.29,0.78,0.5218,77.47,0.77
0.503,78.23,0.78,0.5222,77.43,0.77
0.5007,78.28,0.78,0.5212,77.4,0.77
0.5031,78.36,0.78,0.5213,77.38,0.77
0.5016,78.31,0.78,0.5212,77.42,0.77
0.5009,78.38,0.78,0.5218,77.47,0.77
0.5008,78.43,0.78,0.5213,77.48,0.77
0.4997,78.47,0.78,0.5215,77.44,0.77
0.5014,78.28,0.78,0.5222,77.39,0.77
0.5029,78.42,0.78,0.5218,77.48,0.77
0.5018,78.4,0.78,0.5213,77.42,0.77
0.4991,78.42,0.78,0.5214,77.4,0.77
0.5014,78.42,0.78,0.5215,77.39,0.77
0.5006,78.5,0.78,0.5214,77.43,0.77
0.4993,78.52,0.79,0.5215,77.44,0.77
0.4986,78.51,0.79,0.5215,77.44,0.77
0.4986,78.36,0.78,0.5226,77.29,0.77
0.4982,78.46,0.78,0.5217,77.42,0.77
0.4986,78.58,0.79,0.522,77.38,0.77
0.4988,78.47,0.78,0.5215,77.46,0.77
0.4975,78.58,0.79,0.5218,77.51,0.78
0.4973,78.46,0.78,0.5215,77.54,0.78
0.4967,78.59,0.79,0.5217,77.47,0.77
0.4978,78.43,0.78,0.5227,77.42,0.77
0.4968,78.61,0.79,0.5231,77.42,0.77
0.4964,78.47,0.78,0.5221,77.61,0.78
0.4972,78.58,0.79,0.5218,77.66,0.78
0.4976,78.54,0.79,0.5218,77.58,0.78
0.496,78.7,0.79,0.5222,77.58,0.78
0.4963,78.66,0.79,0.5222,77.63,0.78
0.4985,78.67,0.79,0.5219,77.65,0.78
0.4958,78.73,0.79,0.522,77.54,0.78
0.4955,78.62,0.79,0.5227,77.67,0.78
0.496,78.69,0.79,0.5226,77.66,0.78
0.4962,78.75,0.79,0.5228,77.5,0.77
0.4959,78.61,0.79,0.523,77.5,0.77
0.4939,78.7,0.79,0.5222,77.67,0.78
0.4935,78.77,0.79,0.5222,77.59,0.78
0.4926,78.79,0.79,0.5234,77.54,0.78
0.4938,78.74,0.79,0.5226,77.7,0.78
