train_loss,train_accuracy,train_auc,val_loss,val_accuracy,val_auc
0.6933,49.13,0.49,0.6932,49.79,0.5
0.6932,49.39,0.49,0.6932,49.72,0.5
0.6932,50.02,0.5,0.6932,49.69,0.5
0.6932,49.52,0.5,0.6931,49.63,0.5
0.6932,50.1,0.5,0.6931,49.8,0.5
0.6932,49.4,0.49,0.6931,49.67,0.5
0.6933,48.9,0.49,0.6931,50.43,0.5
0.6932,49.57,0.5,0.6931,50.33,0.5
0.6932,49.48,0.49,0.6931,50.33,0.5
0.6932,49.39,0.49,0.6931,50.48,0.5
0.6931,50.25,0.5,0.6931,50.47,0.5
0.6932,49.61,0.5,0.6931,49.91,0.5
0.6932,49.99,0.5,0.6931,50.59,0.51
0.6931,50.66,0.51,0.6931,49.87,0.5
0.6932,50.06,0.5,0.6931,49.88,0.5
0.6932,49.75,0.5,0.6931,50.63,0.51
0.6932,49.72,0.5,0.6931,50.59,0.51
0.6932,49.87,0.5,0.6931,50.59,0.51
0.6932,50.89,0.51,0.6931,50.66,0.51
0.6931,50.29,0.5,0.6931,49.94,0.5
0.6931,50.09,0.5,0.6931,50.64,0.51
0.6931,50.1,0.5,0.6931,50.66,0.51
0.6932,49.97,0.5,0.6931,50.64,0.51
0.6932,49.34,0.49,0.6931,50.64,0.51
0.6932,49.21,0.49,0.6931,50.66,0.51
0.6931,50.43,0.5,0.6931,50.68,0.51
0.6931,50.06,0.5,0.6931,50.67,0.51
0.693,50.95,0.51,0.6931,50.6,0.51
0.6931,50.09,0.5,0.6931,50.63,0.51
0.693,50.01,0.5,0.6931,50.63,0.51
0.6931,50.63,0.51,0.6931,50.7,0.51
0.6932,49.8,0.5,0.6931,50.68,0.51
0.693,51.12,0.51,0.6931,50.64,0.51
0.6931,49.95,0.5,0.6931,50.71,0.51
0.6931,49.79,0.5,0.6931,50.64,0.51
0.6931,50.07,0.5,0.693,50.7,0.51
0.693,50.6,0.51,0.693,50.7,0.51
0.6932,49.87,0.5,0.693,50.77,0.51
0.6931,50.17,0.5,0.693,50.73,0.51
0.693,50.32,0.5,0.693,50.77,0.51
0.6931,50.18,0.5,0.693,50.66,0.51
0.6931,50.09,0.5,0.693,50.6,0.51
0.6931,50.64,0.51,0.693,50.75,0.51
0.6931,49.79,0.5,0.693,50.74,0.51
0.693,50.59,0.51,0.693,50.68,0.51
0.693,50.7,0.51,0.693,50.77,0.51
0.6931,49.71,0.5,0.693,50.73,0.51
0.693,50.64,0.51,0.693,50.78,0.51
0.6931,49.78,0.5,0.693,50.7,0.51
0.6931,49.64,0.5,0.693,50.67,0.51
0.693,50.82,0.51,0.693,50.64,0.51
0.6931,50.3,0.5,0.693,50.74,0.51
0.6931,50.16,0.5,0.693,50.71,0.51
0.693,50.9,0.51,0.693,50.71,0.51
0.693,49.94,0.5,0.693,50.7,0.51
0.693,50.8,0.51,0.693,50.7,0.51
0.6929,51.09,0.51,0.693,50.71,0.51
0.693,50.55,0.51,0.693,50.73,0.51
0.693,50.9,0.51,0.693,50.7,0.51
0.693,50.51,0.51,0.693,50.73,0.51
0.693,51.09,0.51,0.693,50.73,0.51
0.6931,50.03,0.5,0.693,50.7,0.51
0.693,50.2,0.5,0.693,50.68,0.51
0.6931,49.28,0.49,0.693,50.68,0.51
0.693,49.99,0.5,0.693,50.7,0.51
0.6931,49.57,0.5,0.693,50.71,0.51
0.693,50.18,0.5,0.693,50.67,0.51
0.6931,50.13,0.5,0.693,50.67,0.51
0.693,50.47,0.5,0.693,50.71,0.51
0.693,50.4,0.5,0.693,50.73,0.51
0.693,50.2,0.5,0.693,50.73,0.51
0.693,49.87,0.5,0.693,50.74,0.51
0.693,50.87,0.51,0.693,50.73,0.51
0.693,50.67,0.51,0.693,50.74,0.51
0.6929,51.26,0.51,0.693,50.74,0.51
0.6929,50.4,0.5,0.693,50.74,0.51
0.693,50.13,0.5,0.693,50.73,0.51
0.693,50.21,0.5,0.693,50.68,0.51
0.6929,50.68,0.51,0.693,50.73,0.51
0.6929,51.06,0.51,0.693,50.68,0.51
0.6929,50.74,0.51,0.693,50.74,0.51
0.693,49.67,0.5,0.6929,50.73,0.51
0.6929,49.98,0.5,0.693,50.73,0.51
0.6928,51.05,0.51,0.6929,50.73,0.51
0.6929,50.9,0.51,0.6929,50.74,0.51
0.6929,50.83,0.51,0.6929,50.71,0.51
0.693,48.72,0.49,0.6929,50.71,0.51
0.693,49.55,0.5,0.6929,50.71,0.51
0.6928,50.57,0.51,0.6929,50.71,0.51
0.6929,49.93,0.5,0.6929,50.68,0.51
0.6929,49.76,0.5,0.693,50.68,0.51
0.6929,50.17,0.5,0.6929,50.73,0.51
0.6929,50.71,0.51,0.6929,50.73,0.51
0.6929,50.33,0.5,0.6929,50.73,0.51
0.693,49.72,0.5,0.6929,50.73,0.51
0.6928,50.91,0.51,0.6929,50.73,0.51
0.693,49.48,0.49,0.6929,50.71,0.51
0.6928,50.49,0.5,0.6929,50.71,0.51
0.6929,50.64,0.51,0.6929,50.71,0.51
0.6928,50.13,0.5,0.6929,50.71,0.51
