item_name,train_loss_min,train_loss_avg,train_loss_max,train_acc_min,train_acc_avg,train_acc_max,train_auc_min,train_auc_avg,train_auc_max,val_loss_min,val_loss_avg,val_loss_max,val_acc_min,val_acc_avg,val_acc_max,val_auc_min,val_auc_avg,val_auc_max
H3K9ac-H3K27me3-H3K9me3-H3K27ac-H3K4me3,0.4717,0.4939,0.655,60.82,78.5305,79.77,0.5,0.7755,0.79,0.4919,0.5004,0.6199,60.82,78.2623,79.18,0.5,0.7743,0.79
H3K9ac-H3K27me3-H3K27ac-H3K4me3-H3K9me3,0.4704,0.4927,0.6529,60.82,78.5306,79.85,0.5,0.7752,0.79,0.4912,0.4995,0.6245,60.82,78.2612,79.11,0.5,0.7739,0.78
H3K9ac-H3K27me3-H3K27ac-H3K9me3-H3K4me3,0.4713,0.4932,0.6567,60.82,78.5348,79.88,0.5,0.7747,0.79,0.4911,0.4998,0.6311,60.82,78.261,79.08,0.5,0.7736,0.78
H3K9me3-H3K4me3-H3K9ac-H3K27ac-H3K27me3,0.4717,0.493,0.6624,60.82,78.6254,79.84,0.5,0.7775,0.79,0.4918,0.4999,0.6197,60.82,78.2798,79.15,0.5,0.7743,0.79
H3K9me3-H3K4me3-H3K9ac-H3K27me3-H3K27ac,0.4705,0.4956,0.6489,60.66,78.4439,79.88,0.5,0.7744,0.79,0.4925,0.5021,0.6134,60.82,78.0464,79.03,0.5,0.7715,0.78
H3K9me3-H3K4me3-H3K27ac-H3K9ac-H3K27me3,0.4684,0.4932,0.644,60.7,78.584,79.97,0.5,0.775,0.79,0.4911,0.5001,0.6055,60.82,78.3538,79.16,0.5,0.7742,0.79
H3K9me3-H3K4me3-H3K27ac-H3K27me3-H3K9ac,0.4723,0.4975,0.674,60.39,78.1231,79.78,0.5,0.7694,0.79,0.4916,0.503,0.6535,60.82,77.8937,79.12,0.5,0.7686,0.78
H3K9me3-H3K4me3-H3K27me3-H3K9ac-H3K27ac,0.4717,0.4967,0.6746,58.89,78.2956,79.78,0.5,0.7734,0.79,0.4925,0.5027,0.6346,60.82,78.0298,79.08,0.5,0.7713,0.78
H3K9me3-H3K4me3-H3K27me3-H3K27ac-H3K9ac,0.4714,0.4951,0.6584,60.12,78.4251,79.88,0.5,0.774,0.79,0.4918,0.5014,0.6225,60.82,78.0981,79.23,0.5,0.772,0.79
H3K9me3-H3K9ac-H3K4me3-H3K27ac-H3K27me3,0.4692,0.4948,0.6577,60.82,78.4379,79.81,0.5,0.7739,0.79,0.4919,0.5021,0.6239,60.82,78.0607,79.14,0.5,0.7713,0.79
H3K9me3-H3K9ac-H3K4me3-H3K27me3-H3K27ac,0.4698,0.4951,0.6672,58.59,78.3626,79.88,0.5,0.773,0.79,0.4924,0.5025,0.6325,60.82,78.002,79.11,0.5,0.771,0.78
H3K9me3-H3K9ac-H3K27ac-H3K4me3-H3K27me3,0.4685,0.4905,0.6542,60.82,78.6574,79.96,0.5,0.7766,0.79,0.4913,0.4984,0.6227,60.82,78.3663,79.23,0.5,0.7744,0.79
H3K9me3-H3K9ac-H3K27ac-H3K27me3-H3K4me3,0.4698,0.4954,0.6645,60.82,78.26,79.93,0.5,0.7709,0.79,0.4914,0.5018,0.6476,60.82,77.9097,79.08,0.5,0.7687,0.79
H3K9me3-H3K9ac-H3K27me3-H3K4me3-H3K27ac,0.4687,0.4912,0.6505,60.78,78.6874,80.05,0.5,0.7768,0.79,0.4918,0.4996,0.6144,60.82,78.2712,79.07,0.5,0.7742,0.78
H3K9me3-H3K9ac-H3K27me3-H3K27ac-H3K4me3,0.469,0.491,0.6478,60.67,78.659,79.89,0.5,0.7769,0.79,0.4924,0.4992,0.6059,60.82,78.313,79.11,0.5,0.7744,0.78
H3K9me3-H3K27ac-H3K4me3-H3K9ac-H3K27me3,0.472,0.4948,0.6711,60.82,78.3899,79.89,0.5,0.7733,0.79,0.491,0.5005,0.6521,60.82,78.1028,79.11,0.5,0.7717,0.79
H3K9me3-H3K27ac-H3K4me3-H3K27me3-H3K9ac,0.471,0.4946,0.6709,59.51,78.4321,79.94,0.5,0.7752,0.79,0.4909,0.5006,0.6354,60.82,78.1235,79.11,0.5,0.7717,0.79
H3K9me3-H3K27ac-H3K9ac-H3K4me3-H3K27me3,0.4727,0.494,0.6655,60.68,78.5549,79.85,0.5,0.7763,0.79,0.4918,0.5001,0.6302,60.82,78.2885,79.16,0.5,0.7744,0.79
H3K9me3-H3K27ac-H3K9ac-H3K27me3-H3K4me3,0.469,0.4924,0.6488,60.82,78.5679,79.86,0.5,0.7758,0.79,0.4916,0.4999,0.6161,60.82,78.2103,79.1,0.5,0.7741,0.78
H3K9me3-H3K27ac-H3K27me3-H3K4me3-H3K9ac,0.4707,0.4959,0.6577,60.82,78.3153,79.89,0.5,0.7729,0.79,0.4925,0.5022,0.6261,60.82,78.0306,79.12,0.5,0.7712,0.78
H3K9me3-H3K27ac-H3K27me3-H3K9ac-H3K4me3,0.4692,0.4935,0.6557,60.83,78.6189,79.81,0.5,0.7777,0.79,0.492,0.5006,0.6086,60.82,78.2604,79.11,0.5,0.7744,0.79
H3K9me3-H3K27me3-H3K4me3-H3K9ac-H3K27ac,0.4707,0.4926,0.6519,60.76,78.5853,80.08,0.5,0.7754,0.79,0.4905,0.4989,0.6201,60.82,78.3306,79.16,0.5,0.7744,0.79
H3K9me3-H3K27me3-H3K4me3-H3K27ac-H3K9ac,0.4678,0.4919,0.6554,60.82,78.6035,79.96,0.5,0.7763,0.79,0.4916,0.4998,0.6241,60.82,78.2964,79.1,0.5,0.7743,0.79
H3K9me3-H3K27me3-H3K9ac-H3K4me3-H3K27ac,0.471,0.4944,0.6618,58.97,78.4329,79.9,0.5,0.7741,0.79,0.4917,0.5008,0.6242,60.82,78.1149,79.16,0.5,0.7719,0.79
H3K9me3-H3K27me3-H3K9ac-H3K27ac-H3K4me3,0.4721,0.4964,0.674,60.44,78.2863,79.77,0.5,0.7724,0.79,0.4917,0.5023,0.6507,60.82,78.072,79.23,0.5,0.7714,0.78
H3K9me3-H3K27me3-H3K27ac-H3K4me3-H3K9ac,0.4704,0.4957,0.6622,60.82,78.2903,79.82,0.5,0.772,0.79,0.491,0.5016,0.638,60.82,78.0593,79.06,0.5,0.771,0.78
H3K9me3-H3K27me3-H3K27ac-H3K9ac-H3K4me3,0.4672,0.4949,0.6395,60.82,78.5599,79.93,0.5,0.7761,0.79,0.493,0.5034,0.5936,60.82,78.1905,79.1,0.5,0.7739,0.78
H3K27ac-H3K4me3-H3K9ac-H3K9me3-H3K27me3,0.4684,0.494,0.6559,60.82,78.3528,79.9,0.5,0.7729,0.79,0.4924,0.502,0.6301,60.82,78.0346,79.08,0.5,0.7713,0.79
H3K27ac-H3K4me3-H3K9ac-H3K27me3-H3K9me3,0.4696,0.494,0.6536,60.82,78.5244,79.86,0.5,0.7755,0.79,0.4923,0.501,0.6152,60.82,78.2264,79.18,0.5,0.7739,0.79
H3K27ac-H3K4me3-H3K9me3-H3K9ac-H3K27me3,0.4701,0.4936,0.6649,60.82,78.4005,79.9,0.5,0.7733,0.79,0.491,0.5001,0.642,60.82,78.1543,79.18,0.5,0.7713,0.78
H3K27ac-H3K4me3-H3K9me3-H3K27me3-H3K9ac,0.4708,0.493,0.6682,60.82,78.6897,79.89,0.5,0.7775,0.79,0.4915,0.4999,0.6271,60.82,78.2996,79.04,0.5,0.7742,0.79
H3K27ac-H3K4me3-H3K27me3-H3K9ac-H3K9me3,0.4698,0.4944,0.6625,60.82,78.493,79.89,0.5,0.7757,0.79,0.4918,0.5016,0.6224,60.82,78.068,79.06,0.5,0.7716,0.79
H3K27ac-H3K4me3-H3K27me3-H3K9me3-H3K9ac,0.4699,0.4947,0.6656,60.82,78.2899,79.9,0.5,0.772,0.79,0.4921,0.5019,0.6469,60.82,77.9874,79.07,0.5,0.7706,0.78
H3K27ac-H3K9ac-H3K4me3-H3K9me3-H3K27me3,0.4712,0.4972,0.6569,60.82,78.3509,79.84,0.5,0.7728,0.79,0.4923,0.5039,0.62,60.82,77.933,79.06,0.5,0.7709,0.78
H3K27ac-H3K9ac-H3K4me3-H3K27me3-H3K9me3,0.4696,0.493,0.6628,60.21,78.5523,79.9,0.5,0.7763,0.79,0.4915,0.5002,0.6291,60.82,78.2848,79.07,0.5,0.7745,0.79
H3K27ac-H3K9ac-H3K9me3-H3K4me3-H3K27me3,0.4688,0.4914,0.6518,60.82,78.584,79.96,0.5,0.7753,0.79,0.4914,0.4991,0.6174,60.82,78.3526,79.12,0.5,0.7742,0.78
H3K27ac-H3K9ac-H3K9me3-H3K27me3-H3K4me3,0.4715,0.4961,0.6581,60.82,78.3843,79.9,0.5,0.7735,0.79,0.4918,0.5025,0.6211,60.82,78.0247,79.11,0.5,0.7713,0.78
H3K27ac-H3K9ac-H3K27me3-H3K4me3-H3K9me3,0.4712,0.4931,0.6516,60.82,78.5279,79.86,0.5,0.7748,0.79,0.4917,0.4996,0.6185,60.82,78.2792,79.16,0.5,0.7742,0.79
H3K27ac-H3K9ac-H3K27me3-H3K9me3-H3K4me3,0.4713,0.4958,0.6649,60.82,78.2849,79.94,0.5,0.7714,0.79,0.4918,0.5027,0.6426,60.82,78.0333,79.16,0.5,0.771,0.79
H3K27ac-H3K9me3-H3K4me3-H3K9ac-H3K27me3,0.4702,0.4943,0.665,60.82,78.3965,79.92,0.5,0.7742,0.79,0.4921,0.5012,0.6356,60.82,78.0365,79.1,0.5,0.7713,0.78
H3K27ac-H3K9me3-H3K4me3-H3K27me3-H3K9ac,0.4739,0.4958,0.6691,60.82,78.5029,79.84,0.5,0.7758,0.79,0.4923,0.5012,0.6334,60.82,78.2102,79.12,0.5,0.7741,0.78
