train_loss,train_accuracy,train_auc,val_loss,val_accuracy,val_auc
0.6877,49.99,0.5,0.6762,49.99,0.5
0.6672,57.81,0.58,0.6509,73.86,0.74
0.6402,74.9,0.75,0.6221,75.13,0.75
0.6115,75.82,0.76,0.5966,75.34,0.75
0.5863,75.77,0.76,0.5773,75.3,0.75
0.5706,75.82,0.76,0.5659,74.98,0.75
0.5586,75.78,0.76,0.5589,75.11,0.75
0.5507,75.81,0.76,0.5547,74.96,0.75
0.5469,75.96,0.76,0.5517,75.04,0.75
0.5432,75.89,0.76,0.5493,75.27,0.75
0.5409,76.02,0.76,0.5476,75.38,0.75
0.5387,76.12,0.76,0.546,75.21,0.75
0.5362,76.13,0.76,0.5447,75.41,0.75
0.5358,76.27,0.76,0.544,75.33,0.75
0.5338,75.97,0.76,0.5431,75.48,0.75
0.533,76.29,0.76,0.5423,75.63,0.76
0.5319,76.19,0.76,0.542,75.59,0.76
0.5307,76.23,0.76,0.5415,75.63,0.76
0.5317,76.38,0.76,0.5408,75.68,0.76
0.5302,76.33,0.76,0.5402,75.83,0.76
0.5294,76.46,0.76,0.5398,75.9,0.76
0.5293,76.47,0.76,0.5393,75.93,0.76
0.5292,76.44,0.76,0.5394,75.84,0.76
0.5264,76.4,0.76,0.539,75.91,0.76
0.5274,76.44,0.76,0.5387,75.86,0.76
0.5264,76.46,0.76,0.5383,76.01,0.76
0.5252,76.48,0.76,0.5379,76.06,0.76
0.5271,76.46,0.76,0.5376,75.97,0.76
0.5255,76.39,0.76,0.537,76.03,0.76
0.5263,76.51,0.77,0.5373,76.07,0.76
0.5239,76.55,0.77,0.5371,76.05,0.76
0.5241,76.51,0.77,0.5368,76.07,0.76
0.5227,76.52,0.77,0.5365,76.06,0.76
0.5228,76.55,0.77,0.5369,75.93,0.76
0.522,76.59,0.77,0.5359,76.09,0.76
0.5224,76.54,0.77,0.5357,76.13,0.76
0.522,76.59,0.77,0.5354,76.16,0.76
0.5217,76.52,0.77,0.5352,76.2,0.76
0.5212,76.59,0.77,0.535,76.2,0.76
0.5229,76.48,0.76,0.5349,76.14,0.76
0.5202,76.67,0.77,0.5352,76.06,0.76
0.5191,76.56,0.77,0.5351,76.21,0.76
0.5199,76.63,0.77,0.5347,76.17,0.76
0.5179,76.69,0.77,0.5345,76.21,0.76
0.5201,76.48,0.76,0.5344,76.18,0.76
0.5179,76.71,0.77,0.5345,76.18,0.76
0.5184,76.81,0.77,0.5339,76.25,0.76
0.5175,76.83,0.77,0.5343,76.3,0.76
0.5169,76.75,0.77,0.5339,76.3,0.76
0.5174,76.74,0.77,0.5334,76.4,0.76
0.5171,76.83,0.77,0.5337,76.25,0.76
0.5168,76.65,0.77,0.5347,76.39,0.76
0.5167,76.73,0.77,0.5332,76.55,0.77
0.5162,76.81,0.77,0.5334,76.35,0.76
0.515,76.75,0.77,0.5333,76.29,0.76
0.5165,76.96,0.77,0.5331,76.63,0.77
0.5149,76.85,0.77,0.534,76.32,0.76
0.5156,76.71,0.77,0.5328,76.54,0.77
0.5153,76.79,0.77,0.5353,76.28,0.76
0.5155,76.82,0.77,0.5335,76.62,0.77
0.5145,76.86,0.77,0.5329,76.49,0.76
0.5133,76.93,0.77,0.5333,76.41,0.76
0.515,76.96,0.77,0.5325,76.55,0.77
0.5139,76.75,0.77,0.5328,76.47,0.76
0.515,77.04,0.77,0.5341,76.54,0.77
0.5131,77.01,0.77,0.5326,76.64,0.77
0.5127,76.86,0.77,0.5325,76.59,0.77
0.5137,77.02,0.77,0.5323,76.62,0.77
0.5129,76.98,0.77,0.5323,76.56,0.77
0.5117,76.97,0.77,0.5332,76.59,0.77
0.5122,77.13,0.77,0.5324,76.64,0.77
0.5132,77.11,0.77,0.5326,76.54,0.77
0.5111,77.01,0.77,0.5327,76.56,0.77
0.5121,77.02,0.77,0.5319,76.6,0.77
0.5112,77.15,0.77,0.5327,76.6,0.77
0.5114,77.13,0.77,0.5325,76.6,0.77
0.5101,77.16,0.77,0.5325,76.66,0.77
0.5109,77.08,0.77,0.532,76.64,0.77
0.5101,77.2,0.77,0.5323,76.67,0.77
0.5113,77.12,0.77,0.5322,76.72,0.77
0.5108,77.02,0.77,0.5319,76.7,0.77
0.5103,77.08,0.77,0.5317,76.64,0.77
0.5102,77.25,0.77,0.5317,76.68,0.77
0.5091,77.09,0.77,0.5317,76.64,0.77
0.5098,77.16,0.77,0.5317,76.64,0.77
0.5105,77.09,0.77,0.5319,76.71,0.77
0.5078,77.28,0.77,0.532,76.67,0.77
0.508,77.2,0.77,0.532,76.68,0.77
0.5065,77.21,0.77,0.5317,76.67,0.77
0.5092,77.09,0.77,0.5317,76.78,0.77
0.5087,77.08,0.77,0.5318,76.67,0.77
0.508,77.23,0.77,0.5324,76.72,0.77
0.5061,77.21,0.77,0.5322,76.71,0.77
0.5053,77.21,0.77,0.5333,76.82,0.77
0.506,77.29,0.77,0.5329,76.6,0.77
0.5068,77.38,0.77,0.5318,76.85,0.77
0.5064,77.24,0.77,0.5322,76.78,0.77
0.5064,77.27,0.77,0.532,76.82,0.77
0.5066,77.23,0.77,0.5319,76.86,0.77
0.5052,77.21,0.77,0.5321,76.79,0.77
