train_loss,train_accuracy,train_auc,val_loss,val_accuracy,val_auc
1.2059,43.34,0.71,1.1846,45.17,0.72
1.1625,47.33,0.73,1.1891,44.9,0.72
1.1287,50.22,0.75,1.1894,45.66,0.72
1.0626,53.85,0.78,1.2158,45.11,0.71
0.9732,58.95,0.82,1.2936,44.99,0.71
0.8596,64.68,0.86,1.4382,43.65,0.68
0.7494,69.37,0.89,1.5434,43.34,0.68
0.6048,75.66,0.92,1.7768,43.42,0.66
0.5682,76.15,0.93,1.8906,43.24,0.66
0.5545,76.43,0.93,1.9396,42.94,0.65
0.5422,76.46,0.93,2.0089,43.09,0.66
0.5257,77.2,0.94,2.0718,43.3,0.66
0.5219,76.94,0.93,2.091,42.89,0.65
0.5047,77.71,0.94,2.1094,42.92,0.65
0.5034,78.0,0.94,2.1251,43.0,0.65
0.4994,77.88,0.94,2.1394,43.04,0.65
0.4981,78.29,0.94,2.1573,43.05,0.65
0.4948,78.42,0.94,2.1712,42.97,0.65
0.4968,78.02,0.94,2.1814,42.92,0.65
0.496,78.04,0.94,2.1824,42.9,0.65
0.4987,78.17,0.94,2.1834,42.9,0.65
0.495,78.43,0.94,2.1845,42.92,0.65
0.4978,77.94,0.94,2.1854,42.92,0.65
0.498,78.46,0.94,2.1865,42.92,0.65
0.4941,78.47,0.94,2.1876,42.92,0.65
0.4943,78.43,0.94,2.1878,42.92,0.65
0.4946,78.31,0.94,2.1879,42.92,0.65
0.4971,78.09,0.94,2.188,42.92,0.65
0.4971,78.21,0.94,2.1881,42.92,0.65
0.4957,78.43,0.94,2.1882,42.92,0.65
0.4982,77.98,0.94,2.1883,42.92,0.65
0.4926,78.25,0.94,2.1883,42.92,0.65
0.4973,77.96,0.94,2.1883,42.92,0.65
0.4951,78.29,0.94,2.1883,42.92,0.65
0.4954,78.23,0.94,2.1883,42.92,0.65
0.4949,78.29,0.94,2.1883,42.92,0.65
0.498,78.29,0.94,2.1883,42.92,0.65
0.4997,77.82,0.94,2.1883,42.92,0.65
0.4968,78.02,0.94,2.1883,42.92,0.65
0.4945,78.24,0.94,2.1883,42.92,0.65
0.4949,78.42,0.94,2.1883,42.92,0.65
0.4942,78.13,0.94,2.1883,42.9,0.65
0.4959,78.43,0.94,2.1883,42.9,0.65
0.4933,78.25,0.94,2.1883,42.9,0.65
0.4968,78.11,0.94,2.1883,42.9,0.65
0.4923,78.24,0.94,2.1884,42.9,0.65
0.4939,78.51,0.94,2.1884,42.9,0.65
0.4939,78.36,0.94,2.1884,42.9,0.65
0.4965,78.2,0.94,2.1884,42.9,0.65
0.4953,78.44,0.94,2.1884,42.9,0.65
0.494,78.11,0.94,2.1884,42.9,0.65
0.4957,78.01,0.94,2.1884,42.9,0.65
0.4974,78.13,0.94,2.1884,42.9,0.65
0.4927,78.29,0.94,2.1884,42.9,0.65
0.5021,77.74,0.94,2.1884,42.9,0.65
0.4952,78.16,0.94,2.1884,42.92,0.65
0.4961,78.46,0.94,2.1884,42.92,0.65
0.4919,78.43,0.94,2.1884,42.92,0.65
0.4936,78.32,0.94,2.1884,42.92,0.65
0.495,78.29,0.94,2.1884,42.92,0.65
0.4945,78.42,0.94,2.1884,42.9,0.65
0.4983,78.06,0.94,2.1884,42.9,0.65
0.4943,78.13,0.94,2.1884,42.92,0.65
0.4941,78.33,0.94,2.1885,42.92,0.65
0.4926,78.42,0.94,2.1885,42.92,0.65
0.4939,78.27,0.94,2.1885,42.92,0.65
0.4979,78.13,0.94,2.1885,42.92,0.65
0.4973,78.05,0.94,2.1885,42.92,0.65
0.4943,78.28,0.94,2.1885,42.92,0.65
0.4964,78.21,0.94,2.1885,42.92,0.65
0.4956,78.32,0.94,2.1885,42.92,0.65
0.4931,78.25,0.94,2.1885,42.92,0.65
0.4922,78.61,0.94,2.1885,42.92,0.65
0.4979,77.9,0.94,2.1885,42.92,0.65
0.4924,78.01,0.94,2.1885,42.9,0.65
0.5001,78.04,0.94,2.1885,42.9,0.65
0.4965,78.12,0.94,2.1885,42.9,0.65
0.4969,78.01,0.94,2.1885,42.9,0.65
0.4993,78.19,0.94,2.1885,42.9,0.65
0.4961,78.27,0.94,2.1885,42.9,0.65
0.4977,78.04,0.94,2.1885,42.9,0.65
0.5001,77.75,0.94,2.1885,42.9,0.65
0.4921,78.35,0.94,2.1886,42.9,0.65
0.4944,78.28,0.94,2.1886,42.92,0.65
0.4966,78.19,0.94,2.1886,42.92,0.65
0.4923,78.5,0.94,2.1886,42.92,0.65
0.4934,78.24,0.94,2.1886,42.92,0.65
0.4985,78.19,0.94,2.1886,42.92,0.65
0.4955,78.19,0.94,2.1886,42.92,0.65
0.4971,78.19,0.94,2.1886,42.92,0.65
0.496,78.2,0.94,2.1886,42.92,0.65
0.4932,78.39,0.94,2.1886,42.92,0.65
0.4933,78.52,0.94,2.1886,42.92,0.65
0.4966,78.15,0.94,2.1886,42.9,0.65
0.4983,77.81,0.94,2.1886,42.9,0.65
0.4946,78.25,0.94,2.1886,42.9,0.65
0.4918,78.35,0.94,2.1886,42.9,0.65
0.4952,78.48,0.94,2.1886,42.9,0.65
0.4954,78.21,0.94,2.1887,42.9,0.65
0.4949,78.21,0.94,2.1887,42.9,0.65
