train_loss,train_accuracy,train_auc,val_loss,val_accuracy,val_auc
1.2171,42.48,0.7,1.1927,44.84,0.72
1.1683,46.83,0.73,1.1909,45.66,0.72
1.1585,47.52,0.73,1.2013,46.09,0.72
1.1463,48.82,0.74,1.1986,45.68,0.72
1.1312,49.32,0.75,1.1972,45.49,0.72
1.1137,50.72,0.76,1.1939,45.61,0.72
1.0888,52.71,0.77,1.2186,44.53,0.71
1.0577,54.37,0.79,1.2234,45.18,0.71
0.962,59.59,0.83,1.2614,45.53,0.71
0.928,61.16,0.84,1.2861,45.06,0.71
0.9066,62.24,0.84,1.3015,43.8,0.7
0.8865,62.83,0.85,1.3211,44.42,0.7
0.8684,63.77,0.86,1.3419,43.93,0.69
0.8486,65.14,0.86,1.3634,43.87,0.69
0.8097,67.17,0.87,1.3704,43.7,0.69
0.8102,66.75,0.87,1.3751,43.77,0.69
0.8027,67.23,0.87,1.382,44.04,0.69
0.7995,67.21,0.88,1.3851,43.76,0.69
0.8001,67.14,0.87,1.3878,43.65,0.69
0.7963,67.36,0.88,1.3931,43.69,0.69
0.7902,67.47,0.88,1.3935,43.66,0.69
0.7894,68.16,0.88,1.394,43.62,0.69
0.7876,67.73,0.88,1.3945,43.72,0.69
0.7887,67.94,0.88,1.3951,43.65,0.69
0.7883,68.21,0.88,1.3957,43.64,0.69
0.7895,67.68,0.88,1.3961,43.68,0.69
0.7881,67.93,0.88,1.3961,43.69,0.69
0.7854,67.94,0.88,1.3962,43.69,0.69
0.7871,68.37,0.88,1.3963,43.69,0.69
0.7896,67.7,0.88,1.3963,43.7,0.69
0.7883,68.06,0.88,1.3963,43.7,0.69
0.7861,68.05,0.88,1.3964,43.69,0.69
0.7869,67.75,0.88,1.3964,43.69,0.69
0.7882,67.89,0.88,1.3964,43.69,0.69
0.789,67.66,0.88,1.3964,43.69,0.69
0.7875,67.82,0.88,1.3964,43.69,0.69
0.7899,67.77,0.88,1.3964,43.69,0.69
0.7812,68.29,0.88,1.3965,43.69,0.69
0.787,67.4,0.88,1.3965,43.69,0.69
0.7852,67.83,0.88,1.3965,43.69,0.69
0.7857,68.01,0.88,1.3965,43.69,0.69
0.7906,67.77,0.88,1.3965,43.69,0.69
0.7864,67.7,0.88,1.3965,43.69,0.69
0.7818,68.08,0.88,1.3965,43.69,0.69
0.7891,67.77,0.88,1.3965,43.69,0.69
0.7894,67.58,0.88,1.3965,43.69,0.69
0.7887,68.01,0.88,1.3965,43.69,0.69
0.7867,67.81,0.88,1.3965,43.69,0.69
0.788,67.71,0.88,1.3965,43.69,0.69
0.7854,68.12,0.88,1.3965,43.69,0.69
0.7874,68.01,0.88,1.3965,43.69,0.69
0.7878,67.89,0.88,1.3965,43.69,0.69
0.7916,67.7,0.88,1.3965,43.69,0.69
0.7845,67.93,0.88,1.3965,43.69,0.69
0.7849,68.09,0.88,1.3965,43.69,0.69
0.7876,67.74,0.88,1.3965,43.69,0.69
0.7853,67.93,0.88,1.3965,43.69,0.69
0.7881,67.68,0.88,1.3965,43.69,0.69
0.7806,68.08,0.88,1.3964,43.69,0.69
0.7848,67.94,0.88,1.3964,43.69,0.69
0.7834,67.83,0.88,1.3964,43.69,0.69
0.7888,67.74,0.88,1.3964,43.69,0.69
0.7864,67.97,0.88,1.3964,43.69,0.69
0.7854,67.89,0.88,1.3964,43.69,0.69
0.7849,68.1,0.88,1.3964,43.69,0.69
0.7869,67.62,0.88,1.3964,43.69,0.69
0.7882,68.1,0.88,1.3964,43.69,0.69
0.7864,67.74,0.88,1.3964,43.69,0.69
0.7865,68.1,0.88,1.3964,43.69,0.69
0.7888,68.0,0.88,1.3964,43.7,0.69
0.7889,67.9,0.88,1.3964,43.7,0.69
0.784,67.86,0.88,1.3964,43.7,0.69
0.7879,68.05,0.88,1.3964,43.7,0.69
0.7855,68.2,0.88,1.3964,43.7,0.69
0.7872,68.0,0.88,1.3964,43.7,0.69
0.7848,67.97,0.88,1.3964,43.7,0.69
0.7876,67.83,0.88,1.3964,43.7,0.69
0.7873,67.85,0.88,1.3964,43.7,0.69
0.7859,68.1,0.88,1.3964,43.7,0.69
0.7874,68.21,0.88,1.3964,43.7,0.69
0.7869,67.7,0.88,1.3964,43.7,0.69
0.7855,67.87,0.88,1.3964,43.7,0.69
0.7885,68.04,0.88,1.3964,43.7,0.69
0.7859,68.29,0.88,1.3964,43.7,0.69
0.788,67.89,0.88,1.3964,43.7,0.69
0.787,67.52,0.88,1.3964,43.7,0.69
0.7896,67.86,0.88,1.3964,43.7,0.69
0.7866,68.02,0.88,1.3964,43.7,0.69
0.7861,67.63,0.88,1.3964,43.7,0.69
0.7863,67.94,0.88,1.3964,43.7,0.69
0.7854,68.13,0.88,1.3964,43.7,0.69
0.7857,67.73,0.88,1.3964,43.7,0.69
0.7894,67.83,0.88,1.3964,43.7,0.69
0.7869,67.85,0.88,1.3964,43.7,0.69
0.7861,68.1,0.88,1.3964,43.7,0.69
0.7873,67.77,0.88,1.3964,43.7,0.69
0.7887,67.86,0.88,1.3964,43.7,0.69
0.7852,68.01,0.88,1.3964,43.7,0.69
0.7844,68.17,0.88,1.3964,43.7,0.69
0.7888,67.91,0.88,1.3964,43.7,0.69
