train_loss,train_accuracy,train_auc,val_loss,val_accuracy,val_auc
1.2284,41.38,0.69,1.2024,42.66,0.7
1.1834,44.71,0.72,1.2035,43.58,0.7
1.1726,45.88,0.72,1.2144,43.74,0.71
1.1465,48.16,0.74,1.2284,43.7,0.7
1.1132,50.63,0.76,1.2353,36.18,0.7
1.0624,53.03,0.78,1.2612,43.17,0.7
0.9951,58.24,0.81,1.3403,42.48,0.69
0.8561,64.83,0.86,1.426,42.02,0.68
0.8223,66.13,0.87,1.4849,41.63,0.67
0.7937,67.08,0.88,1.5211,41.36,0.66
0.7738,68.08,0.88,1.5632,41.49,0.66
0.7565,68.81,0.88,1.589,41.74,0.66
0.7361,69.6,0.89,1.6338,41.7,0.66
0.7045,71.14,0.9,1.6415,41.66,0.65
0.7037,70.6,0.9,1.6501,41.79,0.65
0.7025,71.23,0.9,1.6576,41.75,0.65
0.6942,71.47,0.9,1.6645,41.68,0.65
0.6962,71.35,0.9,1.6708,41.6,0.65
0.6938,71.32,0.9,1.6773,41.72,0.65
0.6944,71.36,0.9,1.6778,41.72,0.65
0.6919,71.78,0.9,1.6784,41.66,0.65
0.6943,71.19,0.9,1.6789,41.66,0.65
0.6925,71.44,0.9,1.6794,41.63,0.65
0.6884,71.56,0.9,1.6799,41.67,0.65
0.6927,71.78,0.9,1.6806,41.67,0.65
0.691,71.69,0.9,1.6807,41.67,0.65
0.6911,71.51,0.9,1.6807,41.67,0.65
0.6915,71.75,0.9,1.6807,41.67,0.65
0.6935,71.2,0.9,1.6808,41.68,0.65
0.6898,71.48,0.9,1.6808,41.67,0.65
0.69,71.69,0.9,1.6809,41.68,0.65
0.6936,71.37,0.9,1.6809,41.68,0.65
0.6909,71.73,0.9,1.6809,41.68,0.65
0.6934,71.6,0.9,1.6809,41.68,0.65
0.6898,71.39,0.9,1.6809,41.68,0.65
0.6875,71.79,0.9,1.6809,41.68,0.65
0.6869,71.81,0.9,1.6809,41.68,0.65
0.6889,71.51,0.9,1.6809,41.68,0.65
0.6885,71.48,0.9,1.6809,41.68,0.65
0.6904,71.42,0.9,1.6809,41.68,0.65
0.6897,71.7,0.9,1.6809,41.68,0.65
0.6891,71.7,0.9,1.6809,41.68,0.65
0.6908,71.89,0.9,1.6809,41.67,0.65
0.6888,71.7,0.9,1.6809,41.68,0.65
0.6944,71.66,0.9,1.6809,41.68,0.65
0.6868,71.82,0.9,1.6809,41.68,0.65
0.69,71.71,0.9,1.6809,41.68,0.65
0.6891,71.64,0.9,1.6809,41.68,0.65
0.6942,71.46,0.9,1.6809,41.68,0.65
0.6906,71.73,0.9,1.6809,41.68,0.65
0.6892,71.55,0.9,1.6809,41.68,0.65
0.6912,71.69,0.9,1.6809,41.68,0.65
0.6911,71.46,0.9,1.681,41.68,0.65
0.6923,71.67,0.9,1.681,41.68,0.65
0.6875,71.63,0.9,1.681,41.68,0.65
0.6911,71.54,0.9,1.681,41.68,0.65
0.6882,71.79,0.9,1.681,41.68,0.65
0.6891,71.54,0.9,1.681,41.68,0.65
0.6944,71.44,0.9,1.681,41.68,0.65
0.6899,71.51,0.9,1.681,41.68,0.65
0.6917,71.54,0.9,1.681,41.68,0.65
0.687,71.75,0.9,1.681,41.68,0.65
0.6902,71.59,0.9,1.681,41.68,0.65
0.6909,71.43,0.9,1.681,41.68,0.65
0.6922,71.75,0.9,1.681,41.68,0.65
0.689,71.67,0.9,1.681,41.68,0.65
0.6899,71.43,0.9,1.681,41.68,0.65
0.6898,71.62,0.9,1.681,41.68,0.65
0.6886,71.56,0.9,1.681,41.68,0.65
0.6913,71.6,0.9,1.681,41.68,0.65
0.6914,71.37,0.9,1.681,41.68,0.65
0.6895,71.58,0.9,1.681,41.68,0.65
0.6929,71.52,0.9,1.681,41.68,0.65
0.6889,71.78,0.9,1.681,41.68,0.65
0.6905,71.46,0.9,1.681,41.68,0.65
0.6907,71.59,0.9,1.681,41.68,0.65
0.689,71.47,0.9,1.681,41.68,0.65
0.6878,71.77,0.9,1.681,41.68,0.65
0.6888,71.48,0.9,1.681,41.68,0.65
0.6935,71.58,0.9,1.681,41.68,0.65
0.6906,71.74,0.9,1.681,41.68,0.65
0.689,71.47,0.9,1.681,41.68,0.65
0.6906,71.44,0.9,1.681,41.68,0.65
0.6928,71.28,0.9,1.681,41.68,0.65
0.6906,71.86,0.9,1.681,41.68,0.65
0.6925,71.66,0.9,1.681,41.68,0.65
0.6925,71.51,0.9,1.681,41.68,0.65
0.6892,71.81,0.9,1.6811,41.68,0.65
0.6893,71.77,0.9,1.6811,41.68,0.65
0.6909,71.39,0.9,1.6811,41.68,0.65
0.6901,71.4,0.9,1.6811,41.68,0.65
0.6884,71.7,0.9,1.6811,41.68,0.65
0.6922,71.67,0.9,1.6811,41.68,0.65
0.6879,71.44,0.9,1.6811,41.68,0.65
0.6869,72.02,0.9,1.6811,41.68,0.65
0.6924,71.33,0.9,1.6811,41.68,0.65
0.6917,71.52,0.9,1.6811,41.68,0.65
0.6916,71.37,0.9,1.6811,41.68,0.65
0.6851,71.81,0.9,1.6811,41.68,0.65
0.6952,71.69,0.9,1.6811,41.68,0.65
