train_loss,train_accuracy,train_auc,val_loss,val_accuracy,val_auc
1.2217,42.15,0.69,1.215,43.95,0.7
1.1907,45.33,0.71,1.203,43.95,0.7
1.184,45.37,0.71,1.2264,43.2,0.7
1.1734,45.75,0.72,1.2228,42.06,0.7
1.1656,46.79,0.73,1.2117,43.93,0.7
1.155,47.6,0.74,1.2095,44.18,0.7
1.1441,47.94,0.74,1.2061,44.03,0.7
1.1342,49.28,0.75,1.2235,43.62,0.7
1.0996,51.48,0.77,1.2222,43.81,0.7
1.0823,52.45,0.77,1.2305,43.32,0.7
1.0739,53.21,0.78,1.2379,43.73,0.7
1.0673,53.37,0.78,1.24,43.31,0.7
1.0575,54.01,0.79,1.2442,43.31,0.7
1.0535,53.82,0.79,1.2554,43.47,0.7
1.0389,55.13,0.8,1.252,43.53,0.7
1.0351,55.36,0.8,1.2527,43.55,0.7
1.035,55.36,0.8,1.2543,43.45,0.7
1.0345,55.4,0.8,1.2552,43.42,0.7
1.0309,55.71,0.8,1.2559,43.38,0.7
1.0332,55.43,0.8,1.2568,43.42,0.7
1.0309,55.66,0.8,1.2569,43.41,0.7
1.0275,55.44,0.8,1.2571,43.42,0.7
1.0283,55.35,0.8,1.2572,43.35,0.7
1.0277,55.55,0.8,1.2574,43.35,0.7
1.0292,55.63,0.8,1.2575,43.34,0.7
1.0277,56.03,0.8,1.2577,43.3,0.7
1.0287,55.49,0.8,1.2577,43.31,0.7
1.0265,55.74,0.8,1.2577,43.31,0.7
1.0269,55.98,0.8,1.2577,43.31,0.7
1.0241,55.98,0.8,1.2577,43.31,0.7
1.027,55.79,0.8,1.2578,43.31,0.7
1.0238,55.85,0.8,1.2578,43.28,0.7
1.026,56.01,0.8,1.2578,43.28,0.7
1.027,55.6,0.8,1.2578,43.28,0.7
1.0237,55.72,0.8,1.2578,43.28,0.7
1.0274,55.74,0.8,1.2578,43.28,0.7
1.0268,55.72,0.8,1.2578,43.28,0.7
1.0246,55.78,0.8,1.2578,43.28,0.7
1.0277,55.56,0.8,1.2578,43.28,0.7
1.0271,55.78,0.8,1.2578,43.28,0.7
1.0283,55.85,0.8,1.2578,43.28,0.7
1.0292,55.87,0.8,1.2578,43.28,0.7
1.0288,55.97,0.8,1.2578,43.28,0.7
1.0287,55.6,0.8,1.2578,43.28,0.7
1.0269,55.82,0.8,1.2578,43.28,0.7
1.0263,55.82,0.8,1.2578,43.28,0.7
1.031,55.85,0.8,1.2578,43.28,0.7
1.0267,55.49,0.8,1.2578,43.28,0.7
1.028,56.14,0.8,1.2578,43.28,0.7
1.0275,55.79,0.8,1.2578,43.28,0.7
1.0287,55.68,0.8,1.2578,43.28,0.7
1.0292,55.87,0.8,1.2578,43.28,0.7
1.0265,55.9,0.8,1.2578,43.28,0.7
1.0294,55.56,0.8,1.2578,43.28,0.7
1.025,55.67,0.8,1.2578,43.28,0.7
1.0258,55.86,0.8,1.2578,43.28,0.7
1.0277,55.74,0.8,1.2578,43.28,0.7
1.0308,55.9,0.8,1.2578,43.28,0.7
1.0278,56.01,0.8,1.2578,43.28,0.7
1.0245,55.89,0.8,1.2578,43.28,0.7
1.0282,55.64,0.8,1.2578,43.28,0.7
1.0291,55.78,0.8,1.2578,43.28,0.7
1.0259,55.89,0.8,1.2578,43.28,0.7
1.0264,55.91,0.8,1.2578,43.28,0.7
1.0265,55.85,0.8,1.2578,43.28,0.7
1.0274,55.36,0.8,1.2578,43.28,0.7
1.0284,55.63,0.8,1.2578,43.28,0.7
1.025,55.86,0.8,1.2578,43.28,0.7
1.0301,55.89,0.8,1.2578,43.28,0.7
1.0264,55.83,0.8,1.2578,43.28,0.7
1.0262,55.7,0.8,1.2578,43.28,0.7
1.0304,55.3,0.8,1.2578,43.28,0.7
1.0263,56.02,0.8,1.2578,43.28,0.7
1.0288,55.16,0.8,1.2578,43.28,0.7
1.0251,55.78,0.8,1.2578,43.28,0.7
1.0271,55.76,0.8,1.2578,43.28,0.7
1.0239,56.05,0.8,1.2578,43.28,0.7
1.0299,55.66,0.8,1.2578,43.28,0.7
1.0265,55.67,0.8,1.2578,43.28,0.7
1.0251,55.6,0.8,1.2578,43.28,0.7
1.0252,55.72,0.8,1.2578,43.28,0.7
1.0283,56.05,0.8,1.2578,43.28,0.7
1.0284,55.83,0.8,1.2578,43.28,0.7
1.0266,55.52,0.8,1.2578,43.28,0.7
1.028,56.1,0.8,1.2578,43.28,0.7
1.0293,55.63,0.8,1.2578,43.28,0.7
1.0252,56.22,0.8,1.2578,43.28,0.7
1.0292,55.59,0.8,1.2578,43.28,0.7
1.0255,55.85,0.8,1.2578,43.28,0.7
1.0252,55.89,0.8,1.2578,43.28,0.7
1.0271,55.79,0.8,1.2578,43.28,0.7
1.0276,55.76,0.8,1.2578,43.28,0.7
1.0287,55.59,0.8,1.2578,43.28,0.7
1.0296,55.63,0.8,1.2578,43.28,0.7
1.0286,55.87,0.8,1.2578,43.28,0.7
1.0265,55.62,0.8,1.2578,43.28,0.7
1.0275,55.9,0.8,1.2578,43.28,0.7
1.026,55.53,0.8,1.2578,43.28,0.7
1.0268,55.59,0.8,1.2578,43.28,0.7
1.0278,55.53,0.8,1.2578,43.28,0.7
