kernel_size,pool_size,train_loss,train_accuracy,train_auc,val_loss,val_accuracy,val_auc
10,5,0.6573,61.4,0.51,0.6252,60.91,0.5
10,5,0.5993,60.9,0.5,0.584,60.91,0.5
10,5,0.5671,60.9,0.5,0.5596,60.91,0.5
10,5,0.5453,72.28,0.67,0.5445,77.93,0.76
10,5,0.534,78.55,0.77,0.5374,78.28,0.77
10,5,0.5257,79.09,0.78,0.533,78.28,0.77
10,5,0.5207,78.98,0.78,0.5296,78.09,0.78
10,5,0.5174,78.81,0.78,0.5268,78.07,0.78
10,5,0.5131,78.65,0.78,0.5243,78.07,0.78
10,5,0.5104,78.67,0.78,0.5222,78.03,0.78
10,5,0.5088,78.54,0.78,0.5203,77.99,0.78
10,5,0.5051,78.63,0.78,0.5186,77.97,0.78
10,5,0.5074,78.66,0.78,0.5172,77.82,0.78
10,5,0.5027,78.54,0.78,0.5156,77.94,0.78
10,5,0.5009,78.66,0.78,0.5145,77.97,0.78
10,5,0.4999,78.69,0.78,0.5134,78.04,0.78
10,5,0.4987,78.67,0.78,0.5125,78.08,0.78
10,5,0.4962,78.62,0.78,0.5117,78.03,0.78
10,5,0.4957,78.59,0.78,0.5107,78.12,0.78
10,5,0.4947,78.7,0.78,0.51,78.23,0.78
10,5,0.4953,78.7,0.78,0.5091,78.23,0.78
10,5,0.4935,78.79,0.78,0.5087,78.11,0.78
10,5,0.4933,78.75,0.78,0.508,78.3,0.78
10,5,0.4918,78.86,0.79,0.5075,78.28,0.78
10,5,0.4914,78.85,0.79,0.507,78.37,0.78
10,5,0.4913,78.79,0.78,0.5064,78.5,0.78
10,5,0.4909,78.86,0.78,0.5058,78.39,0.78
10,5,0.4895,78.88,0.79,0.5053,78.42,0.78
10,5,0.4904,78.96,0.79,0.5048,78.47,0.78
10,5,0.4879,79.05,0.79,0.5047,78.41,0.78
10,5,0.4882,79.08,0.79,0.5037,78.61,0.78
10,5,0.4873,79.12,0.79,0.5035,78.6,0.78
10,5,0.4871,79.08,0.79,0.503,78.61,0.78
10,5,0.4859,79.05,0.79,0.5025,78.6,0.78
10,5,0.486,79.15,0.79,0.5018,78.61,0.78
10,5,0.4862,79.17,0.79,0.5013,78.66,0.78
10,5,0.4843,79.21,0.79,0.5011,78.85,0.78
10,5,0.4844,79.32,0.79,0.5007,78.69,0.78
10,5,0.4834,79.13,0.79,0.5004,78.76,0.78
10,5,0.4825,79.31,0.79,0.5002,78.7,0.78
10,5,0.4837,79.29,0.79,0.4999,78.73,0.78
10,5,0.4831,79.36,0.79,0.4993,78.79,0.78
10,5,0.4813,79.36,0.79,0.499,78.89,0.78
10,5,0.4817,79.47,0.79,0.4993,78.77,0.78
10,5,0.4803,79.48,0.79,0.4991,78.74,0.78
10,5,0.4803,79.44,0.79,0.4981,78.93,0.78
10,5,0.4799,79.51,0.79,0.4975,78.93,0.78
10,5,0.4796,79.5,0.79,0.4973,78.96,0.78
10,5,0.4794,79.54,0.79,0.4977,78.8,0.78
10,5,0.4793,79.61,0.79,0.497,78.91,0.78
10,5,0.4787,79.7,0.79,0.497,78.89,0.78
10,5,0.4775,79.54,0.79,0.496,79.0,0.78
10,5,0.4767,79.56,0.79,0.496,78.99,0.78
10,5,0.4776,79.67,0.79,0.4963,78.92,0.78
10,5,0.4782,79.65,0.79,0.4957,78.96,0.78
10,5,0.4763,79.7,0.79,0.495,78.98,0.78
10,5,0.4771,79.63,0.79,0.495,79.03,0.79
10,5,0.4757,79.61,0.79,0.4948,79.04,0.79
10,5,0.475,79.74,0.79,0.4945,79.03,0.78
10,5,0.4755,79.81,0.79,0.4941,79.03,0.78
10,5,0.475,79.82,0.79,0.4938,79.07,0.78
10,5,0.4747,79.75,0.79,0.4936,79.06,0.78
10,5,0.4735,79.79,0.79,0.4942,79.08,0.79
10,5,0.4748,79.79,0.79,0.4934,79.06,0.79
10,5,0.4741,79.74,0.79,0.4933,79.08,0.79
10,5,0.4731,79.85,0.79,0.4934,79.07,0.79
10,5,0.4725,79.89,0.79,0.4934,79.08,0.79
10,5,0.4734,79.92,0.79,0.4926,79.07,0.78
10,5,0.471,79.85,0.79,0.493,79.07,0.79
10,5,0.4709,79.89,0.79,0.4926,79.11,0.79
10,5,0.4706,79.93,0.79,0.4928,79.07,0.78
10,5,0.4713,79.92,0.79,0.4922,79.04,0.78
10,5,0.4699,79.96,0.79,0.4932,78.92,0.78
10,5,0.4697,79.96,0.79,0.4929,79.02,0.79
10,5,0.4709,79.9,0.79,0.4916,79.1,0.79
10,5,0.4692,80.02,0.79,0.492,79.12,0.79
10,5,0.4696,80.02,0.79,0.4918,79.07,0.78
10,5,0.4682,80.06,0.79,0.4921,79.1,0.79
10,5,0.4674,80.09,0.79,0.493,79.0,0.79
10,5,0.469,80.0,0.79,0.4928,78.98,0.79
10,5,0.4681,80.02,0.79,0.4911,79.12,0.79
10,5,0.468,80.11,0.8,0.4909,79.06,0.79
10,5,0.4675,80.16,0.8,0.4911,79.15,0.79
10,5,0.4658,80.06,0.79,0.4915,78.99,0.78
10,5,0.4659,80.13,0.79,0.4911,78.98,0.78
10,5,0.4668,80.16,0.8,0.4905,79.08,0.79
10,5,0.4668,80.17,0.8,0.4906,79.03,0.78
10,5,0.4649,80.15,0.8,0.4912,79.16,0.79
10,5,0.4654,80.08,0.79,0.491,79.02,0.78
10,5,0.4643,80.16,0.8,0.4927,79.06,0.79
10,5,0.4654,80.12,0.8,0.4909,79.11,0.79
10,5,0.4648,80.12,0.79,0.4905,78.98,0.78
10,5,0.4643,80.21,0.8,0.4914,78.96,0.78
10,5,0.4646,80.25,0.8,0.4913,79.07,0.79
10,5,0.4653,80.23,0.8,0.4909,79.02,0.78
10,5,0.4638,80.32,0.8,0.4908,78.96,0.78
10,5,0.4632,80.27,0.8,0.491,79.07,0.79
10,5,0.463,80.39,0.8,0.4904,78.99,0.78
10,5,0.4635,80.23,0.8,0.4909,79.07,0.79
10,5,0.4616,80.16,0.8,0.4911,79.07,0.79
