,y,scores
0,0,-6.970554
1,0,-6.970554
2,0,-6.970554
3,1,-6.970554
4,1,-5.0693164
5,1,-4.6314535
6,0,-6.970554
7,1,-5.9213467
8,0,-6.970554
9,0,-6.970554
10,1,-6.2684216
11,1,-6.3817587
12,0,-5.526238
13,0,-6.970554
14,1,-2.2308655
15,1,-6.3294563
16,1,-6.5174227
17,1,-6.970554
18,1,-4.0570073
19,1,-3.5219588
20,1,-5.892057
21,0,-6.707737
22,0,-6.707737
23,0,-6.707737
24,0,-6.3727283
25,0,-6.970554
26,1,-6.4805408
27,1,-3.542161
28,1,-3.773511
29,0,-6.970554
30,1,-5.5053377
31,1,-1.507425
32,0,-6.970554
33,0,-5.4381375
34,0,-5.4381375
35,1,-5.7496033
36,1,-0.6596104
37,0,-6.0515866
38,0,-6.970554
39,1,5.005527
40,1,-4.733319
41,0,-6.970554
42,1,-5.9463673
43,1,-6.970554
44,0,-6.970554
45,1,-6.970554
46,0,-4.331323
47,1,-1.1886593
48,1,-6.970554
49,1,-5.088654
50,1,-1.7858492
51,1,-4.1491084
52,1,-6.840049
53,1,-4.367187
54,0,-2.7481241
55,0,-6.970554
56,0,-5.5304036
57,0,-6.970554
58,1,-1.9611479
59,1,-3.9387176
60,1,-3.3102033
61,1,-5.682028
62,1,-6.970554
63,1,-5.2995343
64,0,-6.822328
65,1,-2.6543348
66,1,-4.8498197
67,1,-3.9938312
68,1,-6.970554
69,1,-5.812435
70,1,-2.5239635
71,0,-6.0536575
72,1,-5.631692
73,0,-6.797054
74,1,-6.4528027
75,1,-6.5472445
76,0,-6.970554
77,1,-3.4295428
78,1,-6.970554
79,1,-4.1979966
80,1,-4.0522504
81,1,-3.2881308
82,0,-6.970554
83,0,-6.970554
84,1,-4.3488035
85,0,-4.3488035
86,0,-6.970554
87,0,-6.970554
88,0,-6.970554
89,0,-6.970554
90,0,-6.970554
91,0,-6.970554
92,0,-6.970554
93,0,-6.970554
94,0,-6.970554
95,0,-6.970554
96,0,-6.970554
97,0,-6.970554
98,0,-6.970554
99,0,-6.970554
100,0,-6.970554
101,0,-6.970554
102,1,-6.970554
103,1,-6.970554
104,1,-6.970554
105,0,-6.970554
106,1,-4.8062453
107,0,-6.970554
108,0,-6.970554
109,0,-6.970554
110,1,-3.8236988
111,1,-3.3705404
112,1,-6.3727283
113,0,-6.970554
114,0,-6.970554
115,1,-6.970554
116,1,-2.0490837
117,1,-5.7746162
118,0,-6.970554
119,0,-6.970554
120,1,-2.4550984
121,1,-5.633648
122,0,-5.8498178
123,0,-5.8498178
124,1,-6.970554
125,0,-6.970554
126,0,-6.970554
127,0,-6.970554
128,1,-3.5405905
129,0,-6.970554
130,0,-6.970554
131,1,-3.8325284
132,0,-6.970554
133,1,-4.3466477
134,1,-4.320308
135,1,4.9864044
136,1,4.9864044
137,0,-6.8904796
138,1,-3.3538282
139,0,-6.970554
140,0,-6.970554
141,0,-6.779002
142,0,-6.970554
143,1,-5.4274774
144,1,-5.50168
145,1,-6.0221457
146,1,-5.1901655
147,0,-6.7090607
148,0,-6.970554
149,0,-6.970554
150,0,-6.970554
151,1,-6.3726983
152,1,-1.942182
153,0,-6.970554
154,0,-6.970554
155,0,-6.970554
156,0,-6.970554
157,0,-6.970554
158,1,-1.513704
159,0,-1.513704
160,0,-4.2675824
161,0,-5.082561
162,1,-5.082561
163,0,-6.970554
164,1,-3.5746396
165,1,-6.9310718
166,1,-3.5192423
167,1,-4.6270504
168,1,-5.111218
169,0,-6.970554
170,1,-6.7054825
171,1,-5.2811875
172,1,-5.7545133
173,1,-6.970554
174,1,-6.5063004
175,0,-4.2246547
176,1,-2.7545462
177,1,-3.6780624
178,1,-5.3223333
179,0,-6.970554
180,1,-5.9038205
181,0,-6.970554
182,1,-4.906709
183,0,-6.970554
184,1,-4.419097
185,1,-6.534683
186,0,-6.970554
187,1,-1.3719156
188,0,-6.970554
189,0,-6.970554
190,1,-4.337561
191,1,-1.3800831
192,0,-1.3800831
193,1,-4.8036275
194,1,-4.6900797
195,1,-4.468639
196,1,-3.373207
197,1,-6.267917
198,1,-4.9686646
199,1,-6.233475
200,1,-5.021681
201,0,-5.021681
202,1,-4.2136006
203,1,-6.6378245
204,0,-5.2286115
205,1,-3.4392998
206,1,-5.7448745
207,1,-5.1437106
208,1,-5.1437106
209,0,-6.003041
210,1,-6.329887
211,1,-1.4277066
212,1,-6.020225
213,1,-1.9352143
214,1,-5.082624
215,1,-1.125893
216,1,-2.0887773
217,1,-1.7966164
218,1,-2.8855577
219,1,-4.446028
220,0,-6.970554
221,1,-6.1661234
222,1,-4.3064103
223,0,-6.970554
224,0,-6.631729
225,1,-3.169489
226,1,-6.970554
227,1,-0.69017416
228,0,-6.109521
229,1,-3.177689
230,1,-6.0967627
231,1,-3.110721
232,1,-1.4668368
233,1,-5.0772815
234,1,-5.0772815
235,0,-6.2970715
236,0,-5.253913
237,1,-2.4178064
238,0,-5.015266
239,1,-5.015266
240,0,-6.970554
241,1,-6.970554
242,1,-2.1009245
243,1,-3.789003
244,1,-3.789003
245,0,-6.970554
246,0,-5.539276
247,1,-3.7258506
248,0,-6.970554
249,0,-6.970554
250,0,-4.4658875
251,0,-6.970554
252,0,-6.970554
253,0,-4.9804306
254,0,-4.9804306
255,0,-4.9804306
256,0,-4.9804306
257,1,-6.970554
258,1,-6.1418705
259,1,-5.5837555
260,0,-6.2693233
261,1,-4.6837907
262,1,-6.970554
263,1,-3.2278311
264,1,-6.970554
