/group/pmc021/amunif/epi-thesis/workflow/09_Learning_to_Rank/output/autoencoder/all_features/model/dol1l2-autoencoder-linear-0.2-checkpoint-1000000-100-64-0.005-0.001.pt
Using device: cuda
Current CUDA device: 0
CUDA device name: Tesla V100-PCIE-32GB
Epoch [1/200], Train Loss: 0.0366, Test Loss: 0.0284
Epoch [2/200], Train Loss: 0.0286, Test Loss: 0.0251
Epoch [3/200], Train Loss: 0.0260, Test Loss: 0.0234
Epoch [4/200], Train Loss: 0.0241, Test Loss: 0.0227
Epoch [5/200], Train Loss: 0.0235, Test Loss: 0.0209
Epoch [6/200], Train Loss: 0.0221, Test Loss: 0.0204
Epoch [7/200], Train Loss: 0.0201, Test Loss: 0.0194
Epoch [8/200], Train Loss: 0.0188, Test Loss: 0.0186
Epoch [9/200], Train Loss: 0.0178, Test Loss: 0.0179
Epoch [10/200], Train Loss: 0.0173, Test Loss: 0.0178
Epoch [11/200], Train Loss: 0.0166, Test Loss: 0.0173
Epoch [12/200], Train Loss: 0.0163, Test Loss: 0.0169
Epoch [13/200], Train Loss: 0.0163, Test Loss: 0.0166
Epoch [14/200], Train Loss: 0.0149, Test Loss: 0.0159
Epoch [15/200], Train Loss: 0.0142, Test Loss: 0.0153
Epoch [16/200], Train Loss: 0.0207, Test Loss: 0.0252
Epoch [17/200], Train Loss: 0.0225, Test Loss: 0.0188
Epoch [18/200], Train Loss: 0.0188, Test Loss: 0.0170
Epoch [19/200], Train Loss: 0.0167, Test Loss: 0.0161
Epoch [20/200], Train Loss: 0.0152, Test Loss: 0.0156
Epoch [21/200], Train Loss: 0.0142, Test Loss: 0.0153
Epoch [22/200], Train Loss: 0.0134, Test Loss: 0.0150
Epoch [23/200], Train Loss: 0.0128, Test Loss: 0.0148
Epoch [24/200], Train Loss: 0.0123, Test Loss: 0.0146
Epoch [25/200], Train Loss: 0.0121, Test Loss: 0.0146
Epoch [26/200], Train Loss: 0.0117, Test Loss: 0.0148
Epoch [27/200], Train Loss: 0.0115, Test Loss: 0.0145
Epoch [28/200], Train Loss: 0.0124, Test Loss: 0.0144
Epoch [29/200], Train Loss: 0.0111, Test Loss: 0.0142
Epoch [30/200], Train Loss: 0.0105, Test Loss: 0.0142
Epoch [31/200], Train Loss: 0.0102, Test Loss: 0.0142
Epoch [32/200], Train Loss: 0.0102, Test Loss: 0.0144
Epoch [33/200], Train Loss: 0.0113, Test Loss: 0.0148
Epoch [34/200], Train Loss: 0.0108, Test Loss: 0.0140
Epoch [35/200], Train Loss: 0.0099, Test Loss: 0.0139
Epoch [36/200], Train Loss: 0.0094, Test Loss: 0.0140
Epoch [37/200], Train Loss: 0.0091, Test Loss: 0.0139
Epoch [38/200], Train Loss: 0.0091, Test Loss: 0.0143
Epoch [39/200], Train Loss: 0.0091, Test Loss: 0.0148
Epoch [40/200], Train Loss: 0.0091, Test Loss: 0.0149
Epoch [41/200], Train Loss: 0.0090, Test Loss: 0.0142
Epoch [42/200], Train Loss: 0.0092, Test Loss: 0.0199
Epoch [43/200], Train Loss: 0.0127, Test Loss: 0.0138
Epoch [44/200], Train Loss: 0.0097, Test Loss: 0.0134
Epoch [45/200], Train Loss: 0.0087, Test Loss: 0.0136
Epoch [46/200], Train Loss: 0.0083, Test Loss: 0.0137
Epoch [47/200], Train Loss: 0.0081, Test Loss: 0.0136
Epoch [48/200], Train Loss: 0.0079, Test Loss: 0.0136
Epoch [49/200], Train Loss: 0.0082, Test Loss: 0.0138
Epoch [50/200], Train Loss: 0.0079, Test Loss: 0.0138
Epoch [51/200], Train Loss: 0.0086, Test Loss: 0.0142
Epoch [52/200], Train Loss: 0.0086, Test Loss: 0.0133
Epoch [53/200], Train Loss: 0.0077, Test Loss: 0.0132
Epoch [54/200], Train Loss: 0.0074, Test Loss: 0.0133
Epoch [55/200], Train Loss: 0.0073, Test Loss: 0.0134
Epoch [56/200], Train Loss: 0.0085, Test Loss: 0.0137
Epoch [57/200], Train Loss: 0.0078, Test Loss: 0.0134
Epoch [58/200], Train Loss: 0.0087, Test Loss: 0.0144
Epoch [59/200], Train Loss: 0.0078, Test Loss: 0.0138
Epoch [60/200], Train Loss: 0.0073, Test Loss: 0.0137
Epoch [61/200], Train Loss: 0.0073, Test Loss: 0.0136
Epoch [62/200], Train Loss: 0.0069, Test Loss: 0.0135
Epoch [63/200], Train Loss: 0.0067, Test Loss: 0.0136
Epoch [64/200], Train Loss: 0.0066, Test Loss: 0.0137
Epoch [65/200], Train Loss: 0.0065, Test Loss: 0.0138
Epoch [66/200], Train Loss: 0.0066, Test Loss: 0.0153
Epoch [67/200], Train Loss: 0.0110, Test Loss: 0.0146
Epoch [68/200], Train Loss: 0.0097, Test Loss: 0.0130
Epoch [69/200], Train Loss: 0.0082, Test Loss: 0.0127
Epoch [70/200], Train Loss: 0.0075, Test Loss: 0.0126
Epoch [71/200], Train Loss: 0.0070, Test Loss: 0.0126
Epoch [72/200], Train Loss: 0.0067, Test Loss: 0.0127
Epoch [73/200], Train Loss: 0.0065, Test Loss: 0.0124
Epoch [74/200], Train Loss: 0.0085, Test Loss: 0.0229
Epoch [75/200], Train Loss: 0.0104, Test Loss: 0.0127
Epoch [76/200], Train Loss: 0.0076, Test Loss: 0.0124
Epoch [77/200], Train Loss: 0.0069, Test Loss: 0.0122
Epoch [78/200], Train Loss: 0.0067, Test Loss: 0.0124
Epoch [79/200], Train Loss: 0.0066, Test Loss: 0.0127
Epoch [80/200], Train Loss: 0.0077, Test Loss: 0.0145
Epoch [81/200], Train Loss: 0.0079, Test Loss: 0.0125
Epoch [82/200], Train Loss: 0.0066, Test Loss: 0.0121
Epoch [83/200], Train Loss: 0.0064, Test Loss: 0.0122
Epoch [84/200], Train Loss: 0.0063, Test Loss: 0.0121
