,gene_id,value_1,y,scores
0,XLOC_000001,0.0,0,-6.970554
1,XLOC_000003,0.0,0,-6.970554
2,XLOC_000006,0.0888452,0,-6.970554
3,XLOC_000007,4.04743,1,-6.970554
4,XLOC_000008,26.7934,1,-5.0693164
5,XLOC_000009,24.8548,1,-4.6314535
6,XLOC_000014,0.0,0,-6.970554
7,XLOC_000015,7.51023,1,-5.9213467
8,XLOC_000017,0.120855,0,-6.970554
9,XLOC_000018,1.00624,0,-6.970554
10,XLOC_000019,11.733,1,-6.2684216
11,XLOC_000020,8.25444,1,-6.3817587
12,XLOC_000021,0.269335,0,-5.526238
13,XLOC_000023,0.0,0,-6.970554
14,XLOC_000024,9.82867,1,-2.2308655
15,XLOC_000025,7.46963,1,-6.3294563
16,XLOC_000026,18.5982,1,-6.5174227
17,XLOC_000027,1.24157,1,-6.970554
18,XLOC_000028,9.91076,1,-4.0570073
19,XLOC_000029,13.191,1,-3.5219588
20,XLOC_000031,8.76341,1,-5.892057
21,XLOC_000032,0.131307,0,-6.707737
22,XLOC_000033,0.0,0,-6.707737
23,XLOC_000034,0.324163,0,-6.707737
24,XLOC_000035,0.0475537,0,-6.3727283
25,XLOC_000036,0.0174318,0,-6.970554
26,XLOC_000037,16.2494,1,-6.4805408
27,XLOC_000038,13.3034,1,-3.542161
28,XLOC_000039,24.2593,1,-3.773511
29,XLOC_000040,0.156531,0,-6.970554
30,XLOC_000041,10.7759,1,-5.5053377
31,XLOC_000042,13.2496,1,-1.507425
32,XLOC_000043,0.0,0,-6.970554
33,XLOC_000044,0.166568,0,-5.4381375
34,XLOC_000045,0.0,0,-5.4381375
35,XLOC_000046,8.07647,1,-5.7496033
36,XLOC_000047,30.36,1,-0.6596104
37,XLOC_000048,0.711576,0,-6.0515866
38,XLOC_000049,0.0,0,-6.970554
39,XLOC_000050,17.757,1,5.005527
40,XLOC_000051,2.97393,1,-4.733319
41,XLOC_000054,0.0349513,0,-6.970554
42,XLOC_000055,6.40811,1,-5.9463673
43,XLOC_000056,2.68555,1,-6.970554
