,gene_id,value_1,y,scores
0,XLOC_000001,0.0,0,-6.9799595
1,XLOC_000003,0.0,0,-6.9799595
2,XLOC_000006,0.0888452,1,-6.9799595
3,XLOC_000007,4.04743,2,-6.9799595
4,XLOC_000008,26.7934,3,-5.144913
5,XLOC_000009,24.8548,3,-6.073059
6,XLOC_000014,0.0,0,-6.9799595
7,XLOC_000015,7.51023,2,-6.0986447
8,XLOC_000017,0.120855,1,-6.9799595
9,XLOC_000018,1.00624,1,-6.9799595
10,XLOC_000019,11.733,2,-6.198446
11,XLOC_000020,8.25444,2,-6.3122344
12,XLOC_000021,0.269335,1,-6.5089984
13,XLOC_000023,0.0,0,-6.9799595
14,XLOC_000024,9.82867,2,-4.7986913
15,XLOC_000025,7.46963,2,-5.851365
16,XLOC_000026,18.5982,3,-6.2660174
17,XLOC_000027,1.24157,2,-6.9799595
18,XLOC_000028,9.91076,2,-5.3633776
19,XLOC_000029,13.191,3,-4.3491654
20,XLOC_000031,8.76341,2,-6.0413213
21,XLOC_000032,0.131307,1,-6.7848506
22,XLOC_000033,0.0,0,-6.7848506
23,XLOC_000034,0.324163,1,-6.7848506
24,XLOC_000035,0.0475537,1,-6.9206367
25,XLOC_000036,0.0174318,1,-6.9799595
26,XLOC_000037,16.2494,3,-6.7875786
27,XLOC_000038,13.3034,3,-5.298415
28,XLOC_000039,24.2593,3,5.309357
29,XLOC_000040,0.156531,1,-6.9799595
30,XLOC_000041,10.7759,2,-6.499726
31,XLOC_000042,13.2496,3,-4.72098
32,XLOC_000043,0.0,0,-6.9799595
33,XLOC_000044,0.166568,1,-6.645562
34,XLOC_000045,0.0,0,-6.645562
35,XLOC_000046,8.07647,2,-6.5512676
36,XLOC_000047,30.36,3,-2.3567567
37,XLOC_000048,0.711576,1,-5.321315
38,XLOC_000049,0.0,0,-6.9799595
39,XLOC_000050,17.757,3,5.369223
40,XLOC_000051,2.97393,2,-4.01076
41,XLOC_000054,0.0349513,1,-6.9799595
42,XLOC_000055,6.40811,2,-6.3332505
43,XLOC_000056,2.68555,2,-6.9799595
44,XLOC_000058,0.143781,1,-6.9799595
45,XLOC_000059,23.896,3,-6.9799595
46,XLOC_000060,1.13738,1,-4.569974
47,XLOC_000061,3.33722,2,-5.5881658
48,XLOC_000062,6.2439,2,-6.7875786
49,XLOC_000063,4.87216,2,-4.159496
50,XLOC_000064,29.2068,3,-5.1627445
51,XLOC_000065,71.1452,3,-5.202553
52,XLOC_000066,2.69787,2,-6.9799595
53,XLOC_000067,196.96,3,-5.293768
54,XLOC_000068,0.255394,1,-4.3998837
55,XLOC_000071,0.0156715,1,-6.9799595
56,XLOC_000072,0.821226,1,-5.612633
57,XLOC_000073,0.0,0,-6.9799595
58,XLOC_000075,8.95032,2,-5.0152893
59,XLOC_000076,4.77137,2,-4.9820495
60,XLOC_000077,73.5095,3,-5.3314524
61,XLOC_000078,5.45664,2,-5.9103055
62,XLOC_000079,7.76107,2,-6.9799595
63,XLOC_000080,6.96306,2,-4.467699
64,XLOC_000081,0.186204,1,-6.9799595
65,XLOC_000082,13.003,3,-3.4589145
