,gene_id,label,y,scores
0,XLOC_000001,0,0.0,-2.4917598
1,XLOC_000003,0,0.0,-2.4917598
2,XLOC_000006,0,0.0888452,-2.4917598
3,XLOC_000007,1,4.04743,-2.4917598
4,XLOC_000008,1,26.7934,-1.3254396
5,XLOC_000009,1,24.8548,-1.9454212
6,XLOC_000014,0,0.0,-2.4917598
7,XLOC_000015,1,7.51023,-1.8715146
8,XLOC_000017,0,0.120855,-2.4917598
9,XLOC_000018,0,1.00624,-2.3110094
10,XLOC_000019,1,11.733,-1.7697402
11,XLOC_000020,1,8.25444,-1.3017304
12,XLOC_000021,0,0.269335,-2.328974
13,XLOC_000023,0,0.0,-1.6255951
14,XLOC_000024,1,9.82867,-0.76674694
15,XLOC_000025,1,7.46963,-2.276191
16,XLOC_000026,1,18.5982,-1.6499939
17,XLOC_000027,1,1.24157,-2.4917598
18,XLOC_000028,1,9.91076,-0.7781292
19,XLOC_000029,1,13.191,-1.6555122
20,XLOC_000031,1,8.76341,-1.2656282
21,XLOC_000032,0,0.131307,-1.6377736
22,XLOC_000033,0,0.0,-1.6377736
23,XLOC_000034,0,0.324163,-1.6377736
24,XLOC_000035,0,0.0475537,-2.4554877
25,XLOC_000036,0,0.0174318,-2.4917598
26,XLOC_000037,1,16.2494,-1.6864237
27,XLOC_000038,1,13.3034,0.032428384
28,XLOC_000039,1,24.2593,-0.57670814
29,XLOC_000040,0,0.156531,-2.4917598
30,XLOC_000041,1,10.7759,-1.1073389
31,XLOC_000042,1,13.2496,-0.9300405
32,XLOC_000043,0,0.0,-2.4917598
33,XLOC_000044,0,0.166568,-1.3867843
34,XLOC_000045,0,0.0,-1.3867843
35,XLOC_000046,1,8.07647,-0.65190184
36,XLOC_000047,1,30.36,-1.022268
37,XLOC_000048,0,0.711576,-2.3015988
38,XLOC_000049,0,0.0,-2.4917598
39,XLOC_000050,1,17.757,-0.48966342
40,XLOC_000051,1,2.97393,-0.91044223
41,XLOC_000054,0,0.0349513,-2.4917598
42,XLOC_000055,1,6.40811,-1.9583495
43,XLOC_000056,1,2.68555,-2.4917598
44,XLOC_000058,0,0.143781,-2.4485314
45,XLOC_000059,1,23.896,-2.4917598
46,XLOC_000060,0,1.13738,-1.427804
47,XLOC_000061,1,3.33722,-1.8402256
48,XLOC_000062,1,6.2439,-2.2210112
49,XLOC_000063,1,4.87216,-0.45722502
50,XLOC_000064,1,29.2068,-1.6550791
51,XLOC_000065,1,71.1452,-1.2042893
52,XLOC_000066,1,2.69787,-1.8684151
53,XLOC_000067,1,196.96,-1.57629
54,XLOC_000068,0,0.255394,-0.46139115
55,XLOC_000071,0,0.0156715,-2.4917598
56,XLOC_000072,0,0.821226,1.2996972
57,XLOC_000073,0,0.0,-2.4917598
58,XLOC_000075,1,8.95032,-0.8761609
59,XLOC_000076,1,4.77137,-0.58160543
60,XLOC_000077,1,73.5095,-0.33841494
61,XLOC_000078,1,5.45664,-1.1247997
62,XLOC_000079,1,7.76107,-2.4917598
63,XLOC_000080,1,6.96306,-0.44340682
64,XLOC_000081,0,0.186204,-2.3777194
65,XLOC_000082,1,13.003,-0.8363029
66,XLOC_000083,1,17.0285,-1.0362372
67,XLOC_000084,1,100.183,-0.7902693
68,XLOC_000085,1,10.6686,-1.9545001
69,XLOC_000086,1,9.67349,-2.0291898
70,XLOC_000087,1,63.2631,-0.89290535
71,XLOC_000088,0,0.0648115,-2.0921502
72,XLOC_000089,1,12.1394,-1.9510611
73,XLOC_000090,0,0.0139357,-2.0387769
74,XLOC_000091,1,8.64857,-1.7865181
75,XLOC_000092,1,5.60168,-2.1628807
76,XLOC_000093,0,0.179327,-2.4917598
77,XLOC_000094,1,20.3065,-0.51805466
78,XLOC_000095,1,9.75584,-2.4917598
79,XLOC_000096,1,43.4767,-1.2505884
80,XLOC_000097,1,27.6206,-1.5196099
81,XLOC_000098,1,10.9222,-1.1326994
82,XLOC_000099,0,0.0175443,-2.4917598
83,XLOC_000100,0,0.0347552,-2.4917598
84,XLOC_000101,1,2.71852,-0.47234353
85,XLOC_000102,0,0.0,-0.47234353
86,XLOC_000105,0,0.0,-2.4917598
87,XLOC_000106,0,0.0,-2.4917598
88,XLOC_000107,0,0.0,-2.4917598
89,XLOC_000108,0,0.0,-2.4917598
90,XLOC_000109,0,0.0,-2.4917598
91,XLOC_000110,0,0.0,-2.4917598
92,XLOC_000111,0,0.0,-2.4917598
93,XLOC_000112,0,0.0,-2.4917598
94,XLOC_000113,0,0.0,-2.4917598
95,XLOC_000114,0,0.0,-2.4917598
