histone_marker,train_loss_avg,train_accuracy_avg,train_auc_avg,val_loss_avg,val_accuracy_avg,val_auc_avg,test_accuracy,test_auc,number_of_histones,order_by_test_acc
H3K4me3-H3K9ac-H3K9me3-H3K27ac-H3K27me3,0.5799,70.9738,0.7081,0.5833,70.6105,0.7028,70.86,0.7048,5,2
H3K4me3-H3K9ac-H3K27ac-H3K27me3,0.5868,70.5876,0.7008,0.5893,70.294,0.699,69.88,0.6955,4,18
H3K4me3-H3K9ac-H3K9me3-H3K27ac,0.5916,70.5286,0.7001,0.5957,70.1595,0.696,70.14,0.6973,4,11
H3K4me3-H3K9ac-H3K9me3-H3K27me3,0.5862,70.6351,0.7008,0.5893,70.2557,0.697,70.94,0.7052,4,1
H3K4me3-H3K9me3-H3K27ac-H3K27me3,0.5866,70.624,0.7008,0.59,70.1946,0.6971,69.3,0.6891,4,26
H3K9ac-H3K9me3-H3K27ac-H3K27me3,0.5876,70.5765,0.7003,0.5892,70.2502,0.6967,70.61,0.6978,4,4
H3K4me3-H3K27ac-H3K27me3,0.588,70.6199,0.7025,0.5899,70.2838,0.7007,70.17,0.6986,3,10
H3K4me3-H3K9ac-H3K27ac,0.5908,70.5271,0.6999,0.5955,70.0775,0.694,69.54,0.6894,3,23
H3K4me3-H3K9ac-H3K27me3,0.5866,70.6179,0.7009,0.5882,70.4363,0.6993,70.52,0.7004,3,5
H3K4me3-H3K9ac-H3K9me3,0.5933,70.2794,0.6993,0.5983,69.8092,0.6933,69.1,0.6865,3,28
H3K4me3-H3K9me3-H3K27ac,0.5955,70.3395,0.6997,0.5992,69.89,0.6928,69.7,0.6895,3,21
H3K4me3-H3K9me3-H3K27me3,0.5898,70.3836,0.6996,0.5932,70.1049,0.6969,70.07,0.6961,3,14
H3K9ac-H3K27ac-H3K27me3,0.5883,70.5336,0.7002,0.5894,70.3974,0.6988,70.21,0.6981,3,9
H3K9ac-H3K9me3-H3K27ac,0.5919,70.4074,0.6998,0.5943,70.0432,0.6948,70.07,0.6939,3,15
H3K9ac-H3K9me3-H3K27me3,0.5906,70.3622,0.6995,0.5902,70.2397,0.6978,70.08,0.6964,3,12
H3K9me3-H3K27ac-H3K27me3,0.589,70.362,0.6992,0.5894,70.2821,0.6967,70.27,0.6967,3,8
H3K27ac-H3K27me3,0.5956,70.225,0.6991,0.5944,70.2548,0.6977,70.81,0.7031,2,3
H3K4me3-H3K27ac,0.5929,70.5295,0.6997,0.5953,70.201,0.6975,69.81,0.6946,2,19
H3K4me3-H3K27me3,0.5939,70.2393,0.6994,0.5957,69.9579,0.6953,69.56,0.6918,2,22
H3K4me3-H3K9ac,0.6007,70.0109,0.6958,0.6042,69.6675,0.6907,69.93,0.6921,2,16
H3K4me3-H3K9me3,0.6001,70.0978,0.6986,0.6026,69.8185,0.6929,70.08,0.6968,2,13
H3K9ac-H3K27ac,0.5909,70.5229,0.701,0.5931,70.3471,0.6991,70.39,0.699,2,7
H3K9ac-H3K27me3,0.592,70.3483,0.6994,0.5925,70.2569,0.6982,69.77,0.6948,2,20
H3K9ac-H3K9me3,0.6034,69.7787,0.6944,0.6056,69.4413,0.6897,69.23,0.6884,2,27
H3K9me3-H3K27ac,0.5937,70.3703,0.6995,0.5928,70.4128,0.699,70.41,0.6986,2,6
H3K9me3-H3K27me3,0.6553,64.5692,0.6398,0.6503,65.4418,0.6493,65.59,0.651,2,29
H3K27ac,0.6028,70.2555,0.6986,0.6004,70.1083,0.6956,69.9,0.6937,1,17
H3K27me3,0.6839,59.6183,0.5833,0.6817,60.0461,0.5869,60.12,0.5844,1,30
H3K4me3,0.6057,69.8869,0.6934,0.6089,69.5996,0.6909,69.49,0.6892,1,24
H3K9ac,0.6132,69.2628,0.6894,0.6174,68.8463,0.6837,69.32,0.6889,1,25
H3K9me3,0.7004,58.1032,0.5687,0.6992,58.5621,0.5742,59.54,0.583,1,31
