gene_id,H3K9ac_wc,H3K9me3_wc,H3K4me3_wc,H3K27ac_wc,H3K27me3_wc,value_1,value_2
XLOC_000001,0,0,0,0,0,0.0,0.0
XLOC_000003,0,0,0,0,0,0.0,0.0
XLOC_000006,33,46,23,4,100,0.0888452,0.136965
XLOC_000007,33,46,23,4,100,4.04743,4.16567
XLOC_000008,25,3,18,16,0,26.7934,30.2747
XLOC_000009,60,18,27,53,5,24.8548,23.2528
XLOC_000014,35,18,5,2,91,0.0,0.0
XLOC_000015,59,25,25,34,9,7.51023,7.59228
XLOC_000017,48,7,0,13,41,0.120855,0.0664459
XLOC_000018,27,0,7,17,19,1.00624,1.07668
XLOC_000019,64,39,52,63,0,11.733,11.1411
XLOC_000020,64,9,31,50,0,8.25444,6.59031
XLOC_000021,40,30,14,13,18,0.269335,0.213402
XLOC_000023,52,3,38,50,0,0.0,0.00621146
XLOC_000024,37,7,29,39,0,9.82867,9.63041
XLOC_000025,50,10,41,42,0,7.46963,6.89183
XLOC_000026,91,28,84,89,0,18.5982,16.9238
XLOC_000027,8,0,3,0,44,1.24157,1.13651
XLOC_000028,46,3,29,24,0,9.91076,9.64919
XLOC_000029,46,0,28,23,5,13.191,12.2441
XLOC_000031,38,12,32,26,0,8.76341,8.61321
XLOC_000032,30,24,15,20,5,0.131307,0.0396541
XLOC_000033,30,24,15,20,5,0.0,0.0
XLOC_000034,30,24,15,20,5,0.324163,0.411097
XLOC_000035,53,18,21,18,37,0.0475537,0.113447
XLOC_000036,11,22,0,1,83,0.0174318,0.0
XLOC_000037,70,8,42,55,11,16.2494,16.5553
XLOC_000038,74,23,66,64,15,13.3034,13.3569
XLOC_000039,36,9,26,27,0,24.2593,23.2591
XLOC_000040,4,38,0,0,62,0.156531,0.172844
XLOC_000041,37,6,19,27,21,10.7759,11.0972
XLOC_000042,39,12,29,26,0,13.2496,12.0655
XLOC_000043,4,7,0,0,72,0.0,0.0
XLOC_000044,30,22,28,23,94,0.166568,0.169022
XLOC_000045,30,22,28,23,94,0.0,0.0
XLOC_000046,73,12,46,63,0,8.07647,8.40772
XLOC_000047,34,9,27,23,0,30.36,31.4889
XLOC_000048,35,18,38,22,38,0.711576,0.597466
XLOC_000049,5,4,3,1,58,0.0,0.0305687
XLOC_000050,76,17,45,70,5,17.757,14.8765
XLOC_000051,31,3,25,18,0,2.97393,3.82323
XLOC_000054,5,0,0,4,49,0.0349513,0.0
XLOC_000055,43,19,29,22,0,6.40811,6.53563
XLOC_000056,34,13,27,26,0,2.68555,2.7363
XLOC_000058,26,31,22,0,83,0.143781,0.0
XLOC_000059,38,30,19,6,90,23.896,24.2946
XLOC_000060,32,4,27,22,0,1.13738,1.14045
XLOC_000061,40,3,23,35,6,3.33722,3.95918
XLOC_000062,40,20,39,34,7,6.2439,6.89177
XLOC_000063,21,7,17,16,0,4.87216,4.38835
XLOC_000064,26,2,30,23,0,29.2068,29.8033
XLOC_000065,15,5,17,14,3,71.1452,74.5847
XLOC_000066,17,0,13,16,0,2.69787,2.49556
XLOC_000067,13,3,15,11,0,196.96,192.302
XLOC_000068,68,21,63,75,8,0.255394,0.305259
XLOC_000071,24,5,11,24,11,0.0156715,0.0
XLOC_000072,67,7,60,62,0,0.821226,0.284468
XLOC_000073,0,0,0,3,44,0.0,0.0
XLOC_000075,32,0,29,44,0,8.95032,8.6073
XLOC_000076,35,8,32,29,0,4.77137,4.52166
XLOC_000077,46,7,43,68,3,73.5095,72.2269
XLOC_000078,34,3,19,29,0,5.45664,5.59153
XLOC_000079,7,8,9,0,45,7.76107,7.00598
XLOC_000080,23,0,23,26,0,6.96306,6.68273
XLOC_000081,14,10,13,11,19,0.186204,0.441497
XLOC_000082,22,0,39,18,0,13.003,12.8418
XLOC_000083,30,14,31,22,0,17.0285,16.8402
XLOC_000084,28,5,29,18,0,100.183,101.021
XLOC_000085,18,0,15,23,0,10.6686,10.6521
XLOC_000086,33,3,34,27,0,9.67349,9.55765
XLOC_000087,20,6,27,18,0,63.2631,62.1587
XLOC_000088,23,0,21,25,0,0.0648115,0.0561897
XLOC_000089,16,3,22,26,0,12.1394,11.7685
XLOC_000090,12,12,9,7,31,0.0139357,0.00825983
XLOC_000091,39,10,32,33,0,8.64857,8.4807
XLOC_000092,19,3,12,14,3,5.60168,5.56222
XLOC_000093,6,11,10,0,72,0.179327,0.171763
XLOC_000094,17,4,14,12,4,20.3065,20.1331
XLOC_000095,8,4,0,0,56,9.75584,10.2207
XLOC_000096,31,3,17,44,0,43.4767,40.3181
XLOC_000097,22,4,22,18,0,27.6206,27.8039
XLOC_000098,16,0,18,17,0,10.9222,10.766
XLOC_000099,0,5,0,0,38,0.0175443,0.0163626
XLOC_000100,6,0,3,0,72,0.0347552,0.0822555
XLOC_000101,22,6,22,16,3,2.71852,3.05535
XLOC_000102,22,6,22,16,3,0.0,0.0
XLOC_000105,0,2,0,0,33,0.0,0.0
XLOC_000106,0,0,0,0,10,0.0,0.0
XLOC_000107,0,0,0,0,3,0.0,0.0
XLOC_000108,0,4,0,0,26,0.0,0.0
XLOC_000109,0,0,0,0,4,0.0,0.0
XLOC_000110,0,0,0,0,11,0.0,0.0
XLOC_000111,0,0,0,0,0,0.0,0.0
XLOC_000112,0,0,0,0,0,0.0,0.0
XLOC_000113,0,0,0,0,0,0.0,0.0
XLOC_000114,0,0,0,0,0,0.0,0.0
XLOC_000115,0,0,0,0,0,0.0,0.0
XLOC_000116,0,0,0,0,0,0.0,0.0
XLOC_000117,0,0,0,0,0,0.0,0.0
XLOC_000118,0,0,0,0,0,0.0,0.0
XLOC_000119,0,0,0,0,0,0.0,0.0
XLOC_000120,0,4,0,0,24,0.196942,0.131747
XLOC_000121,0,3,0,0,0,2.9901,3.12218
XLOC_000122,0,4,0,0,33,10.0675,9.87483
XLOC_000123,0,4,0,0,33,9.08193,9.91107
XLOC_000124,5,0,5,0,29,0.0293579,0.0137384
XLOC_000125,29,0,20,16,29,10.8023,10.5227
XLOC_000126,4,0,0,0,19,0.0,0.0
XLOC_000127,0,0,0,0,12,0.0,0.0
XLOC_000128,0,0,0,0,20,0.0,0.0
XLOC_000129,28,0,38,22,0,9.02363,9.16948
XLOC_000130,31,4,36,33,0,18.9302,17.6597
XLOC_000131,27,7,28,24,0,11.2215,11.2636
XLOC_000132,38,0,5,20,8,0.110289,0.274044
XLOC_000133,38,0,5,20,8,0.613996,0.766638
XLOC_000134,49,5,30,33,19,8.85757,8.60336
XLOC_000135,38,6,39,37,0,5.71777,5.84416
XLOC_000136,15,0,10,18,0,11.2468,10.331
XLOC_000137,36,7,10,16,86,0.0,0.0
XLOC_000138,13,4,0,0,68,0.0,0.0
XLOC_000140,19,0,20,18,0,30.4192,28.6822
XLOC_000141,15,3,18,14,0,16.5249,18.0808
XLOC_000143,22,7,23,15,0,0.528457,0.68639
XLOC_000144,22,7,23,15,0,0.0,0.0
XLOC_000147,0,0,0,0,0,2.92653,3.08416
XLOC_000149,0,0,0,0,22,0.0,0.0164999
XLOC_000150,0,10,0,0,39,0.0336751,0.0131462
XLOC_000151,0,0,0,0,19,0.014488,0.102803
XLOC_000153,25,3,25,14,13,13.4477,14.0953
XLOC_000154,0,15,0,0,11,0.74506,0.691883
XLOC_000155,0,6,0,0,53,0.0,0.0650416
XLOC_000156,13,0,11,14,0,1.63338,1.4794
XLOC_000157,3,0,0,0,75,0.0,0.0
XLOC_000158,30,4,26,24,0,22.0826,21.2288
XLOC_000159,41,9,26,27,0,13.1135,11.5307
XLOC_000160,18,5,21,15,0,12.4457,12.7038
XLOC_000161,18,5,21,15,0,5.22253,5.24437
XLOC_000162,14,11,13,6,59,0.0,0.0
XLOC_000163,17,6,16,13,0,3.87993,4.13006
XLOC_000164,0,0,0,0,23,0.0,0.0272067
XLOC_000165,3,3,0,0,50,0.0,0.0
XLOC_000166,10,3,9,12,16,0.0833001,0.0480349
XLOC_000167,2,7,0,0,54,0.0,0.00841833
XLOC_000168,32,5,28,21,8,2.41063,2.20902
XLOC_000169,11,0,11,7,5,2.57017,3.10013
XLOC_000170,14,0,13,6,3,4.32737,3.65719
XLOC_000171,34,14,32,15,19,2.66844,3.26152
XLOC_000172,15,3,9,3,47,1.05183,1.41053
XLOC_000173,0,4,0,0,37,0.0323338,0.0193551
XLOC_000174,16,0,0,42,0,0.0,0.0
XLOC_000175,11,6,0,43,0,0.0,0.058719
XLOC_000177,34,7,29,18,0,134.521,137.991
XLOC_000178,17,3,24,27,0,5.05657,4.93965
XLOC_000179,0,15,0,0,89,0.0,0.0337266
XLOC_000180,0,4,0,0,29,0.0,0.0
XLOC_000181,0,0,0,0,45,0.0,0.0
XLOC_000182,0,0,0,0,42,0.0,0.0408302
XLOC_000183,15,10,15,4,58,0.073954,0.0252145
XLOC_000184,31,4,32,21,0,41.8192,41.4865
XLOC_000185,31,4,32,21,0,0.0,0.0
XLOC_000186,31,4,32,24,0,1.00219,1.14879
XLOC_000187,31,6,24,32,0,0.791812,0.0930501
XLOC_000188,31,6,24,32,0,1.55233,2.07341
XLOC_000189,8,0,0,0,0,0.0471918,0.111814
XLOC_000190,26,8,22,17,0,915.771,939.849
XLOC_000191,24,3,25,24,5,10.6051,10.1158
XLOC_000192,26,4,23,30,0,22.9224,20.1728
XLOC_000193,44,3,28,32,0,46.7782,45.821
XLOC_000194,0,0,3,0,0,58.0344,57.1455
XLOC_000197,0,0,0,0,15,0.0419583,0.112833
XLOC_000198,23,3,37,10,0,2.92734,2.97853
XLOC_000199,20,0,26,17,0,7.57905,6.91543
XLOC_000200,24,6,26,22,0,3.23312,3.7271
XLOC_000201,0,0,0,0,3,16.651,16.4599
XLOC_000202,29,5,39,26,0,90.357,94.7474
XLOC_000204,18,8,32,21,0,0.16082,0.385428
XLOC_000205,18,8,32,21,0,37.1892,37.369
XLOC_000206,23,12,27,21,0,7.06927,6.67315
XLOC_000207,27,9,20,15,4,4.55354,3.63337
XLOC_000209,21,11,22,5,24,0.0558323,0.112055
XLOC_000210,19,3,15,10,8,20.3949,20.1073
XLOC_000211,9,0,6,3,37,0.121057,0.103288
XLOC_000212,26,11,25,24,0,2.1687,2.55468
XLOC_000213,27,9,11,5,79,0.0,0.0
XLOC_000214,27,0,16,10,7,39.5829,38.1381
XLOC_000215,13,0,14,10,3,2.02097,1.90415
XLOC_000216,0,5,0,0,18,0.0,0.0
XLOC_000218,16,0,19,16,0,30.5976,28.3506
XLOC_000219,16,0,0,0,4,0.220951,0.134744
XLOC_000220,0,6,0,0,29,0.899801,1.43979
XLOC_000221,14,0,14,11,0,127.128,128.502
XLOC_000222,30,0,31,34,0,13.791,13.281
XLOC_000223,30,0,31,34,0,0.0,0.0
XLOC_000224,63,15,62,62,0,9.42113,9.72913
XLOC_000225,27,0,23,40,0,6.95536,7.41707
XLOC_000226,34,6,23,24,0,8.0957,7.92134
XLOC_000227,42,0,34,30,0,6.90897,6.64324
XLOC_000228,23,0,21,25,0,98.6757,99.6222
XLOC_000229,77,11,68,85,0,52.4294,51.4618
XLOC_000230,17,6,23,14,0,5.35409,4.62066
XLOC_000231,15,2,14,11,8,14.298,13.5658
XLOC_000232,15,2,14,11,8,0.807879,0.939898
XLOC_000233,32,0,26,25,0,9.33991,9.76113
