,histone_marker,train_loss_avg,train_accuracy_avg,train_auc_avg,val_loss_avg,val_accuracy_avg,val_auc_avg,test_accuracy,test_auc
0,H3K9ac-H3K9me3-H3K27me3,0.6079,69.2429,0.6886,0.6092,68.853,0.6815,68.47,0.6777
1,H3K4me3-H3K9ac-H3K9me3-H3K27ac,0.5997,69.9805,0.693,0.6041,69.3758,0.6866,69.78,0.6914
2,H3K27ac,0.6244,68.9844,0.6861,0.6202,69.023,0.6851,68.64,0.6812
3,H3K4me3-H3K9ac-H3K27ac-H3K27me3,0.5937,70.2609,0.6987,0.5998,69.663,0.692,70.43,0.6983
4,H3K4me3-H3K9me3-H3K27ac-H3K27me3,0.6014,69.9278,0.6941,0.605,69.2046,0.6862,69.01,0.6845
5,H3K9ac-H3K9me3-H3K27ac-H3K27me3,0.6082,69.6976,0.6907,0.6079,69.3844,0.6883,69.31,0.6871
6,H3K9me3-H3K27ac-H3K27me3,0.6106,68.9346,0.6848,0.6084,69.066,0.6841,69.51,0.6874
7,H3K4me3-H3K9ac-H3K27ac,0.6009,69.9464,0.6949,0.605,69.3917,0.688,69.79,0.6911
8,H3K27ac-H3K27me3,0.6141,68.9172,0.6843,0.6119,69.0052,0.6835,69.85,0.6924
9,H3K4me3-H3K9me3-H3K27ac,0.6007,70.0131,0.6974,0.6055,69.4767,0.6903,69.33,0.6889
10,H3K4me3-H3K9ac-H3K9me3-H3K27me3,0.5987,69.8377,0.6931,0.6043,69.1951,0.6868,69.39,0.6892
11,H3K4me3-H3K27ac,0.6039,69.8944,0.6929,0.6074,69.344,0.6875,69.4,0.6882
12,H3K9me3-H3K27ac,0.6145,68.9113,0.6847,0.6105,69.0791,0.6853,69.79,0.6919
13,H3K4me3-H3K27me3,0.6084,69.5399,0.6893,0.6116,69.1485,0.6863,68.82,0.6846
14,H3K4me3-H3K27ac-H3K27me3,0.6061,69.8973,0.6961,0.6102,69.3338,0.6895,70.11,0.6973
15,H3K9ac,0.6147,69.2515,0.6889,0.6145,69.0574,0.6852,68.35,0.6794
16,H3K4me3,0.6121,69.4519,0.6896,0.6146,68.9348,0.6828,68.67,0.6813
17,H3K4me3-H3K9ac,0.6037,69.7295,0.6925,0.6076,69.2394,0.6881,68.64,0.6832
18,H3K9me3-H3K27me3,0.7038,54.2527,0.5209,0.7048,54.3441,0.5179,55.07,0.5227
19,H3K9ac-H3K27ac,0.6102,69.6498,0.6892,0.6104,69.3257,0.6861,69.06,0.6871
20,H3K9ac-H3K27me3,0.6109,69.2229,0.6891,0.6104,69.0127,0.6864,69.2,0.6887
21,H3K4me3-H3K9me3,0.6073,69.5661,0.6897,0.6105,69.0972,0.6858,69.21,0.6868
22,H3K9me3,0.7151,52.6071,0.5,0.715,52.7678,0.4999,53.54,0.5
23,H3K9ac-H3K9me3,0.6145,69.2357,0.6882,0.616,68.8566,0.6816,69.41,0.6866
24,H3K9ac-H3K27ac-H3K27me3,0.6023,69.8459,0.6946,0.6026,69.566,0.6906,69.07,0.6865
25,H3K4me3-H3K9me3-H3K27me3,0.6084,69.5617,0.6897,0.612,69.0566,0.6854,69.68,0.6906
26,H3K4me3-H3K9ac-H3K27me3,0.6009,69.842,0.6947,0.6047,69.4538,0.6892,69.26,0.6882
27,H3K9ac-H3K9me3-H3K27ac,0.6037,69.8281,0.6956,0.6038,69.5322,0.6917,69.59,0.6925
28,H3K4me3-H3K9ac-H3K9me3-H3K27ac-H3K27me3,0.6009,69.8612,0.6912,0.6057,69.1864,0.6853,69.91,0.695
29,H3K27me3,0.7135,53.2318,0.5082,0.7133,53.3722,0.508,52.6,0.5054
30,H3K4me3-H3K9ac-H3K9me3,0.6066,69.5839,0.6894,0.6102,69.0864,0.6857,70.09,0.6927
