id,histone_marks,number_of_histones,E066_val_acc,E066_test_acc,E066_rank_by_test_acc,HepG2_val_acc,HepG2_test_acc,HepG2_rank_by_test_acc
1,H3K4me3-H3K9ac-H3K9me3-H3K27ac-H3K27me3,5,76.7244,76.17,12,70.6105,70.86,2
2,H3K4me3-H3K9ac-H3K27ac-H3K27me3,4,76.7728,76.65,5,70.294,69.88,18
3,H3K4me3-H3K9ac-H3K9me3-H3K27ac,4,76.7842,76.8,4,70.1595,70.14,11
4,H3K4me3-H3K9ac-H3K9me3-H3K27me3,4,76.1601,76.25,10,70.2557,70.94,1
5,H3K4me3-H3K9me3-H3K27ac-H3K27me3,4,76.6654,77.34,1,70.1946,69.3,26
6,H3K9ac-H3K9me3-H3K27ac-H3K27me3,4,76.5195,76.52,7,70.2502,70.61,4
7,H3K4me3-H3K27ac-H3K27me3,3,76.4883,76.01,16,70.2838,70.17,10
8,H3K4me3-H3K9ac-H3K27ac,3,76.6717,76.07,14,70.0775,69.54,23
9,H3K4me3-H3K9ac-H3K27me3,3,75.7109,76.16,13,70.4363,70.52,5
10,H3K4me3-H3K9ac-H3K9me3,3,75.8993,76.22,11,69.8092,69.1,28
11,H3K4me3-H3K9me3-H3K27ac,3,76.4502,76.86,2,69.89,69.7,21
12,H3K4me3-H3K9me3-H3K27me3,3,75.401,75.4,21,70.1049,70.07,14
13,H3K9ac-H3K27ac-H3K27me3,3,76.3218,76.3,8,70.3974,70.21,9
14,H3K9ac-H3K9me3-H3K27ac,3,76.4436,76.83,3,70.0432,70.07,15
15,H3K9ac-H3K9me3-H3K27me3,3,75.6576,75.56,20,70.2397,70.08,12
16,H3K9me3-H3K27ac-H3K27me3,3,75.4892,75.32,23,70.2821,70.27,8
17,H3K27ac-H3K27me3,2,75.3353,75.04,24,70.2548,70.81,3
18,H3K4me3-H3K27ac,2,76.5546,76.27,9,70.201,69.81,19
19,H3K4me3-H3K27me3,2,74.4154,74.68,27,69.9579,69.56,22
20,H3K4me3-H3K9ac,2,75.7571,76.62,6,69.6675,69.93,16
21,H3K4me3-H3K9me3,2,74.8676,75.04,25,69.8185,70.08,13
22,H3K9ac-H3K27ac,2,76.2213,76.06,15,70.3471,70.39,7
23,H3K9ac-H3K27me3,2,75.3185,73.81,28,70.2569,69.77,20
24,H3K9ac-H3K9me3,2,75.5029,75.34,22,69.4413,69.23,27
25,H3K9me3-H3K27ac,2,75.4283,75.96,17,70.4128,70.41,6
26,H3K9me3-H3K27me3,2,62.504,62.33,29,65.4418,65.59,29
27,H3K27ac,1,75.4619,75.61,19,70.1083,69.9,17
28,H3K27me3,1,60.1242,60.46,30,60.0461,60.12,30
29,H3K4me3,1,74.1166,74.85,26,69.5996,69.49,24
30,H3K9ac,1,75.5091,75.9,18,68.8463,69.32,25
31,H3K9me3,1,57.2096,56.84,31,58.5621,59.54,31
