histone_marker,train_loss_avg,train_accuracy_avg,train_auc_avg,val_loss_avg,val_accuracy_avg,val_auc_avg,test_accuracy,test_auc,number_of_histones,order_by_test_acc
H3K4me3-H3K9ac-H3K9me3-H3K27ac-H3K27me3,0.5117,76.0672,0.7598,0.5005,76.7244,0.7667,76.17,0.7614,5,12
H3K4me3-H3K9ac-H3K27ac-H3K27me3,0.5122,76.0781,0.7597,0.5017,76.7728,0.7669,76.65,0.766,4,5
H3K4me3-H3K9ac-H3K9me3-H3K27ac,0.5166,76.0472,0.7594,0.5054,76.7842,0.7672,76.8,0.767,4,4
H3K4me3-H3K9ac-H3K9me3-H3K27me3,0.5189,75.51,0.7552,0.509,76.1601,0.7605,76.25,0.762,4,10
H3K4me3-H3K9me3-H3K27ac-H3K27me3,0.5148,75.9096,0.7595,0.5028,76.6654,0.7661,77.34,0.7731,4,1
H3K9ac-H3K9me3-H3K27ac-H3K27me3,0.5191,75.6025,0.7564,0.5041,76.5195,0.765,76.52,0.764,4,7
H3K4me3-H3K27ac-H3K27me3,0.5155,75.913,0.7595,0.5055,76.4883,0.7638,76.01,0.7591,3,16
H3K4me3-H3K9ac-H3K27ac,0.5188,75.9519,0.7595,0.5083,76.6717,0.7656,76.07,0.7596,3,14
H3K4me3-H3K9ac-H3K27me3,0.5242,75.2231,0.7501,0.5155,75.7109,0.7568,76.16,0.7605,3,13
H3K4me3-H3K9ac-H3K9me3,0.5284,75.2003,0.7502,0.5153,75.8993,0.7581,76.22,0.7605,3,11
H3K4me3-H3K9me3-H3K27ac,0.521,75.7683,0.7591,0.5095,76.4502,0.764,76.86,0.7679,3,2
H3K4me3-H3K9me3-H3K27me3,0.5286,74.9752,0.7494,0.5198,75.401,0.7538,75.4,0.7535,3,21
H3K9ac-H3K27ac-H3K27me3,0.5183,75.5864,0.7565,0.5063,76.3218,0.7621,76.3,0.7619,3,8
H3K9ac-H3K9me3-H3K27ac,0.5237,75.5555,0.7561,0.5102,76.4436,0.7643,76.83,0.7676,3,3
H3K9ac-H3K9me3-H3K27me3,0.5286,74.755,0.7485,0.5146,75.6576,0.7563,75.56,0.7547,3,20
H3K9me3-H3K27ac-H3K27me3,0.5333,74.6675,0.7478,0.5194,75.4892,0.7543,75.32,0.7526,3,23
H3K27ac-H3K27me3,0.5398,74.4909,0.7428,0.5253,75.3353,0.7519,75.04,0.7481,2,24
H3K4me3-H3K27ac,0.5243,75.7231,0.7583,0.5131,76.5546,0.7645,76.27,0.7614,2,9
H3K4me3-H3K27me3,0.5402,74.156,0.7395,0.5328,74.4154,0.7436,74.68,0.7459,2,27
H3K4me3-H3K9ac,0.5311,75.1517,0.7498,0.5214,75.7571,0.7567,76.62,0.7647,2,6
H3K4me3-H3K9me3,0.5409,74.5138,0.7445,0.5317,74.8676,0.7479,75.04,0.7499,2,25
H3K9ac-H3K27ac,0.5269,75.4773,0.7524,0.5144,76.2213,0.7606,76.06,0.7593,2,15
H3K9ac-H3K27me3,0.5315,74.6488,0.7472,0.5193,75.3185,0.7524,73.81,0.7371,2,28
H3K9ac-H3K9me3,0.5355,74.6138,0.7457,0.5222,75.5029,0.7536,75.34,0.7519,2,22
H3K9me3-H3K27ac,0.5395,74.615,0.7458,0.5257,75.4283,0.7535,75.96,0.7592,2,17
H3K9me3-H3K27me3,0.6507,62.2115,0.6203,0.6464,62.504,0.62,62.33,0.6163,2,29
H3K27ac,0.5455,74.5582,0.7444,0.533,75.4619,0.7532,75.61,0.7542,1,19
H3K27me3,0.6717,59.8038,0.5932,0.6683,60.1242,0.5943,60.46,0.5945,1,30
H3K4me3,0.5533,73.9408,0.7393,0.5455,74.1166,0.74,74.85,0.7466,1,26
H3K9ac,0.5429,74.5118,0.7436,0.5299,75.5091,0.7544,75.9,0.7576,1,18
H3K9me3,0.6964,56.7891,0.566,0.6935,57.2096,0.5651,56.84,0.561,1,31
