gene_id,H3K9ac_wc,H3K9me3_wc,H3K4me3_wc,H3K27ac_wc,H3K27me3_wc,E066
ENSG00000000003,38,0,31,41,0,73.205
ENSG00000000005,0,20,0,0,3,0.191
ENSG00000000419,67,8,47,35,0,52.609
ENSG00000000457,48,0,41,52,0,4.733
ENSG00000000460,0,29,0,0,0,0.942
ENSG00000000938,55,0,33,72,0,4.572
ENSG00000000971,59,0,65,62,0,566.609
ENSG00000001036,60,0,23,24,0,43.631
ENSG00000001084,93,0,68,94,0,25.767
ENSG00000001167,92,0,74,99,0,6.255
ENSG00000001460,44,0,47,38,0,0.298
ENSG00000001461,46,0,48,38,0,1.277
ENSG00000001497,32,68,24,14,16,8.53
ENSG00000001561,47,0,33,19,0,5.919
ENSG00000001617,42,0,29,54,0,1.751
ENSG00000001626,0,3,0,0,0,0.596
ENSG00000001629,77,0,49,28,0,4.787
ENSG00000001630,0,0,0,0,0,50.076
ENSG00000001631,78,0,48,27,0,6.381
ENSG00000002016,74,0,43,43,0,1.698
ENSG00000002330,52,0,34,33,6,15.838
ENSG00000002549,60,0,62,82,0,106.39
ENSG00000002586,53,0,47,68,0,76.013
ENSG00000002587,47,3,44,20,71,0.161
ENSG00000002726,19,0,35,49,0,8.353
ENSG00000002745,0,0,27,0,39,0.0
ENSG00000002746,0,0,0,0,100,0.015
ENSG00000002822,38,0,26,48,0,3.423
ENSG00000002834,72,0,69,72,0,41.127
ENSG00000002919,92,0,43,52,0,10.405
ENSG00000002933,90,9,100,100,0,611.87
ENSG00000003056,72,32,80,97,0,31.898
ENSG00000003096,36,0,23,26,0,1.85
ENSG00000003137,0,13,75,0,82,0.193
ENSG00000003147,48,48,52,26,0,3.823
ENSG00000003249,37,0,38,65,0,0.918
ENSG00000003393,61,0,66,47,0,5.233
ENSG00000003400,54,0,53,48,0,2.576
ENSG00000003402,75,0,68,86,0,6.755
ENSG00000003436,29,0,0,0,0,43.483
ENSG00000003509,77,0,38,19,0,5.694
ENSG00000003756,32,0,30,27,0,8.27
ENSG00000003987,0,13,16,0,0,0.308
ENSG00000003989,100,0,91,100,0,126.14
ENSG00000004059,70,0,63,73,0,86.465
ENSG00000004139,43,0,38,60,0,1.672
ENSG00000004399,84,0,70,100,0,8.998
ENSG00000004455,28,0,21,15,0,33.632
ENSG00000004468,25,0,33,23,0,2.925
ENSG00000004478,34,0,39,52,0,36.999
ENSG00000004487,47,8,58,29,0,12.52
ENSG00000004534,28,0,19,18,0,11.72
ENSG00000004660,31,0,43,37,0,0.396
ENSG00000004700,43,0,33,22,0,8.466
ENSG00000004766,50,0,34,14,0,2.528
ENSG00000004776,18,0,37,52,0,8.836
ENSG00000004777,44,0,17,0,0,0.438
ENSG00000004779,31,0,27,29,0,111.287
ENSG00000004799,86,0,88,83,0,209.055
ENSG00000004809,0,25,0,0,0,0.014
ENSG00000004838,62,0,29,54,0,0.165
ENSG00000004846,0,0,0,0,0,0.0
ENSG00000004848,0,72,4,0,93,0.009
ENSG00000004864,62,3,65,72,0,64.671
ENSG00000004866,67,0,49,69,0,11.889
ENSG00000004897,52,0,38,21,0,7.817
ENSG00000004939,0,0,0,0,0,0.069
ENSG00000004948,0,0,58,15,44,0.04
ENSG00000004961,58,0,25,14,0,14.767
ENSG00000004975,80,0,69,70,0,4.238
ENSG00000005001,17,72,0,15,48,0.078
ENSG00000005007,63,12,57,55,0,17.488
ENSG00000005020,0,55,0,0,0,8.694
ENSG00000005022,43,15,40,50,0,345.41
ENSG00000005059,23,15,22,22,0,1.203
ENSG00000005073,0,85,22,0,100,0.0
ENSG00000005075,0,0,7,16,0,90.308
ENSG00000005100,61,0,54,47,0,4.332
ENSG00000005102,0,0,0,0,5,0.02
ENSG00000005108,52,0,30,22,0,0.366
ENSG00000005156,63,0,28,27,0,2.35
ENSG00000005175,79,0,43,53,0,5.39
ENSG00000005187,46,0,31,51,0,91.824
ENSG00000005189,68,0,46,44,0,1.13
ENSG00000005194,62,0,35,28,0,20.395
ENSG00000005206,44,0,47,66,0,5.513
ENSG00000005238,68,0,63,64,0,1.932
ENSG00000005243,21,0,21,17,0,46.065
ENSG00000005249,40,0,29,17,44,3.574
ENSG00000005302,73,0,39,41,0,4.103
ENSG00000005339,29,0,58,59,0,5.766
ENSG00000005379,69,0,74,67,0,1.217
ENSG00000005381,0,0,9,17,41,0.397
ENSG00000005421,92,0,100,100,0,458.575
ENSG00000005436,87,0,63,42,0,8.786
ENSG00000005448,21,0,29,31,0,1.581
ENSG00000005469,51,0,75,71,0,11.346
ENSG00000005471,65,0,55,66,0,45.08
ENSG00000005483,100,0,100,100,0,8.416
ENSG00000005486,0,0,0,12,0,52.191
ENSG00000005513,0,0,16,0,25,0.273
ENSG00000005700,92,0,60,54,0,13.965
ENSG00000005801,32,94,81,14,0,2.747
ENSG00000005810,82,0,77,57,0,3.536
ENSG00000005812,92,0,60,27,0,13.311
ENSG00000005844,47,0,38,56,0,7.507
ENSG00000005882,54,0,53,56,0,23.63
ENSG00000005884,34,0,31,100,85,0.617
ENSG00000005889,100,0,74,86,0,5.357
ENSG00000005893,50,0,40,51,0,84.442
ENSG00000005955,60,0,63,59,0,13.144
ENSG00000005961,0,0,12,0,28,0.172
ENSG00000005981,54,0,14,34,0,1.131
ENSG00000006007,83,0,62,37,0,30.945
ENSG00000006015,40,0,24,22,0,48.751
ENSG00000006016,0,0,0,0,82,0.0
ENSG00000006025,29,0,15,12,0,0.812
ENSG00000006042,23,0,23,9,0,18.47
ENSG00000006047,20,0,4,5,0,0.916
ENSG00000006059,0,16,0,0,34,0.0
ENSG00000006062,75,0,70,76,0,4.805
ENSG00000006071,0,0,0,0,86,0.02
ENSG00000006074,31,0,0,35,0,0.438
ENSG00000006075,25,0,28,73,0,23.911
ENSG00000006114,64,0,59,56,0,2.426
ENSG00000006116,0,27,0,0,92,0.009
ENSG00000006118,0,0,12,0,28,0.177
ENSG00000006125,28,0,50,21,0,14.592
ENSG00000006128,0,0,0,0,82,0.184
ENSG00000006194,54,56,60,51,0,7.866
ENSG00000006210,59,0,55,76,0,14.918
ENSG00000006282,50,0,31,32,0,10.694
ENSG00000006283,0,0,22,0,66,0.006
ENSG00000006327,36,0,40,36,0,30.376
ENSG00000006377,0,70,0,0,100,0.0
ENSG00000006432,48,0,26,26,0,0.227
ENSG00000006451,53,0,49,49,0,12.946
ENSG00000006453,44,0,33,43,0,14.176
ENSG00000006459,69,0,62,72,0,4.61
ENSG00000006468,59,0,58,62,0,1.204
ENSG00000006530,23,0,32,9,0,3.505
ENSG00000006555,39,0,47,77,0,0.688
ENSG00000006576,74,0,51,61,0,2.272
ENSG00000006606,0,0,0,0,0,0.076
ENSG00000006607,62,0,61,89,0,2.716
ENSG00000006611,0,0,0,0,38,0.292
ENSG00000006625,32,0,0,28,0,15.147
ENSG00000006634,65,4,43,42,0,1.332
ENSG00000006638,64,0,33,89,0,5.423
