gene_id,H3K9ac_wc,H3K9me3_wc,H3K4me3_wc,H3K27ac_wc,H3K27me3_wc,value
ENSG00000000003,9,0,17,23,0,73.205
ENSG00000000005,0,0,0,0,0,0.191
ENSG00000000419,27,0,36,33,0,52.609
ENSG00000000457,27,0,37,42,0,4.733
ENSG00000000460,0,1,0,0,0,0.942
ENSG00000000938,23,0,11,57,0,4.572
ENSG00000000971,46,0,58,58,0,566.609
ENSG00000001036,22,0,17,15,0,43.631
ENSG00000001084,26,0,40,68,0,25.767
ENSG00000001167,43,0,44,59,0,6.255
ENSG00000001460,13,0,26,11,0,0.298
ENSG00000001461,12,0,26,12,0,1.277
ENSG00000001497,18,0,18,9,11,8.53
ENSG00000001561,20,0,21,15,0,5.919
ENSG00000001617,22,0,21,29,0,1.751
ENSG00000001626,0,0,0,0,0,0.596
ENSG00000001629,38,0,24,26,0,4.787
ENSG00000001630,0,0,0,0,0,50.076
ENSG00000001631,37,0,24,26,0,6.381
ENSG00000002016,29,0,30,33,0,1.698
ENSG00000002330,33,0,27,29,0,15.838
ENSG00000002549,28,0,40,60,0,106.39
ENSG00000002586,11,0,24,63,0,76.013
ENSG00000002587,0,0,10,13,10,0.161
ENSG00000002726,3,0,25,33,0,8.353
ENSG00000002745,0,0,12,0,20,0.0
ENSG00000002746,0,0,0,0,41,0.015
ENSG00000002822,18,0,19,25,0,3.423
ENSG00000002834,65,0,40,72,0,41.127
ENSG00000002919,35,0,32,33,0,10.405
ENSG00000002933,61,0,68,99,0,611.87
ENSG00000003056,30,14,52,39,0,31.898
ENSG00000003096,12,0,7,12,2,1.85
ENSG00000003137,0,0,19,0,12,0.193
ENSG00000003147,11,0,19,14,0,3.823
ENSG00000003249,25,0,16,16,0,0.918
ENSG00000003393,34,0,28,24,0,5.233
ENSG00000003400,12,0,18,17,0,2.576
ENSG00000003402,62,0,65,67,0,6.755
ENSG00000003436,0,0,0,0,0,43.483
ENSG00000003509,27,0,26,18,0,5.694
ENSG00000003756,27,0,20,22,0,8.27
