histone_marker,train_loss_avg,train_accuracy_avg,train_auc_avg,val_loss_avg,val_accuracy_avg,val_auc_avg,test_accuracy,test_auc,number_of_histones,order_by_test_acc
H3K4me3-H3K9ac-H3K9me3-H3K27ac-H3K27me3,0.5229,75.5369,0.7551,0.5136,76.1653,0.7609,75.27,0.752,5,16
H3K4me3-H3K9ac-H3K27ac-H3K27me3,0.5268,75.3453,0.7501,0.5174,75.8514,0.7575,76.71,0.7662,4,1
H3K4me3-H3K9ac-H3K9me3-H3K27ac,0.5265,75.4713,0.7522,0.5163,75.9749,0.7595,76.01,0.7596,4,5
H3K4me3-H3K9ac-H3K9me3-H3K27me3,0.54,74.5499,0.7437,0.5293,75.2497,0.7504,74.66,0.7459,4,18
H3K4me3-H3K9me3-H3K27ac-H3K27me3,0.5258,75.3661,0.7504,0.5172,75.8033,0.757,76.56,0.7646,4,2
H3K9ac-H3K9me3-H3K27ac-H3K27me3,0.5336,74.8738,0.7487,0.5216,75.584,0.7543,75.76,0.7552,4,9
H3K4me3-H3K27ac-H3K27me3,0.5275,75.3483,0.7505,0.5189,75.6653,0.7552,76.09,0.7601,3,3
H3K4me3-H3K9ac-H3K27ac,0.5324,75.234,0.7498,0.5202,75.8017,0.7566,75.41,0.7534,3,15
H3K4me3-H3K9ac-H3K27me3,0.5413,74.5454,0.7445,0.5306,75.1878,0.7505,75.64,0.7547,3,10
H3K4me3-H3K9ac-H3K9me3,0.54,74.5316,0.7447,0.5289,75.2469,0.7513,75.64,0.7555,3,11
H3K4me3-H3K9me3-H3K27ac,0.5287,75.3203,0.7501,0.519,75.7598,0.7566,75.92,0.7574,3,6
H3K4me3-H3K9me3-H3K27me3,0.549,73.8793,0.7386,0.54,74.3073,0.7417,74.3,0.7417,3,22
H3K9ac-H3K27ac-H3K27me3,0.5317,74.9296,0.7491,0.5208,75.6323,0.7551,75.45,0.7539,3,14
H3K9ac-H3K9me3-H3K27ac,0.5325,74.8951,0.7489,0.5212,75.557,0.7541,76.03,0.7576,3,4
H3K9ac-H3K9me3-H3K27me3,0.5536,73.1338,0.7295,0.5444,73.6234,0.7339,73.46,0.7333,3,27
H3K9me3-H3K27ac-H3K27me3,0.5418,74.2101,0.7395,0.5316,74.7586,0.746,74.33,0.741,3,21
H3K27ac-H3K27me3,0.547,74.1597,0.7396,0.5348,74.8862,0.7476,74.6,0.7453,2,19
H3K4me3-H3K27ac,0.5351,75.1573,0.7498,0.5233,75.6696,0.7558,75.9,0.758,2,7
H3K4me3-H3K27me3,0.5543,73.7373,0.7379,0.5448,74.0924,0.7394,74.36,0.7422,2,20
H3K4me3-H3K9ac,0.5444,74.4208,0.7419,0.5331,74.9943,0.7491,75.59,0.7538,2,12
H3K4me3-H3K9me3,0.5511,73.8301,0.7388,0.5427,74.2151,0.7412,74.83,0.7471,2,17
H3K9ac-H3K27ac,0.5412,74.7719,0.7479,0.5283,75.6153,0.7538,75.82,0.7569,2,8
H3K9ac-H3K27me3,0.5549,73.0836,0.7288,0.545,73.6129,0.7345,73.95,0.7369,2,25
H3K9ac-H3K9me3,0.5564,73.0874,0.7294,0.5464,73.6499,0.7344,72.6,0.7236,2,28
H3K9me3-H3K27ac,0.5482,74.0629,0.7392,0.5349,74.7329,0.7452,74.02,0.7381,2,23
H3K9me3-H3K27me3,0.7077,52.7028,0.519,0.7072,52.9508,0.5193,53.67,0.5205,2,29
H3K27ac,0.5545,74.0157,0.7395,0.5424,74.4799,0.7428,75.52,0.7536,1,13
H3K27me3,0.7109,51.965,0.5091,0.711,52.1455,0.5089,52.44,0.509,1,31
H3K4me3,0.5572,73.6468,0.7365,0.5488,73.9421,0.7383,73.59,0.7346,1,26
H3K9ac,0.5633,72.9983,0.7291,0.553,73.6093,0.7346,73.97,0.7368,1,24
H3K9me3,0.7141,51.6652,0.5086,0.7135,52.0026,0.5095,53.09,0.5107,1,30
