histone_marker,train_loss_avg,train_accuracy_avg,train_auc_avg,val_loss_avg,val_accuracy_avg,val_auc_avg,test_accuracy,test_auc,number_of_histones,order_by_test_acc
H3K4me3-H3K9ac-H3K9me3-H3K27ac-H3K27me3,0.518,75.6928,0.7579,0.507,76.2617,0.7619,76.52,0.7644,5,2
H3K4me3-H3K9ac-H3K27ac-H3K27me3,0.5194,75.6931,0.758,0.5097,76.2113,0.7612,75.99,0.7593,4,10
H3K4me3-H3K9ac-H3K9me3-H3K27ac,0.5195,75.761,0.7585,0.5081,76.3904,0.763,76.2,0.7616,4,7
H3K4me3-H3K9ac-H3K9me3-H3K27me3,0.5323,74.975,0.7493,0.5204,75.598,0.7553,75.67,0.7555,4,14
H3K4me3-H3K9me3-H3K27ac-H3K27me3,0.5219,75.4747,0.7538,0.5106,76.0997,0.7603,76.25,0.7607,4,6
H3K9ac-H3K9me3-H3K27ac-H3K27me3,0.5264,75.2001,0.7498,0.5138,76.0294,0.7594,76.08,0.76,4,8
H3K4me3-H3K27ac-H3K27me3,0.5178,75.675,0.7576,0.5101,76.0291,0.7592,75.91,0.7581,3,12
H3K4me3-H3K9ac-H3K27ac,0.5299,75.4591,0.7521,0.5175,76.2362,0.7604,76.35,0.7621,3,5
H3K4me3-H3K9ac-H3K27me3,0.5323,74.9228,0.749,0.5221,75.4,0.7526,75.55,0.7546,3,15
H3K4me3-H3K9ac-H3K9me3,0.5347,74.9412,0.7489,0.5239,75.5918,0.7543,75.53,0.7542,3,17
H3K4me3-H3K9me3-H3K27ac,0.5259,75.5012,0.753,0.5147,76.1254,0.7599,76.77,0.7667,3,1
H3K4me3-H3K9me3-H3K27me3,0.5372,74.5407,0.7457,0.5268,75.0791,0.75,74.4,0.7433,3,27
H3K9ac-H3K27ac-H3K27me3,0.5295,75.1238,0.7497,0.517,75.9121,0.7577,76.42,0.7621,3,3
H3K9ac-H3K9me3-H3K27ac,0.53,75.2641,0.75,0.5183,76.0132,0.7593,75.96,0.7591,3,11
H3K9ac-H3K9me3-H3K27me3,0.5394,74.2361,0.7394,0.5267,74.9833,0.7487,75.29,0.7513,3,21
H3K9me3-H3K27ac-H3K27me3,0.5349,74.617,0.7464,0.5234,75.1811,0.7508,74.6,0.7456,3,26
H3K27ac-H3K27me3,0.5367,74.5885,0.7465,0.5256,75.2527,0.7512,74.71,0.747,2,25
H3K4me3-H3K27ac,0.5299,75.369,0.7506,0.5182,76.0127,0.759,75.55,0.7549,2,16
H3K4me3-H3K27me3,0.5413,74.2375,0.7398,0.5327,74.5705,0.7443,75.01,0.7486,2,24
H3K4me3-H3K9ac,0.5426,74.8206,0.7487,0.5305,75.4658,0.7538,76.39,0.763,2,4
H3K4me3-H3K9me3,0.5439,74.3929,0.7417,0.5327,75.0031,0.7492,75.36,0.7535,2,20
H3K9ac-H3K27ac,0.532,75.2453,0.7495,0.5198,76.0061,0.7589,75.5,0.7541,2,18
H3K9ac-H3K27me3,0.5406,74.2286,0.7401,0.5291,74.9348,0.7481,75.04,0.7487,2,23
H3K9ac-H3K9me3,0.5463,74.1742,0.7392,0.5332,75.0585,0.749,76.06,0.7592,2,9
H3K9me3-H3K27ac,0.5444,74.5449,0.7437,0.5313,75.2447,0.7508,75.75,0.7548,2,13
H3K9me3-H3K27me3,0.6778,59.9033,0.5971,0.6748,60.6582,0.6003,60.69,0.5968,2,29
H3K27ac,0.5493,74.5167,0.7424,0.5362,75.1157,0.7496,75.47,0.7519,1,19
H3K27me3,0.6834,58.5656,0.5806,0.681,59.2656,0.5844,60.19,0.593,1,30
H3K4me3,0.5502,74.1928,0.7395,0.5407,74.5418,0.7441,74.31,0.7419,1,28
H3K9ac,0.5461,74.3065,0.74,0.5331,75.1538,0.7501,75.15,0.7489,1,22
H3K9me3,0.7106,53.6834,0.5304,0.7088,54.4341,0.5347,54.94,0.544,1,31
