gene_id,H3K9ac_wc,H3K9me3_wc,H3K4me3_wc,H3K27ac_wc,H3K27me3_wc,E066
ENSG00000163631,63,0,49,69,0,102156.0
ENSG00000257017,36,3,45,76,0,38313.3
ENSG00000110245,89,0,56,97,0,30359.8
ENSG00000130208,52,0,50,91,0,28759.1
ENSG00000158874,75,0,85,100,0,18798.6
ENSG00000125144,52,0,55,69,0,14293.0
ENSG00000197249,98,0,87,100,0,13011.1
ENSG00000118271,30,0,42,55,0,12747.6
ENSG00000171564,92,0,80,87,0,12742.3
ENSG00000091583,0,0,0,0,0,12373.3
ENSG00000125148,72,0,54,86,0,11990.4
ENSG00000118137,59,0,40,98,0,11482.9
ENSG00000087086,61,0,54,88,0,11303.2
ENSG00000138207,63,0,66,66,0,11259.2
ENSG00000229314,33,0,39,69,0,10000.5
ENSG00000234906,78,0,65,100,0,9708.62
ENSG00000106927,63,0,80,85,0,9674.11
ENSG00000171560,65,0,76,96,0,8683.04
ENSG00000171557,78,0,82,99,0,8270.37
ENSG00000136872,90,0,83,100,0,8052.54
ENSG00000187193,40,0,42,63,0,7929.1
ENSG00000228278,29,0,45,67,0,6541.23
ENSG00000145321,0,0,5,3,0,4854.94
ENSG00000109072,32,0,40,41,0,4667.77
ENSG00000160868,37,0,32,76,0,4547.59
ENSG00000224916,65,0,52,93,0,4238.76
ENSG00000117601,40,0,43,59,0,3975.21
ENSG00000145192,50,0,49,83,0,3610.64
ENSG00000125730,11,0,14,61,0,3516.38
ENSG00000169715,27,0,32,81,0,3463.61
ENSG00000110169,46,0,54,51,0,3014.54
ENSG00000243955,22,0,43,24,0,2964.81
ENSG00000198417,29,0,33,35,0,2922.63
ENSG00000132703,50,0,55,83,0,2851.79
ENSG00000134240,58,0,64,98,0,2510.19
ENSG00000170315,58,0,32,83,0,2432.71
ENSG00000166347,60,0,59,68,0,2420.34
ENSG00000198099,20,0,4,55,0,2301.19
ENSG00000205358,52,0,56,68,0,2299.23
ENSG00000133112,54,0,54,60,0,2234.8
ENSG00000244255,26,0,29,44,0,2156.28
ENSG00000089220,46,0,43,81,0,2139.07
ENSG00000149131,27,0,37,74,0,2120.65
ENSG00000091513,59,0,79,85,0,2060.71
ENSG00000142089,15,0,5,53,0,2059.55
ENSG00000250722,14,0,0,10,0,2009.03
ENSG00000130707,42,14,38,69,0,2003.63
ENSG00000214274,78,0,83,85,0,1997.74
ENSG00000163586,26,0,48,100,0,1996.32
