gene_id,H3K9ac_wc,H3K9me3_wc,H3K4me3_wc,H3K27ac_wc,H3K27me3_wc,E118
ENSG00000145192,48,0,44,69,10,16876.5
ENSG00000163631,16,0,2,44,0,10195.4
ENSG00000081051,45,0,2,75,0,6424.55
ENSG00000158874,87,0,74,94,37,6207.16
ENSG00000111640,55,0,54,61,19,4943.83
ENSG00000175899,57,0,22,62,14,4716.25
ENSG00000091583,0,0,0,0,0,4258.92
ENSG00000147257,81,0,55,96,19,3420.67
ENSG00000197249,71,0,62,94,25,3264.79
ENSG00000135744,65,0,59,60,20,2614.3
ENSG00000106927,78,0,58,77,22,2491.27
ENSG00000087086,64,0,70,71,30,2313.59
ENSG00000106366,78,0,59,79,24,2132.93
ENSG00000091513,79,0,66,87,28,1963.89
ENSG00000125730,45,5,43,49,0,1864.08
ENSG00000115414,62,0,47,58,25,1846.18
ENSG00000132386,38,0,34,38,8,1805.06
ENSG00000156508,60,0,49,58,13,1778.65
ENSG00000118137,61,0,56,73,15,1648.48
ENSG00000118705,40,0,38,36,25,1503.77
ENSG00000084674,66,0,62,69,29,1502.69
ENSG00000151655,83,0,34,96,8,1471.99
ENSG00000090382,38,0,30,66,3,1470.22
ENSG00000167658,56,0,65,38,15,1439.34
ENSG00000078898,52,0,55,56,16,1336.01
ENSG00000234906,37,0,36,48,16,1302.23
ENSG00000074800,69,0,65,68,24,1259.34
ENSG00000130203,37,0,44,35,3,1069.5
ENSG00000096384,59,0,56,42,22,1068.63
ENSG00000150991,95,0,78,89,30,969.594
ENSG00000146678,70,0,50,95,16,955.596
ENSG00000149925,23,0,20,0,23,927.462
ENSG00000196230,0,0,0,0,0,885.604
ENSG00000179218,52,0,43,38,15,885.425
ENSG00000130208,40,0,50,53,4,862.629
ENSG00000109472,0,0,0,3,0,823.608
ENSG00000105379,75,0,60,76,27,817.527
ENSG00000184009,18,0,38,0,82,814.814
ENSG00000133112,47,0,30,37,16,805.126
ENSG00000211445,35,0,45,23,9,796.054
ENSG00000167711,37,0,40,36,14,781.071
ENSG00000141505,64,0,60,62,21,769.665
ENSG00000196136,60,5,47,47,7,749.419
ENSG00000204444,0,0,0,0,0,746.76
ENSG00000110955,28,0,21,28,8,718.496
ENSG00000180210,51,0,48,69,16,702.457
ENSG00000128272,43,0,49,33,21,688.821
ENSG00000131143,44,0,33,32,17,681.236
ENSG00000197746,38,0,34,29,17,670.258
ENSG00000204628,69,0,63,60,36,652.638
ENSG00000172270,49,0,62,46,25,645.058
